Date,Open,Close,High,Low,Volume
16-11-20,41.8,41.7,42.0,41.0,143685
17-11-20,41.4,41.6,41.9,41.3,1758000
18-11-20,41.6,41.3,41.8,41.3,2022060
19-11-20,41.1,41.1,41.6,41.0,3443580
20-11-20,41.1,41.2,41.5,41.1,4083988
23-11-20,41.5,42.8,43.0,41.5,2002068
24-11-20,42.9,42.1,43.0,41.7,2212553
25-11-20,42.1,42.4,42.6,41.7,1510480
26-11-20,42.4,42.5,42.5,41.7,2166525
27-11-20,42.5,42.2,42.5,42.0,1945413
30-11-20,42.6,41.7,42.6,41.7,2573217
01-12-20,41.7,41.7,42.0,41.1,3608908
02-12-20,41.9,41.9,42.0,41.5,2355034
03-12-20,42.0,41.7,42.0,41.6,86940
04-12-20,41.9,41.5,42.0,41.4,144590
07-12-20,41.5,40.5,41.5,40.5,298089
08-12-20,40.3,40.6,40.7,40.0,479302
09-12-20,40.7,41.3,42.0,40.6,377012
10-12-20,41.3,40.5,41.4,40.5,79574
11-12-20,40.5,40.5,40.9,40.3,120236
14-12-20,40.5,41.6,41.8,38.9,425545
15-12-20,41.5,41.5,41.7,41.3,134285
16-12-20,41.5,42.7,43.8,41.5,682860
17-12-20,42.7,43.5,44.0,42.5,455845
18-12-20,44.0,43.8,44.3,43.5,1358539
21-12-20,44.0,44.1,45.5,43.8,874371
29-12-20,44.9,45.1,45.2,44.2,1013820
30-12-20,45.7,45.4,45.7,45.2,848650
31-12-20,45.55,46.1,46.5,45.2,1359710
04-01-21,46.8,47.0,47.0,46.4,1095900
05-01-21,46.8,47.35,47.6,46.7,657600
06-01-21,47.35,47.35,47.5,46.0,1308700
07-01-21,47.35,47.35,47.4,46.7,413600
08-01-21,47.5,48.05,48.35,47.5,1002300
11-01-21,47.0,47.2,47.5,46.9,902400
12-01-21,47.2,46.95,47.2,46.2,581500
13-01-21,47.0,46.9,47.1,46.5,820300
14-01-21,46.7,46.9,47.0,46.0,624100
15-01-21,46.4,46.9,47.0,46.4,801700
18-01-21,46.8,46.95,47.0,46.0,1194200
19-01-21,46.95,46.8,46.95,43.7,610500
20-01-21,46.7,46.9,46.9,45.2,819900
21-01-21,46.5,47.0,47.0,46.0,823000
22-01-21,47.1,47.8,48.6,46.9,834000
25-01-21,47.8,47.85,47.85,47.2,1202700
26-01-21,47.8,47.9,47.9,47.0,725800
27-01-21,47.1,47.85,47.9,46.5,812300
28-01-21,46.0,44.55,47.5,44.55,894500
29-01-21,44.55,47.1,47.1,44.55,269800
01-02-21,47.2,47.2,47.2,46.0,864200
02-02-21,47.2,47.45,47.5,46.1,229100
03-02-21,47.0,47.6,47.6,47.0,170900
04-02-21,47.6,47.4,47.6,46.0,85600
05-02-21,47.0,47.0,47.4,46.7,508800
08-02-21,47.0,47.0,47.0,46.5,233300
09-02-21,46.5,48.2,50.0,46.2,125000
17-02-21,48.2,49.4,50.0,48.2,374600
18-02-21,49.4,49.7,49.8,49.2,235100
19-02-21,49.7,49.7,49.8,49.4,271000
22-02-21,49.0,49.7,49.7,48.5,219600
23-02-21,49.7,49.4,49.7,48.6,179600
24-02-21,49.0,48.3,49.3,48.2,339700
25-02-21,48.3,48.0,48.3,47.8,192300
26-02-21,47.0,48.0,48.0,47.0,220300
01-03-21,48.0,48.1,48.3,47.7,337900
02-03-21,47.7,48.1,48.1,47.55,176300
03-03-21,48.0,47.8,48.1,47.5,269300
04-03-21,48.0,47.5,48.0,47.0,156500
05-03-21,46.5,47.3,47.45,46.5,182700
08-03-21,46.7,47.4,47.4,46.7,318300
09-03-21,47.4,47.0,47.4,46.6,246000
10-03-21,47.0,47.0,47.3,46.9,262700
11-03-21,47.0,46.9,47.5,46.9,222600
12-03-21,46.75,47.0,47.05,46.7,344300
15-03-21,47.1,47.2,47.3,46.8,231000
16-03-21,47.2,46.8,47.2,46.7,112600
17-03-21,46.8,46.3,46.8,46.3,248500
18-03-21,46.1,44.0,46.3,43.9,321800
19-03-21,46.0,45.0,46.0,45.0,148100
22-03-21,45.2,45.1,46.1,45.1,60200
23-03-21,45.2,43.0,46.0,43.0,324800
24-03-21,45.9,43.3,45.9,43.3,883000
25-03-21,45.35,43.5,45.35,43.5,210400
26-03-21,43.4,43.3,44.2,43.3,128600
29-03-21,43.3,44.5,44.5,43.3,220900
30-03-21,45.0,44.55,45.0,44.4,277800
31-03-21,44.55,44.9,45.0,44.55,221700
01-04-21,44.9,46.9,46.9,44.9,469800
