Date,Open,Close,High,Low,Volume
16-11-20,35.0,35.0,35.5,35.0,900
17-11-20,35.0,35.0,35.0,35.0,2700
18-11-20,34.0,34.0,34.0,34.0,3000
19-11-20,34.9,34.9,35.0,34.9,1100
20-11-20,35.0,35.0,35.0,35.0,0
23-11-20,32.0,33.0,33.0,32.0,700
24-11-20,33.0,33.8,33.8,33.0,2400
25-11-20,34.5,36.0,36.0,34.5,27700
26-11-20,36.1,36.0,36.1,36.0,3518
27-11-20,36.2,37.0,38.4,36.0,61600
30-11-20,36.6,36.5,38.0,36.1,27100
01-12-20,36.5,37.5,37.5,36.5,9300
02-12-20,37.0,36.8,37.0,36.7,7600
03-12-20,36.8,36.8,36.8,36.2,19150
04-12-20,36.2,36.5,36.6,36.2,7500
07-12-20,36.5,36.5,36.5,36.4,13400
08-12-20,36.4,36.5,36.8,36.4,11200
09-12-20,37.5,36.6,38.0,36.5,7100
10-12-20,36.0,36.5,36.6,36.0,9100
11-12-20,37.0,36.5,37.0,36.5,6410
14-12-20,36.5,34.2,36.5,34.2,3700
15-12-20,36.4,36.4,36.5,36.4,2700
16-12-20,36.4,36.5,36.5,36.0,12500
17-12-20,36.2,36.4,37.5,36.2,1600
18-12-20,36.4,36.3,36.4,36.2,3400
21-12-20,36.3,36.3,36.4,36.0,8920
22-12-20,36.2,36.2,36.4,36.2,9600
23-12-20,30.9,36.0,36.0,30.9,1400
24-12-20,36.0,35.9,36.0,35.0,9900
25-12-20,35.8,36.5,37.0,35.8,6952
28-12-20,36.5,36.5,36.5,36.2,7500
29-12-20,36.5,36.9,37.0,36.5,13808
30-12-20,37.5,37.5,37.5,37.0,9710
31-12-20,37.5,37.5,37.5,37.5,6090
04-01-21,37.0,37.0,37.0,37.0,3900
05-01-21,37.0,37.0,37.0,36.5,5050
06-01-21,36.5,36.5,36.6,36.5,5640
07-01-21,36.5,36.6,36.6,36.5,5400
08-01-21,36.5,36.5,36.5,36.5,1701
11-01-21,36.5,36.5,36.9,36.5,7800
12-01-21,36.5,36.9,36.9,36.5,1312
13-01-21,36.6,36.6,36.6,36.5,13800
14-01-21,36.5,36.5,37.0,36.4,8700
15-01-21,36.5,36.6,36.6,36.0,33618
18-01-21,36.6,36.5,36.7,36.5,9887
19-01-21,36.6,36.3,36.6,36.2,10010
20-01-21,36.3,36.4,36.5,32.0,16396
21-01-21,36.2,36.2,36.2,36.1,3300
22-01-21,36.1,35.7,36.1,35.6,7650
25-01-21,35.9,35.6,37.0,35.6,4100
26-01-21,35.6,35.6,35.6,35.6,5710
27-01-21,35.0,35.0,35.0,35.0,3500
28-01-21,29.8,29.9,30.0,29.8,10200
29-01-21,34.0,34.3,34.3,34.0,440800
01-02-21,30.3,34.0,34.0,30.3,300
