Date,Open,Close,High,Low,Volume
16-11-20,6.89,6.8,6.95,6.8,474220
17-11-20,6.8,6.8,6.99,6.72,559680
18-11-20,6.81,6.84,6.89,6.8,547080
19-11-20,6.8,6.97,7.1,6.8,708930
20-11-20,6.99,6.95,6.99,6.9,357190
23-11-20,6.99,6.99,7.03,6.9,436570
24-11-20,6.99,6.98,6.99,6.94,471420
25-11-20,6.9,6.96,7.0,6.9,281850
26-11-20,6.98,6.95,7.0,6.95,297370
27-11-20,6.95,6.96,6.98,6.94,249800
30-11-20,6.97,7.44,7.44,6.95,1197240
01-12-20,7.5,7.69,7.92,7.45,1007040
02-12-20,7.74,7.5,7.79,7.2,506050
03-12-20,7.39,7.41,7.47,7.35,687480
04-12-20,7.41,7.6,7.6,7.41,837040
07-12-20,7.6,7.91,7.94,7.6,1312200
08-12-20,8.0,7.88,8.01,7.85,621130
09-12-20,7.88,7.9,7.99,7.88,970380
10-12-20,7.9,7.76,7.94,7.71,779130
11-12-20,7.76,7.8,7.9,7.6,550680
14-12-20,7.8,7.75,7.88,7.72,531610
15-12-20,7.75,7.97,7.98,7.75,997850
16-12-20,8.3,8.52,8.52,8.3,1442870
17-12-20,9.09,9.11,9.11,8.9,1717860
18-12-20,9.11,9.06,9.4,9.05,1518540
21-12-20,9.0,9.06,9.4,8.63,1287870
22-12-20,8.86,9.69,9.69,8.86,1970030
23-12-20,10.35,9.97,10.35,9.8,1902630
24-12-20,9.99,9.45,10.0,9.28,1246720
25-12-20,9.45,9.5,9.8,9.3,1238700
28-12-20,10.0,9.48,10.0,9.36,1376990
29-12-20,9.5,9.54,9.78,9.4,1019760
30-12-20,9.6,9.7,9.98,9.4,1517730
31-12-20,9.7,9.73,9.85,9.7,888930
04-01-21,9.75,9.8,9.95,9.7,1026700
05-01-21,9.8,10.45,10.45,9.7,2722600
06-01-21,11.1,10.8,11.1,10.4,1646800
07-01-21,10.5,10.65,10.9,10.3,1302500
08-01-21,10.6,10.45,10.65,10.3,1079400
11-01-21,10.4,10.5,10.5,10.2,943600
12-01-21,10.6,10.35,10.6,10.3,664900
13-01-21,10.45,11.0,11.05,10.4,1942700
14-01-21,11.4,11.0,11.4,10.8,725100
15-01-21,11.0,10.9,11.2,10.8,490000
18-01-21,11.0,11.65,11.65,10.95,1347200
19-01-21,12.4,11.6,12.45,10.85,1428900
20-01-21,11.7,11.85,12.1,10.85,1120700
21-01-21,12.4,12.05,12.4,11.8,899800
22-01-21,12.4,11.9,12.4,11.85,643200
25-01-21,11.3,11.3,11.9,11.25,890800
26-01-21,11.0,10.6,11.1,10.55,766200
27-01-21,10.15,9.86,10.3,9.86,953400
28-01-21,9.17,9.17,9.5,9.17,678400
29-01-21,8.53,9.3,9.59,8.53,443700
01-02-21,9.3,8.66,9.31,8.66,724400
02-02-21,8.56,8.6,8.7,8.08,776300
03-02-21,8.6,9.1,9.2,8.2,1396300
04-02-21,9.2,9.0,9.2,9.0,180400
05-02-21,9.4,8.92,9.4,8.85,1024300
08-02-21,8.92,8.89,9.3,8.8,383000
09-02-21,8.81,9.22,9.32,8.81,799500
17-02-21,9.38,9.86,9.86,9.0,784500
18-02-21,9.86,9.84,9.9,9.64,619100
19-02-21,9.8,9.77,9.84,9.61,1010600
22-02-21,10.0,9.82,10.0,9.7,599200
23-02-21,9.82,9.8,9.82,9.61,470600
24-02-21,9.8,9.64,9.85,9.6,982500
25-02-21,9.62,9.41,9.7,9.17,436600
26-02-21,9.22,9.32,9.41,9.22,131600
01-03-21,9.2,9.68,9.7,9.19,1016100
02-03-21,9.85,9.72,9.85,9.58,653000
03-03-21,9.7,10.1,10.1,9.6,706900
04-03-21,10.3,9.75,10.3,9.6,719100
05-03-21,9.75,10.1,10.1,9.55,653600
08-03-21,10.2,10.8,10.8,10.1,1624900
09-03-21,10.9,11.25,11.5,10.8,1538300
10-03-21,11.5,11.25,11.5,11.0,801800
11-03-21,11.3,11.05,11.3,10.9,686500
12-03-21,11.0,11.25,11.5,11.0,945900
15-03-21,11.35,11.1,11.4,11.05,636300
16-03-21,11.1,11.1,11.3,10.6,658400
17-03-21,11.0,11.1,11.1,10.9,499600
18-03-21,11.1,11.05,11.15,10.95,781800
19-03-21,11.0,11.65,11.8,10.95,1333800
22-03-21,11.65,11.45,11.8,11.35,555100
23-03-21,11.3,11.2,11.5,11.0,903500
24-03-21,10.8,10.55,11.15,10.5,573100
25-03-21,10.55,10.4,10.6,10.0,816800
26-03-21,10.1,10.2,10.4,9.8,786300
29-03-21,10.2,10.9,10.9,10.2,857000
30-03-21,11.2,10.9,11.2,10.8,304700
31-03-21,10.8,10.75,10.9,10.6,470100
01-04-21,10.75,10.8,10.8,10.4,296600
02-04-21,10.8,11.0,11.25,10.8,452600
05-04-21,11.0,10.8,11.15,10.8,487700
06-04-21,10.8,10.8,10.95,10.8,210800
07-04-21,10.6,10.8,10.85,10.6,681500
08-04-21,10.8,10.85,11.0,10.75,313700
09-04-21,11.0,10.9,11.0,10.75,345700
12-04-21,10.9,11.0,11.2,10.8,961200
13-04-21,11.4,11.25,11.55,11.0,1231800
14-04-21,11.2,11.1,11.25,11.0,888100
15-04-21,11.25,10.9,11.3,10.9,394900
16-04-21,10.9,10.4,11.0,10.35,636100
19-04-21,10.6,10.25,10.6,10.0,623600
20-04-21,10.3,10.25,10.4,10.1,274100
22-04-21,10.05,9.8,10.25,9.7,348700
23-04-21,9.55,10.0,10.0,9.5,747300
26-04-21,10.0,9.51,10.0,9.5,303700
27-04-21,9.51,9.78,10.0,9.5,137400
28-04-21,9.61,9.86,9.95,9.61,324400
29-04-21,10.0,10.3,10.55,10.0,685800
04-05-21,9.86,10.1,10.1,9.86,165300
05-05-21,10.0,10.2,10.25,9.99,116300
06-05-21,10.0,9.99,10.15,9.95,546500
07-05-21,9.9,9.62,10.1,9.51,830200
10-05-21,9.51,9.33,9.7,9.0,713000
11-05-21,9.33,9.47,9.69,9.33,322700
12-05-21,9.25,9.6,9.9,9.25,325000
13-05-21,9.6,9.5,9.6,9.47,557100
14-05-21,9.5,9.5,9.6,9.43,666700
17-05-21,9.8,9.37,9.8,9.36,502800
18-05-21,9.37,9.2,9.4,9.2,174700
19-05-21,9.2,9.1,9.24,9.01,177200
20-05-21,9.1,9.19,9.3,9.06,374700
21-05-21,9.19,9.2,9.4,9.0,548700
24-05-21,9.2,9.3,9.5,9.2,401500
25-05-21,9.4,9.3,9.4,9.22,242300
26-05-21,9.3,9.09,9.3,9.05,166400
27-05-21,9.05,8.85,9.13,8.81,286100
28-05-21,8.85,9.0,9.2,8.75,681800
31-05-21,9.05,9.18,9.3,8.85,514500
01-06-21,9.3,9.16,9.3,9.16,133300
02-06-21,9.11,9.28,9.29,9.0,113400
03-06-21,9.35,9.28,9.5,9.0,346800
04-06-21,9.14,9.16,9.28,9.13,161000
07-06-21,9.35,9.35,9.4,9.22,553300
08-06-21,9.46,9.34,9.5,9.34,625500
09-06-21,9.34,9.7,9.7,9.15,320000
10-06-21,9.7,9.48,9.71,9.4,487800
11-06-21,9.45,9.53,9.55,9.36,393000
14-06-21,9.5,9.5,9.58,9.3,489200
15-06-21,9.38,9.43,9.57,9.37,338700
16-06-21,9.5,9.67,9.7,9.3,714000
17-06-21,9.68,9.6,9.68,9.55,152700
18-06-21,9.65,10.25,10.25,9.65,1430600
21-06-21,10.5,10.65,10.9,10.25,1547700
22-06-21,10.75,10.5,10.75,10.4,1102700
23-06-21,10.3,10.15,10.45,9.9,1124300
24-06-21,9.95,9.88,10.0,9.81,915500
25-06-21,9.8,10.0,10.1,9.8,842600
28-06-21,10.0,10.7,10.7,10.0,1510300
29-06-21,11.4,11.15,11.4,10.7,2091200
30-06-21,11.15,10.9,11.25,10.8,771300
01-07-21,10.75,11.0,11.2,10.7,594500
02-07-21,11.0,10.75,11.0,10.7,1059600
05-07-21,10.65,10.45,10.9,10.2,884300
