Date,Open,Close,High,Low,Volume
16-11-20,10.1,9.9,10.2,9.9,802380
17-11-20,9.7,10.0,10.0,9.7,1014350
18-11-20,9.8,9.98,10.0,9.8,807760
19-11-20,9.9,9.91,10.1,9.9,935000
20-11-20,9.95,9.91,10.0,9.9,925410
23-11-20,9.95,9.8,10.0,9.8,610840
24-11-20,9.6,9.8,9.8,9.49,895730
25-11-20,9.8,9.97,10.0,9.8,585340
26-11-20,10.0,10.55,10.55,10.0,1087470
27-11-20,10.6,10.65,10.8,10.6,647910
30-11-20,10.7,10.3,10.7,10.3,704370
01-12-20,10.0,10.3,10.3,9.96,791590
02-12-20,9.9,10.0,10.3,9.9,789240
03-12-20,10.0,10.0,10.3,10.0,1191850
04-12-20,9.8,9.98,10.2,9.8,614110
07-12-20,9.98,9.9,10.2,9.89,1125460
08-12-20,9.9,9.9,9.99,9.84,1110830
09-12-20,10.0,10.2,10.3,10.0,1024010
10-12-20,10.3,10.0,10.4,10.0,1277220
11-12-20,9.95,9.99,10.0,9.9,927190
14-12-20,9.93,9.93,10.2,9.9,1119720
15-12-20,10.0,10.15,10.2,9.93,1310280
16-12-20,10.2,9.99,10.25,9.99,1235720
17-12-20,9.9,9.99,10.0,9.87,1365990
18-12-20,9.8,9.9,10.15,9.8,1250620
21-12-20,9.9,9.94,10.05,9.85,1493240
22-12-20,9.94,10.6,10.6,9.94,1827110
23-12-20,11.3,10.6,11.3,10.6,1569550
24-12-20,10.7,10.4,10.85,9.9,831470
25-12-20,10.3,11.1,11.1,10.0,2417740
28-12-20,11.8,11.8,11.85,11.1,2314230
29-12-20,11.8,11.75,12.0,11.6,1322750
30-12-20,11.2,11.3,11.6,11.0,1799390
31-12-20,11.2,11.45,11.6,11.15,1585080
04-01-21,11.6,11.5,11.9,11.45,1738000
05-01-21,11.5,11.5,11.6,11.4,1768700
06-01-21,11.6,12.0,12.3,11.55,3300700
07-01-21,12.3,12.1,12.5,11.9,2654300
08-01-21,12.2,12.15,12.3,11.85,1413900
11-01-21,12.0,11.6,12.15,11.4,2995600
12-01-21,11.6,11.5,11.65,11.25,2165100
13-01-21,11.5,11.6,11.85,11.45,1741200
14-01-21,11.8,12.05,12.1,11.5,1774500
15-01-21,12.1,11.85,12.3,11.65,1537700
18-01-21,11.75,11.9,11.9,11.65,1825800
19-01-21,11.75,11.8,12.6,11.1,3033200
20-01-21,11.6,11.6,11.8,11.0,1162500
21-01-21,11.6,11.4,11.7,11.1,1384600
22-01-21,11.2,10.85,11.4,10.7,2022000
25-01-21,10.7,10.3,10.8,10.3,1372300
26-01-21,10.1,9.93,10.3,9.8,1396300
27-01-21,9.4,9.24,9.9,9.24,1027300
28-01-21,8.6,8.6,8.7,8.6,1137400
29-01-21,8.0,8.8,9.0,8.0,1254300
01-02-21,8.4,8.19,8.8,8.19,900100
02-02-21,8.19,8.48,8.5,7.8,967300
03-02-21,8.5,9.0,9.04,8.39,1516100
04-02-21,8.53,8.71,9.0,8.53,778400
05-02-21,8.45,8.79,8.95,8.45,857700
08-02-21,8.74,8.47,8.79,8.3,819200
09-02-21,8.47,8.44,8.6,8.31,805800
17-02-21,8.44,8.86,8.87,8.22,901800
18-02-21,8.9,8.89,9.0,8.75,1143000
19-02-21,8.89,8.95,8.96,8.75,1043300
22-02-21,9.05,9.15,9.4,9.0,1181900
23-02-21,9.15,9.09,9.2,8.98,913400
24-02-21,9.09,8.88,9.2,8.8,886700
25-02-21,8.88,8.79,8.88,8.7,711700
26-02-21,8.51,8.69,8.76,8.51,739100
01-03-21,8.7,9.18,9.2,8.68,1439300
02-03-21,9.29,9.12,9.29,9.09,1231200
03-03-21,9.12,9.11,9.14,9.05,707600
04-03-21,9.2,9.34,9.7,9.18,2007200
05-03-21,9.35,9.39,9.4,9.26,916600
08-03-21,9.5,9.87,9.95,9.5,2271200
09-03-21,9.87,9.77,9.9,9.7,1148200
10-03-21,9.77,9.7,9.8,9.6,1075100
11-03-21,9.7,9.9,9.99,9.68,1710500
12-03-21,9.95,9.86,10.15,9.85,1544600
15-03-21,9.86,9.77,9.9,9.77,1157500
16-03-21,9.71,9.68,9.77,9.56,1203300
17-03-21,9.66,9.7,9.79,9.5,1053600
18-03-21,9.6,9.68,9.75,9.6,655200
