Date,Open,Close,High,Low,Volume
16-11-20,76.2,76.0,76.2,74.2,310
17-11-20,76.0,76.5,76.5,76.0,1300
18-11-20,76.5,76.5,76.5,76.5,470
19-11-20,76.5,76.5,76.9,76.5,290
20-11-20,76.5,76.5,76.5,76.5,0
23-11-20,76.5,76.5,76.5,76.5,0
24-11-20,76.0,76.0,76.3,76.0,40570
25-11-20,76.1,80.0,80.0,76.0,1550
26-11-20,80.3,79.4,80.3,76.0,2340
27-11-20,79.1,79.9,82.8,79.1,1160
30-11-20,79.9,79.9,79.9,79.9,0
01-12-20,80.3,80.3,80.3,80.3,10
02-12-20,75.6,79.7,79.7,75.6,260
03-12-20,79.7,79.7,79.7,79.7,0
04-12-20,77.1,80.0,80.0,77.1,830
07-12-20,75.6,80.0,80.0,75.6,4710
08-12-20,78.8,78.8,78.8,78.8,10
09-12-20,78.0,79.6,79.6,78.0,510
10-12-20,76.3,79.6,79.6,76.3,4800
11-12-20,79.6,79.6,79.6,79.6,0
14-12-20,80.0,79.0,80.0,77.1,820
15-12-20,79.8,79.8,79.8,79.8,20
16-12-20,79.8,79.8,79.8,79.7,830
17-12-20,76.5,77.0,79.3,76.5,380
18-12-20,76.6,77.0,77.0,76.6,710
21-12-20,77.1,78.0,78.0,72.1,1960
22-12-20,79.0,77.1,79.6,77.1,1070
23-12-20,77.1,77.1,77.1,77.1,800
24-12-20,77.0,76.7,77.0,76.7,290
25-12-20,76.8,76.7,78.4,73.4,5680
28-12-20,76.7,77.9,77.9,76.6,6750
29-12-20,77.9,78.8,78.8,77.9,910
30-12-20,77.3,77.3,77.3,77.0,1130
31-12-20,74.0,77.0,79.5,74.0,390
04-01-21,80.0,80.0,80.0,80.0,600
05-01-21,80.0,80.5,80.5,80.0,1300
06-01-21,80.5,80.5,80.5,80.5,0
07-01-21,80.5,80.2,80.5,80.2,500
08-01-21,80.2,80.2,80.2,80.2,500
11-01-21,75.4,75.0,75.4,75.0,3000
12-01-21,77.0,77.0,77.0,77.0,500
13-01-21,77.0,77.0,77.0,77.0,0
14-01-21,77.0,77.0,77.0,77.0,1900
15-01-21,77.2,80.5,80.5,77.2,4000
18-01-21,80.5,80.5,80.5,80.5,0
19-01-21,77.7,80.5,80.5,77.7,800
20-01-21,80.0,84.5,85.0,80.0,4100
21-01-21,81.6,81.0,81.6,81.0,1000
22-01-21,80.5,80.5,80.5,80.5,100
25-01-21,80.5,80.5,80.5,80.5,0
26-01-21,79.0,79.0,79.0,79.0,100
27-01-21,79.0,79.0,79.0,79.0,300
28-01-21,75.0,84.0,84.0,75.0,2300
29-01-21,78.2,78.2,78.2,78.2,100
01-02-21,75.2,83.0,83.0,75.2,1200
02-02-21,83.0,83.0,83.0,83.0,0
03-02-21,83.0,83.0,83.0,83.0,100
04-02-21,77.2,82.9,82.9,77.2,1300
05-02-21,82.9,82.9,82.9,82.9,0
08-02-21,78.7,77.7,79.0,77.7,3300
09-02-21,82.4,82.3,82.4,77.4,300
17-02-21,84.4,84.0,84.4,84.0,700
18-02-21,84.0,84.0,84.0,84.0,0
19-02-21,84.0,84.0,84.0,84.0,1000
22-02-21,84.0,85.0,86.0,78.6,2500
23-02-21,80.6,83.0,84.0,80.6,3700
24-02-21,83.0,83.0,83.0,83.0,5400
25-02-21,84.0,83.0,84.0,81.0,7400
26-02-21,83.0,83.0,83.0,83.0,1500
01-03-21,82.5,81.0,83.0,81.0,3700
02-03-21,83.0,82.5,83.0,82.5,400
03-03-21,82.5,77.0,82.5,77.0,4700
04-03-21,80.0,80.0,81.0,80.0,15000
05-03-21,80.0,81.5,82.0,80.0,2900
08-03-21,81.5,81.5,81.5,81.5,300
09-03-21,79.4,79.4,79.4,79.4,100
10-03-21,79.4,79.3,81.9,79.3,6900
11-03-21,81.5,83.9,84.5,81.5,800
12-03-21,85.0,85.0,85.0,85.0,100
15-03-21,81.3,85.0,85.0,81.3,7300
16-03-21,84.0,84.0,84.0,83.9,4400
17-03-21,80.6,80.9,80.9,80.6,500
18-03-21,83.0,83.0,83.0,82.9,3400
19-03-21,83.8,83.5,83.8,83.5,5600
22-03-21,82.2,82.2,82.2,82.2,900
23-03-21,84.0,84.0,84.0,83.0,3000
24-03-21,84.0,83.0,84.0,83.0,3000
25-03-21,81.2,82.2,88.5,81.1,9500
26-03-21,81.1,81.1,81.1,81.1,100
29-03-21,81.1,81.1,81.1,81.1,100
30-03-21,81.1,81.1,81.1,81.1,0
31-03-21,85.5,85.5,85.5,85.5,100
01-04-21,85.5,85.5,85.5,85.5,100
02-04-21,85.5,85.5,85.5,85.5,0
05-04-21,81.1,81.1,81.1,81.1,100
06-04-21,80.6,80.6,80.6,80.6,100
07-04-21,80.6,80.6,80.6,80.6,0
08-04-21,85.4,85.4,85.4,85.4,100
09-04-21,85.4,85.3,85.4,85.3,200
12-04-21,89.7,84.0,89.7,84.0,2300
13-04-21,84.0,84.0,84.0,84.0,100
14-04-21,83.0,82.2,83.0,82.2,200
15-04-21,83.0,82.1,83.0,82.0,800
16-04-21,82.1,82.0,82.1,82.0,2000
