Date,Open,Close,High,Low,Volume
16-11-20,45.5,45.8,45.85,45.5,3650
17-11-20,45.8,45.8,46.0,45.3,3350
18-11-20,45.8,45.8,46.4,45.8,6590
19-11-20,45.8,45.6,46.0,45.6,11020
20-11-20,45.6,45.7,46.0,45.55,4630
23-11-20,46.0,45.9,46.0,45.5,8970
24-11-20,45.9,45.85,45.9,45.65,17270
25-11-20,46.0,46.0,46.3,45.85,18260
26-11-20,46.1,46.8,46.8,46.1,17900
27-11-20,46.8,46.85,46.85,46.4,4740
30-11-20,46.85,46.85,46.9,46.7,15240
01-12-20,46.0,46.6,46.6,46.0,11660
02-12-20,46.55,46.4,46.55,46.2,20160
03-12-20,46.4,46.5,46.6,45.9,16040
04-12-20,46.0,46.35,46.6,46.0,3710
07-12-20,46.35,46.5,46.5,46.1,4930
08-12-20,46.2,46.5,46.5,46.0,11770
09-12-20,46.5,46.8,46.8,46.4,17350
10-12-20,47.0,47.0,47.2,46.75,11970
11-12-20,46.85,47.0,47.2,46.8,11420
14-12-20,47.2,47.0,47.2,47.0,24110
15-12-20,47.0,46.9,47.0,46.85,6810
16-12-20,47.0,47.2,47.4,46.85,5500
17-12-20,47.4,47.3,47.4,47.2,7530
18-12-20,47.4,47.35,47.4,47.2,19580
21-12-20,47.4,47.25,47.4,47.0,9180
22-12-20,47.0,47.2,47.3,47.0,6340
23-12-20,47.2,47.2,47.35,47.1,16480
24-12-20,47.2,47.1,47.2,47.0,9000
25-12-20,47.0,48.8,48.8,47.0,10350
28-12-20,48.8,47.6,48.8,47.5,7380
29-12-20,47.6,48.0,48.8,47.6,9050
30-12-20,48.0,48.1,48.45,47.8,5780
31-12-20,48.1,48.0,48.25,47.7,7260
04-01-21,49.85,48.7,49.85,48.1,12700
05-01-21,48.7,48.45,48.85,48.0,10100
06-01-21,48.1,48.8,49.0,48.1,8600
07-01-21,48.8,48.4,48.8,47.7,10600
08-01-21,48.05,48.25,48.45,48.0,11000
11-01-21,48.25,48.25,48.6,48.15,5300
12-01-21,48.25,48.35,48.35,48.2,9000
13-01-21,48.35,48.1,48.9,48.0,35000
14-01-21,48.0,48.1,48.4,48.0,5200
15-01-21,48.1,48.6,48.6,48.1,19000
18-01-21,48.8,49.8,50.0,48.8,13900
19-01-21,49.8,49.4,50.1,47.9,15100
20-01-21,49.4,48.1,49.4,48.0,15000
21-01-21,48.1,48.8,48.8,48.0,13400
22-01-21,49.0,48.9,49.0,48.5,4500
25-01-21,49.0,48.95,49.0,48.9,5400
26-01-21,48.95,48.0,48.95,48.0,14000
27-01-21,48.0,48.0,48.1,47.0,13900
28-01-21,48.0,44.65,48.0,44.65,44300
29-01-21,44.65,47.4,47.4,44.65,6700
01-02-21,45.5,45.3,46.6,45.3,19400
02-02-21,45.3,46.4,46.5,45.2,7000
03-02-21,47.8,46.3,47.8,46.0,8800
04-02-21,46.9,46.4,46.9,46.2,10400
05-02-21,46.6,47.3,47.7,46.6,13300
08-02-21,48.0,47.0,48.8,47.0,26200
09-02-21,47.0,48.5,48.5,46.9,13100
17-02-21,48.4,48.5,49.1,48.2,48800
18-02-21,49.0,48.55,49.0,48.4,28400
19-02-21,48.55,49.9,49.9,48.5,20100
22-02-21,51.0,50.3,51.5,50.0,38700
23-02-21,50.3,50.4,50.4,49.9,28100
24-02-21,50.0,50.0,51.0,50.0,18300
25-02-21,50.5,50.6,50.9,50.2,42700
26-02-21,50.5,49.0,50.5,48.0,50600
01-03-21,49.0,48.7,49.1,48.3,13400
02-03-21,48.7,48.35,48.8,48.35,18100
03-03-21,48.35,48.5,48.65,48.0,9900
04-03-21,48.7,47.9,48.7,47.9,13300
05-03-21,47.9,47.5,47.9,47.0,16300
08-03-21,47.5,47.4,47.5,47.0,18700
09-03-21,47.2,48.0,48.0,47.0,21900
10-03-21,47.75,47.1,48.1,47.1,5900
11-03-21,48.0,48.0,48.0,47.5,17800
12-03-21,48.0,48.0,48.0,47.7,10200
15-03-21,48.0,48.8,48.8,48.0,43200
16-03-21,48.5,48.2,48.5,47.8,7300
17-03-21,48.25,48.2,48.5,48.2,11000
18-03-21,48.2,47.8,48.2,47.8,6100
19-03-21,47.55,48.0,48.0,47.55,5000
22-03-21,48.0,48.0,48.1,47.8,14700
23-03-21,48.0,47.7,48.0,47.5,10900
24-03-21,47.7,47.6,47.9,47.5,14400
25-03-21,47.7,47.7,47.9,47.4,11800
26-03-21,47.7,47.3,47.7,47.0,18000
29-03-21,47.3,47.2,47.5,47.0,2900
30-03-21,47.8,47.2,47.8,47.0,11000
31-03-21,47.5,47.2,47.5,47.0,6200
01-04-21,47.05,47.5,47.5,47.05,10100
02-04-21,47.5,47.5,47.6,47.5,9100
05-04-21,47.3,47.4,47.5,47.3,8900
06-04-21,47.2,47.2,47.4,47.2,19000
07-04-21,47.2,47.3,47.3,47.2,23900
08-04-21,47.3,47.25,47.3,47.1,6700
09-04-21,47.3,47.25,47.3,47.2,9400
12-04-21,47.1,47.05,47.25,47.05,16500
13-04-21,47.05,46.95,47.1,46.9,23700
14-04-21,46.95,46.6,47.0,46.6,8600
15-04-21,46.6,46.6,46.95,46.5,8100
16-04-21,46.95,46.4,46.95,46.1,7400
19-04-21,46.4,46.4,46.5,46.0,9200
20-04-21,46.05,47.0,47.0,46.0,22300
22-04-21,47.0,45.5,47.0,45.5,23100
23-04-21,45.5,45.5,46.0,45.2,14000
26-04-21,45.55,44.8,45.55,44.8,10900
27-04-21,44.8,45.0,45.0,44.8,4300
28-04-21,45.0,44.5,45.0,44.5,7900
29-04-21,44.4,44.4,44.5,43.75,12800
04-05-21,44.4,43.3,44.4,43.3,12600
05-05-21,43.4,43.5,43.5,43.35,14700
06-05-21,43.5,43.65,44.0,43.5,9100
07-05-21,43.65,43.0,43.65,43.0,9700
10-05-21,42.4,42.5,42.6,42.4,5800
11-05-21,42.5,42.3,42.5,42.2,19000
12-05-21,42.3,42.5,43.0,42.3,9500
13-05-21,42.2,43.0,43.5,42.2,12800
14-05-21,43.8,42.5,43.8,42.5,32400
17-05-21,43.0,42.0,43.0,42.0,14400
18-05-21,42.0,42.0,42.1,41.2,14400
19-05-21,41.5,41.8,42.3,41.5,2100
20-05-21,41.5,41.65,41.65,41.0,4600
21-05-21,41.05,41.5,42.0,41.05,7300
24-05-21,41.5,41.8,42.0,41.5,9000
25-05-21,41.6,41.0,41.8,40.9,31300
26-05-21,41.0,42.0,42.0,40.75,7000
27-05-21,41.75,41.0,41.75,41.0,3100
28-05-21,41.0,41.0,41.1,40.7,10700
31-05-21,41.0,40.6,41.0,40.5,15300
01-06-21,40.6,40.7,41.0,40.55,2400
02-06-21,40.6,40.5,41.0,40.5,10700
03-06-21,40.5,40.5,41.8,40.4,61300
04-06-21,40.5,41.1,41.5,40.5,26600
07-06-21,41.1,41.65,41.8,41.1,19400
08-06-21,41.7,41.6,41.8,41.3,27600
09-06-21,41.6,41.5,41.8,41.5,20100
10-06-21,41.8,41.6,41.8,40.5,13300
11-06-21,41.8,42.0,42.0,41.7,12800
14-06-21,42.0,41.8,42.0,41.8,14400
15-06-21,41.8,41.8,41.8,41.5,18700
16-06-21,41.8,41.7,41.8,41.5,13400
17-06-21,41.7,41.8,41.8,41.6,20700
18-06-21,41.8,41.75,41.85,41.7,13100
21-06-21,41.75,42.5,43.0,41.75,28400
22-06-21,42.5,42.6,42.6,42.4,16700
23-06-21,42.6,42.8,42.8,42.4,12200
