Date,Open,Close,High,Low,Volume
16-11-20,7.98,7.79,7.98,7.79,310
17-11-20,7.9,8.33,8.33,7.85,70140
18-11-20,8.91,8.91,8.91,8.8,20000
19-11-20,9.53,9.5,9.53,9.01,64200
20-11-20,9.5,8.99,9.5,8.88,36320
23-11-20,8.99,8.8,8.99,8.8,42790
24-11-20,8.41,8.8,9.0,8.35,29790
25-11-20,8.5,8.5,8.8,8.4,16360
26-11-20,8.13,8.2,8.8,8.13,7030
27-11-20,7.11,7.96,7.97,7.11,13940
30-11-20,8.19,7.98,8.3,7.83,3330
01-12-20,7.8,8.0,8.08,7.46,6440
02-12-20,7.8,7.95,8.0,7.6,10700
03-12-20,7.96,7.87,7.96,7.87,17630
04-12-20,7.88,7.96,8.07,7.5,3290
07-12-20,7.96,7.96,7.97,7.93,2100
08-12-20,8.04,7.97,8.04,7.66,6570
09-12-20,7.94,7.71,7.94,7.71,2020
10-12-20,7.95,7.91,7.95,7.7,1380
11-12-20,7.92,7.9,7.92,7.9,70
14-12-20,7.8,7.88,7.88,7.66,10990
15-12-20,7.8,7.82,8.0,7.8,74290
16-12-20,7.86,7.89,7.89,7.28,29510
17-12-20,7.89,7.89,7.89,7.88,22000
18-12-20,7.85,7.85,7.89,7.61,16950
21-12-20,7.89,7.88,7.89,7.55,17110
22-12-20,7.86,7.8,7.88,7.8,4400
23-12-20,7.8,7.8,7.83,7.8,29890
24-12-20,7.93,7.93,7.93,7.56,15590
25-12-20,8.4,7.95,8.4,7.57,19250
28-12-20,8.0,8.1,8.2,8.0,22800
29-12-20,8.1,8.1,8.15,8.0,7090
30-12-20,8.1,7.9,8.1,7.9,32800
31-12-20,8.1,7.88,8.1,7.85,16750
04-01-21,8.0,7.76,8.0,7.75,18500
05-01-21,8.0,8.3,8.3,8.0,62900
06-01-21,8.8,8.87,8.88,8.5,51600
07-01-21,8.88,8.6,8.88,8.5,14400
08-01-21,8.51,8.5,8.55,8.42,21900
11-01-21,8.32,8.46,8.47,8.32,21000
12-01-21,8.48,8.6,8.6,8.4,25300
13-01-21,8.6,8.9,8.9,8.52,66300
14-01-21,9.0,8.9,9.16,8.9,45700
15-01-21,8.9,8.83,8.9,8.8,6400
18-01-21,8.83,8.75,8.83,8.61,6200
19-01-21,8.66,8.65,8.67,8.65,9500
20-01-21,8.65,8.35,8.74,8.35,19200
21-01-21,7.83,8.35,8.6,7.83,21000
22-01-21,8.36,8.3,8.4,8.3,7900
25-01-21,8.5,8.5,8.5,8.3,36900
26-01-21,8.5,8.2,8.5,8.2,12100
27-01-21,8.04,8.15,8.47,8.04,23000
28-01-21,8.18,7.99,8.18,7.58,36300
29-01-21,8.45,8.45,8.45,8.45,100
01-02-21,8.3,8.29,8.39,8.0,7500
02-02-21,8.29,8.29,8.29,8.29,100
03-02-21,7.81,8.19,8.26,7.81,300
04-02-21,8.18,8.0,8.18,8.0,6100
05-02-21,8.0,8.56,8.56,7.72,28000
08-02-21,8.5,8.4,8.78,8.4,22300
09-02-21,8.45,8.8,8.8,8.4,38300
17-02-21,8.8,8.8,8.8,8.31,4100
18-02-21,8.32,8.79,8.8,8.3,50900
19-02-21,8.79,8.79,8.79,8.79,500
22-02-21,8.5,8.31,8.69,8.3,9500
23-02-21,8.31,8.55,8.55,8.3,18100
24-02-21,8.56,8.6,8.71,8.56,33100
25-02-21,8.79,9.2,9.2,8.79,252200
26-02-21,9.39,9.84,9.84,9.38,113900
01-03-21,10.35,10.5,10.5,10.1,160100
02-03-21,10.9,11.2,11.2,10.65,317100
03-03-21,11.7,11.95,11.95,11.2,167500
04-03-21,12.75,12.75,12.75,12.75,122400
05-03-21,13.6,13.6,13.6,13.6,90900
08-03-21,14.55,12.65,14.55,12.65,180200
09-03-21,11.8,11.8,12.4,11.8,316500
10-03-21,11.6,12.3,12.6,11.6,126100
11-03-21,11.6,12.1,12.5,11.6,103100
12-03-21,11.7,12.2,12.2,11.7,67700
15-03-21,11.9,11.9,12.2,11.8,48400
16-03-21,11.9,11.9,11.9,11.6,47500
17-03-21,11.9,11.9,12.2,11.5,73800
18-03-21,12.4,12.2,12.4,12.0,104800
19-03-21,12.5,12.6,13.0,12.3,95000
22-03-21,12.6,12.3,12.65,12.3,80300
23-03-21,12.4,12.3,12.4,12.1,30600
24-03-21,12.0,12.1,12.1,11.8,77300
25-03-21,12.1,11.9,12.1,11.8,22400
26-03-21,11.8,11.65,12.0,11.1,42400
29-03-21,12.35,12.2,12.4,11.75,65300
30-03-21,12.0,11.9,12.2,11.9,63500
31-03-21,11.9,12.0,12.2,11.2,60000
01-04-21,11.8,11.8,12.0,11.8,33200
02-04-21,10.85,10.85,10.85,10.6,78800
05-04-21,11.5,11.1,11.6,10.8,80900
06-04-21,10.4,10.7,11.0,10.4,51300
07-04-21,10.5,10.3,10.7,10.3,76200
08-04-21,10.2,10.25,10.4,10.0,50000
09-04-21,10.2,10.25,10.25,9.9,39100
12-04-21,10.3,10.4,10.4,10.1,45000
13-04-21,10.25,10.3,10.55,10.25,19900
14-04-21,10.35,10.25,10.35,10.0,51800
15-04-21,10.4,10.15,10.4,10.15,32900
16-04-21,10.15,10.0,10.15,9.91,30300
19-04-21,10.25,10.0,10.3,9.91,7000
20-04-21,10.0,9.9,10.1,9.9,24700
22-04-21,10.05,9.8,10.05,9.6,17800
23-04-21,9.36,9.85,10.0,9.36,5200
26-04-21,9.85,9.3,9.85,9.25,27300
27-04-21,9.0,9.3,9.5,9.0,2900
28-04-21,8.9,9.39,9.4,8.9,17200
29-04-21,9.38,9.5,10.0,9.05,20300
04-05-21,8.85,10.1,10.15,8.85,57900
05-05-21,10.4,10.25,10.5,10.1,36600
06-05-21,10.25,10.25,10.25,9.8,7800
07-05-21,9.9,9.55,9.9,9.55,13800
10-05-21,9.55,9.2,9.55,8.9,18800
11-05-21,9.24,9.08,9.24,9.05,13300
12-05-21,8.6,9.07,9.09,8.6,13200
13-05-21,9.07,9.06,9.07,8.95,13200
14-05-21,9.1,9.2,9.2,8.7,20400
17-05-21,9.2,9.1,9.2,9.0,5200
18-05-21,9.1,8.48,9.1,8.48,4500
19-05-21,9.0,8.9,9.0,8.9,3300
20-05-21,8.9,8.9,8.9,8.7,2600
21-05-21,8.29,8.8,8.85,8.28,39500
24-05-21,8.22,8.61,8.8,8.2,37000
25-05-21,8.61,8.79,8.79,8.3,24800
26-05-21,8.79,8.68,8.79,8.34,4900
27-05-21,8.21,8.5,8.6,8.11,38300
28-05-21,8.5,8.5,8.64,8.5,54800
31-05-21,9.0,8.8,9.0,8.68,73100
01-06-21,8.8,8.8,8.86,8.25,35400
02-06-21,8.8,9.0,9.02,8.8,81700
03-06-21,9.0,9.63,9.63,9.0,67400
04-06-21,10.3,10.3,10.3,10.3,45500
07-06-21,11.0,10.6,11.0,10.3,163900
08-06-21,10.4,10.0,10.8,9.88,54000
09-06-21,9.71,9.61,10.0,9.61,17300
10-06-21,9.6,9.5,9.6,9.2,16700
11-06-21,9.5,9.5,9.6,9.4,11900
14-06-21,10.0,9.62,10.0,9.5,30200
15-06-21,9.62,9.8,9.8,9.6,17300
16-06-21,9.78,9.4,9.8,9.4,8300
17-06-21,9.8,9.6,9.8,9.0,16500
18-06-21,9.6,9.35,9.6,9.12,9300
21-06-21,9.31,9.6,9.9,9.31,11600
22-06-21,9.6,9.3,9.7,9.3,19600
23-06-21,9.3,9.55,9.55,9.3,17000
24-06-21,9.7,9.65,9.7,9.41,50600
25-06-21,9.5,9.7,9.7,9.5,13300
28-06-21,9.41,9.66,9.75,9.41,11600
29-06-21,9.2,9.66,9.66,9.2,33900
30-06-21,9.66,9.65,9.7,9.65,3600
01-07-21,9.4,9.72,9.73,9.2,2400
02-07-21,9.7,9.69,9.7,9.35,3100
05-07-21,9.57,9.42,9.7,9.3,11800
06-07-21,9.43,10.05,10.05,9.43,216900
07-07-21,10.7,10.0,10.7,10.0,18100
08-07-21,10.0,10.0,10.0,9.8,6100
09-07-21,9.53,9.99,10.0,9.3,37800
12-07-21,9.4,9.4,9.5,9.3,48500
13-07-21,8.75,9.8,9.8,8.75,11900
14-07-21,9.5,9.5,9.8,9.3,15700
15-07-21,9.5,9.87,9.99,9.4,4200
16-07-21,9.6,9.41,9.8,9.41,7900
19-07-21,9.4,9.5,9.5,9.35,6000
20-07-21,9.5,9.5,9.5,9.4,9500
21-07-21,9.3,9.7,9.8,9.3,6800
22-07-21,9.51,9.51,9.51,9.51,1400
23-07-21,9.55,9.6,9.6,9.51,15400
26-07-21,9.62,10.25,10.25,9.62,135300
27-07-21,10.95,10.3,10.95,10.3,43300
28-07-21,10.1,10.75,10.75,10.1,46100
29-07-21,10.7,10.6,10.7,10.15,76000
30-07-21,10.5,10.55,10.55,10.1,54100
02-08-21,10.0,10.5,10.65,10.0,36400
03-08-21,10.5,10.05,10.5,10.0,8000
04-08-21,10.05,10.05,10.3,10.0,19900
05-08-21,10.05,10.3,10.3,10.05,23200
06-08-21,10.25,10.1,10.25,10.1,12800
09-08-21,10.1,10.1,10.15,10.05,24400
10-08-21,10.1,10.35,10.35,10.05,26700
11-08-21,10.35,10.4,10.5,9.9,12700
12-08-21,10.4,10.4,10.5,10.0,9900
13-08-21,10.45,10.25,10.45,10.0,36100
16-08-21,10.25,10.3,10.45,10.25,69000
17-08-21,10.3,10.3,10.5,10.2,13500
18-08-21,10.3,10.15,10.35,10.15,21100
19-08-21,10.15,10.35,10.35,10.15,10300
20-08-21,10.35,10.3,10.35,10.15,15000
23-08-21,10.15,10.2,10.25,10.0,20300
24-08-21,10.0,10.3,10.7,10.0,29400
25-08-21,10.3,10.3,10.5,10.2,22300
26-08-21,10.5,10.35,10.5,10.35,14700
27-08-21,10.0,10.3,10.4,10.0,9000
30-08-21,10.45,10.35,10.45,10.3,36100
31-08-21,10.35,10.35,10.45,10.3,29600
01-09-21,10.35,11.05,11.05,10.35,162300
06-09-21,11.8,11.8,11.8,11.7,236400
07-09-21,12.4,12.6,12.6,12.0,111200
08-09-21,13.0,13.45,13.45,12.55,189300
09-09-21,14.35,14.35,14.35,14.35,110400
10-09-21,15.35,15.3,15.35,15.0,338600
13-09-21,15.3,14.5,15.3,14.25,172300
14-09-21,14.5,14.85,15.0,14.25,96500
15-09-21,14.2,14.65,15.5,14.1,41600
16-09-21,14.2,13.7,14.5,13.65,112200
17-09-21,13.0,12.75,13.2,12.75,171600
20-09-21,12.7,13.6,13.6,12.15,40900
21-09-21,13.0,13.4,13.6,12.8,40000
22-09-21,13.0,13.55,13.55,12.9,35100
23-09-21,13.3,13.5,13.55,13.0,77600
24-09-21,12.9,13.0,13.15,12.8,18700
27-09-21,13.0,12.4,13.0,12.35,36600
28-09-21,12.3,12.2,12.3,11.7,59800
29-09-21,11.8,12.85,12.9,11.4,27700
30-09-21,12.4,12.3,13.0,12.0,93700
01-10-21,12.3,12.0,12.3,11.5,43000
04-10-21,11.8,12.0,12.35,11.4,40500
05-10-21,12.0,11.8,12.0,11.4,30400
06-10-21,11.5,12.4,12.6,11.5,76200
07-10-21,12.4,12.5,12.5,12.3,8400
08-10-21,12.5,12.0,12.5,11.9,9100
11-10-21,12.0,12.1,12.2,11.95,57500
12-10-21,12.1,12.2,12.2,11.9,25000
13-10-21,12.3,12.1,12.3,11.5,14700
14-10-21,12.1,12.15,12.2,11.8,45600
15-10-21,12.15,13.0,13.0,12.15,155300
18-10-21,13.8,13.9,13.9,13.5,174400
19-10-21,14.6,13.7,14.6,12.95,107100
20-10-21,13.7,13.4,13.7,12.85,11000
21-10-21,13.2,12.55,13.2,12.5,122600
22-10-21,12.55,12.5,13.1,12.5,36600
25-10-21,12.45,13.35,13.35,12.45,85200
26-10-21,13.6,13.3,13.8,12.8,120600
27-10-21,13.25,12.45,13.3,12.45,231400
28-10-21,12.65,12.55,13.0,11.9,380800
29-10-21,12.8,12.8,13.4,12.5,222800
01-11-21,12.8,12.85,13.0,12.65,144400
02-11-21,12.7,12.95,13.25,12.6,231300
03-11-21,13.0,12.7,13.0,12.6,122300
04-11-21,12.5,12.85,13.0,12.45,75600
05-11-21,12.85,12.65,12.85,12.5,85100
08-11-21,12.8,12.5,12.9,12.45,106500
09-11-21,12.65,12.5,12.65,12.35,100200
10-11-21,12.5,12.95,13.0,12.45,107500
11-11-21,12.95,12.85,13.0,12.65,110500
12-11-21,13.0,13.7,13.7,12.75,690500
15-11-21,14.5,14.0,14.55,13.7,493900
16-11-21,14.0,13.95,14.2,13.8,154400
17-11-21,13.8,14.9,14.9,13.1,971200
18-11-21,15.25,14.9,15.45,14.9,388900
19-11-21,14.9,14.1,14.9,13.9,287700
22-11-21,13.4,13.15,13.8,13.15,504100
23-11-21,12.3,13.2,13.5,12.25,358300
24-11-21,13.4,13.5,13.7,13.0,137200
25-11-21,13.65,13.4,13.65,12.8,99500
26-11-21,13.3,12.8,13.3,12.75,223900
29-11-21,12.5,13.0,13.4,12.3,186700
30-11-21,13.0,13.1,13.3,12.9,254000
01-12-21,13.0,13.05,13.2,12.8,101700
02-12-21,13.95,13.8,13.95,13.1,624600
03-12-21,13.8,13.7,14.3,13.5,227700
06-12-21,13.7,13.3,14.0,13.3,207500
07-12-21,13.7,13.6,13.7,13.0,95100
08-12-21,13.85,13.3,13.85,13.2,107600
