Date,Open,Close,High,Low,Volume
16-11-20,48.4,48.7,48.7,48.4,260
17-11-20,51.0,49.6,51.0,49.6,1980
18-11-20,53.0,53.0,53.0,53.0,20
19-11-20,53.0,49.4,53.0,49.3,590
20-11-20,52.0,46.1,52.0,46.1,110
23-11-20,49.3,49.3,49.3,49.3,20
24-11-20,51.2,48.0,51.2,48.0,830
25-11-20,50.9,50.0,50.9,50.0,30
26-11-20,51.5,51.5,51.5,51.5,20
27-11-20,51.2,51.0,51.5,51.0,540
30-11-20,51.5,50.0,51.5,50.0,260
01-12-20,47.1,46.95,47.1,46.95,6920
02-12-20,46.95,47.4,47.4,43.7,8850
03-12-20,47.7,50.7,50.7,47.7,90
04-12-20,50.5,47.35,50.5,47.3,460
07-12-20,47.55,46.0,47.55,45.0,2460
08-12-20,46.0,47.5,47.5,45.5,1350
09-12-20,47.0,47.0,47.0,46.95,1330
10-12-20,47.0,47.0,47.0,47.0,150
11-12-20,44.0,44.0,44.0,44.0,50
14-12-20,46.95,46.9,46.95,46.55,1180
15-12-20,46.5,46.5,46.5,46.5,490
16-12-20,46.0,45.3,46.0,45.1,720
17-12-20,45.3,45.3,45.3,45.3,80
18-12-20,45.5,45.0,45.5,45.0,3170
21-12-20,45.0,46.0,46.0,44.5,11770
22-12-20,46.0,46.0,46.0,46.0,0
23-12-20,46.0,45.0,46.0,45.0,210
24-12-20,43.0,45.9,46.0,43.0,2840
25-12-20,48.3,46.0,48.3,43.15,690
28-12-20,45.0,45.2,45.2,45.0,850
29-12-20,45.2,45.5,45.5,45.2,30
30-12-20,46.3,46.0,46.3,45.0,3750
31-12-20,45.8,46.0,46.0,43.1,3270
04-01-21,43.3,47.0,47.0,43.3,300
05-01-21,47.0,47.0,47.0,47.0,100
06-01-21,43.8,43.9,43.9,43.8,1800
07-01-21,43.9,44.2,44.2,43.9,200
08-01-21,46.8,46.8,46.8,46.8,100
11-01-21,46.8,46.8,46.8,46.8,0
12-01-21,46.6,45.9,46.6,43.8,900
13-01-21,45.85,45.5,46.0,45.5,2600
14-01-21,45.5,45.5,45.5,45.5,0
15-01-21,45.5,45.5,45.5,45.5,0
18-01-21,46.4,46.4,46.4,46.4,400
19-01-21,46.0,46.0,46.0,46.0,500
20-01-21,46.0,46.0,46.0,46.0,0
21-01-21,46.5,46.5,46.5,46.5,1200
22-01-21,43.8,43.8,43.8,43.8,100
25-01-21,46.3,46.3,46.3,46.3,100
26-01-21,46.3,46.25,46.3,46.25,200
27-01-21,44.05,44.05,44.05,44.05,100
28-01-21,44.05,44.05,44.05,44.05,0
29-01-21,44.05,44.05,44.05,44.05,0
01-02-21,41.15,41.15,41.15,41.15,100
