Date,Open,Close,High,Low,Volume
16-11-20,4.54,4.53,4.57,4.45,4067680
17-11-20,4.5,4.54,4.57,4.48,3239760
18-11-20,4.53,4.48,4.54,4.47,4610700
19-11-20,4.5,4.42,4.5,4.41,4658560
20-11-20,4.42,4.55,4.55,4.42,8506950
23-11-20,4.7,4.5,4.7,4.5,10759930
24-11-20,4.5,4.45,4.53,4.4,7243290
25-11-20,4.45,4.58,4.68,4.43,12097240
26-11-20,4.6,4.77,4.79,4.55,18021000
27-11-20,4.74,4.65,4.78,4.65,7053510
30-11-20,4.7,4.52,4.7,4.52,10417420
01-12-20,4.46,4.59,4.66,4.45,16270430
02-12-20,4.59,4.53,4.64,4.53,6406140
03-12-20,4.54,4.54,4.6,4.5,7261060
04-12-20,4.59,4.69,4.79,4.55,16828160
07-12-20,4.69,4.76,4.85,4.67,12205440
08-12-20,4.76,4.69,4.77,4.65,7450580
09-12-20,4.7,4.68,4.73,4.65,8490020
10-12-20,4.82,4.74,4.95,4.74,19053680
11-12-20,4.76,4.73,4.79,4.68,3993570
14-12-20,4.74,4.81,4.83,4.7,9965120
15-12-20,4.82,4.95,5.1,4.76,30066630
16-12-20,5.05,5.2,5.2,5.0,20456650
17-12-20,5.1,5.15,5.39,5.1,15616470
18-12-20,5.15,5.19,5.27,5.1,12691250
21-12-20,5.25,5.33,5.4,5.1,20723610
22-12-20,5.32,5.37,5.39,5.25,10895410
23-12-20,5.5,5.2,5.5,5.2,14605930
24-12-20,5.2,5.13,5.25,4.9,17899020
25-12-20,5.13,5.2,5.24,5.06,10311450
28-12-20,5.24,5.41,5.55,5.18,23363290
29-12-20,5.4,5.46,5.55,5.32,14546600
30-12-20,5.49,5.28,5.5,5.28,10740400
31-12-20,5.3,5.25,5.34,5.2,10764840
04-01-21,5.28,5.29,5.4,5.23,10403500
05-01-21,5.29,5.36,5.4,5.25,10129300
06-01-21,5.37,5.28,5.4,5.26,11937800
07-01-21,5.49,5.64,5.64,5.4,16564100
08-01-21,6.03,6.03,6.03,5.93,40593900
11-01-21,6.03,6.36,6.4,6.03,30196600
12-01-21,6.36,6.27,6.36,6.1,15004100
13-01-21,6.2,6.0,6.26,5.98,29419900
14-01-21,6.0,6.07,6.12,5.97,21102300
15-01-21,6.11,6.39,6.45,6.1,20927400
18-01-21,6.4,6.3,6.41,6.26,17333400
19-01-21,6.29,5.86,6.29,5.86,17961600
20-01-21,5.73,5.7,5.8,5.45,21965300
21-01-21,5.8,6.0,6.03,5.68,10887700
22-01-21,6.0,5.8,6.07,5.78,12360200
25-01-21,5.78,5.83,6.01,5.7,9533700
26-01-21,5.82,5.53,5.83,5.43,16228800
27-01-21,5.41,5.15,5.52,5.15,16168400
28-01-21,4.79,4.79,4.96,4.79,12245600
29-01-21,4.48,4.83,5.02,4.48,11360900
01-02-21,4.62,4.5,4.8,4.5,14218000
02-02-21,4.4,4.26,4.4,4.19,9407600
03-02-21,4.35,4.45,4.47,4.29,7839200
04-02-21,4.55,4.46,4.58,4.44,6447700
05-02-21,4.49,4.56,4.56,4.46,5949400
08-02-21,4.56,4.33,4.59,4.25,8486100
09-02-21,4.33,4.56,4.6,4.27,6052700
17-02-21,4.63,4.83,4.83,4.56,6834800
18-02-21,4.85,4.85,4.94,4.7,7626900
19-02-21,4.8,4.81,4.88,4.75,4895400
22-02-21,4.81,4.79,4.86,4.76,6204600
23-02-21,4.78,4.68,4.78,4.64,9812600
24-02-21,4.64,4.62,4.73,4.54,6099000
25-02-21,4.64,4.6,4.65,4.51,5758100
26-02-21,4.55,4.7,4.79,4.5,5009800
01-03-21,4.67,4.7,4.71,4.61,4047200
02-03-21,4.72,4.71,4.74,4.68,4822900
03-03-21,4.71,4.83,4.85,4.68,5159000
04-03-21,4.86,4.8,5.0,4.7,10400000
05-03-21,4.8,4.84,4.86,4.7,4032800
08-03-21,4.9,4.85,4.9,4.8,6169400
09-03-21,4.85,5.0,5.1,4.8,11844800
10-03-21,5.0,5.14,5.16,5.0,10230600
11-03-21,5.15,5.11,5.19,5.1,7436800
12-03-21,5.1,5.06,5.11,5.03,9474600
15-03-21,5.1,5.24,5.35,5.06,11483000
16-03-21,5.28,5.23,5.28,5.15,7626200
17-03-21,5.23,5.22,5.4,5.18,7740400
18-03-21,5.25,5.22,5.26,5.2,5832800
19-03-21,5.2,5.19,5.22,5.11,6035100
22-03-21,5.2,5.26,5.32,5.17,7187100
23-03-21,5.22,5.23,5.27,5.21,6369000
24-03-21,5.2,5.19,5.23,5.1,6594300
25-03-21,5.19,5.15,5.22,5.1,5748900
26-03-21,5.1,5.13,5.15,4.9,7356600
29-03-21,5.15,5.48,5.48,5.0,14077800
30-03-21,5.63,5.59,5.8,5.51,9722700
31-03-21,5.58,5.55,5.65,5.5,6958600
01-04-21,5.5,5.58,5.66,5.5,6140900
02-04-21,5.6,5.66,5.75,5.58,7963000
05-04-21,5.75,5.66,5.75,5.63,7701400
06-04-21,5.66,5.66,5.7,5.61,7438700
07-04-21,5.66,5.72,5.83,5.63,9222000
08-04-21,5.8,5.74,5.8,5.69,7675800
09-04-21,5.75,5.83,5.9,5.72,9043400
12-04-21,5.83,6.23,6.23,5.83,27451200
13-04-21,6.3,6.09,6.3,6.01,18308600
14-04-21,6.0,6.05,6.32,5.96,18952100
15-04-21,6.12,6.09,6.23,6.05,16065500
16-04-21,6.08,5.99,6.14,5.78,15604600
19-04-21,6.0,5.92,6.0,5.7,12101300
20-04-21,5.81,5.81,5.92,5.8,10234900
22-04-21,5.41,5.41,5.41,5.41,19219200
23-04-21,5.04,5.04,5.04,5.04,12462200
26-04-21,5.2,5.33,5.36,5.06,23731600
27-04-21,5.3,5.3,5.43,5.23,5584800
28-04-21,5.24,5.4,5.4,5.19,5140000
29-04-21,5.4,5.44,5.6,5.3,5458600
04-05-21,5.2,5.28,5.35,5.06,8044500
05-05-21,5.2,5.36,5.36,5.19,6526400
06-05-21,5.36,5.36,5.38,5.25,5110700
07-05-21,5.36,5.3,5.36,5.22,7670800
10-05-21,5.2,5.25,5.29,5.2,8711800
11-05-21,5.21,5.24,5.31,5.19,4426500
12-05-21,5.24,5.6,5.6,5.2,9452500
13-05-21,5.65,5.58,5.75,5.56,7839600
14-05-21,5.57,5.57,5.65,5.51,4012100
17-05-21,5.5,5.41,5.6,5.4,5258800
18-05-21,5.32,5.29,5.35,5.27,2422100
19-05-21,5.29,5.25,5.37,5.25,3027400
20-05-21,5.25,5.18,5.25,5.18,2861600
21-05-21,5.13,5.24,5.36,5.13,1958800
24-05-21,5.24,5.22,5.34,5.22,1959000
25-05-21,5.28,5.25,5.3,5.2,3205100
26-05-21,5.25,5.35,5.53,5.18,4893800
27-05-21,5.35,5.2,5.37,5.18,2263900
28-05-21,5.15,5.22,5.25,5.15,3367500
31-05-21,5.18,5.13,5.2,5.13,3396200
01-06-21,5.12,5.11,5.16,5.1,2763600
02-06-21,5.06,5.21,5.25,5.06,3123300
03-06-21,5.21,5.26,5.31,5.21,4554400
04-06-21,5.4,5.28,5.45,5.26,6069800
07-06-21,5.2,5.38,5.39,5.18,4262200
08-06-21,5.45,5.46,5.6,5.3,9836100
09-06-21,5.41,5.49,5.49,5.35,4542500
10-06-21,5.49,5.5,5.65,5.43,5722700
11-06-21,5.49,5.49,5.58,5.46,3010100
14-06-21,5.6,5.72,5.8,5.56,8094800
