Date,Open,Close,High,Low,Volume
16-11-20,15.95,16.1,16.1,15.9,94850
17-11-20,15.9,15.4,15.9,14.9,116530
18-11-20,15.2,15.2,15.3,15.2,32790
19-11-20,15.2,15.2,15.2,14.9,19400
20-11-20,14.9,15.0,15.1,14.8,28610
23-11-20,15.0,15.0,15.0,14.7,56960
24-11-20,14.75,14.9,14.9,14.7,27830
25-11-20,15.0,14.85,15.0,14.7,47050
26-11-20,14.8,14.8,14.85,14.7,49440
27-11-20,14.7,14.8,14.8,14.6,49440
30-11-20,14.8,14.8,14.9,14.8,43760
01-12-20,14.85,14.85,14.85,14.5,23620
02-12-20,14.65,14.75,14.8,14.65,17560
03-12-20,14.65,14.9,15.0,14.65,145660
04-12-20,14.8,14.9,14.9,14.7,30740
07-12-20,15.0,14.85,15.0,14.5,72340
08-12-20,14.7,14.8,14.85,14.7,30110
09-12-20,14.9,14.9,14.9,14.8,45540
10-12-20,14.95,14.9,14.95,14.75,22610
11-12-20,14.9,14.95,14.95,14.8,18980
14-12-20,14.95,14.95,14.95,14.85,21580
15-12-20,14.9,14.9,15.0,14.85,56210
16-12-20,15.0,15.05,15.1,14.9,75390
17-12-20,15.2,14.9,15.2,14.9,120970
18-12-20,14.9,15.05,15.05,14.9,46940
21-12-20,15.2,15.1,15.2,15.05,30560
22-12-20,15.1,15.3,15.45,15.1,63020
23-12-20,15.4,15.5,15.6,15.35,59610
24-12-20,15.65,15.5,15.7,15.2,11760
25-12-20,15.4,15.35,15.45,15.25,16010
28-12-20,15.35,15.3,15.5,15.3,108650
29-12-20,15.3,15.4,16.3,15.3,53960
30-12-20,15.8,15.5,15.8,15.35,38970
31-12-20,15.35,15.45,15.45,15.35,27940
04-01-21,14.95,15.45,15.45,14.95,24600
05-01-21,15.45,15.5,15.5,15.2,54400
06-01-21,15.35,15.55,15.55,15.35,22700
07-01-21,15.8,15.6,15.8,15.5,61100
08-01-21,15.8,15.5,15.8,15.5,105600
11-01-21,15.5,15.5,15.5,15.5,37000
12-01-21,15.5,15.55,15.55,14.45,84500
13-01-21,15.5,15.55,15.55,15.5,51800
14-01-21,15.5,15.7,15.8,15.25,51300
15-01-21,16.0,15.5,16.0,15.5,29200
18-01-21,15.5,15.75,15.75,15.5,69900
19-01-21,15.65,15.6,15.8,15.3,118300
20-01-21,15.6,15.8,16.25,15.6,31700
21-01-21,15.9,15.95,15.95,15.6,91800
22-01-21,15.95,16.1,16.1,15.9,149300
25-01-21,16.1,16.35,16.4,16.0,88900
26-01-21,16.5,16.7,16.9,16.4,92200
27-01-21,16.75,16.1,16.75,15.6,26400
28-01-21,15.1,15.05,15.7,15.05,252500
29-01-21,15.5,15.25,15.5,15.1,44600
01-02-21,15.7,15.3,15.7,15.2,37400
02-02-21,15.2,15.6,15.6,15.2,98600
03-02-21,15.95,15.7,15.95,15.5,52100
04-02-21,15.65,15.3,15.65,15.3,11700
05-02-21,15.95,15.8,15.95,15.3,18700
08-02-21,15.85,15.5,15.85,15.5,8300
09-02-21,15.35,15.8,15.8,15.35,32000
17-02-21,15.8,16.05,16.05,15.8,164100
18-02-21,16.05,16.0,16.05,15.9,82300
19-02-21,16.0,15.95,16.05,15.85,44400
22-02-21,15.95,15.95,16.0,15.6,37200
23-02-21,15.9,15.9,15.95,15.65,19300
24-02-21,15.8,15.95,15.95,15.8,19600
25-02-21,15.85,16.1,16.1,15.8,81400
26-02-21,16.1,16.1,16.1,16.0,28900
01-03-21,16.1,16.0,16.1,16.0,3500
02-03-21,15.9,16.0,16.0,15.9,20600
03-03-21,15.9,15.9,16.0,15.85,23600
04-03-21,15.9,15.85,15.9,15.8,78000
05-03-21,15.8,15.9,15.95,15.8,40600
08-03-21,15.8,15.9,15.9,15.8,55800
09-03-21,15.8,15.9,15.9,15.75,95600
10-03-21,15.9,16.0,16.0,15.8,39600
11-03-21,16.0,16.0,16.0,15.9,20300
12-03-21,16.0,16.1,16.1,15.8,35000
15-03-21,16.15,16.0,16.15,15.9,20800
16-03-21,15.9,16.0,16.0,15.8,8400
17-03-21,15.85,15.95,16.0,15.85,38500
18-03-21,15.85,15.95,15.95,15.85,135900
19-03-21,15.95,15.9,15.95,15.9,11700
22-03-21,16.1,15.95,16.1,15.8,19600
23-03-21,15.85,15.95,16.0,15.85,35900
24-03-21,15.9,15.9,15.9,15.8,10100
25-03-21,15.9,15.95,15.95,15.8,52500
26-03-21,15.8,15.7,15.8,15.7,58600
29-03-21,15.75,15.9,15.9,15.75,32700
30-03-21,15.8,15.9,15.9,15.8,20800
31-03-21,15.8,15.95,15.95,15.8,35200
01-04-21,15.95,15.95,15.95,15.9,30200
02-04-21,16.0,16.5,16.5,15.95,50300
05-04-21,15.9,16.0,16.0,15.85,7200
06-04-21,16.1,16.0,16.1,15.9,21100
07-04-21,16.0,16.1,16.1,16.0,16300
08-04-21,16.0,16.1,16.1,16.0,27900
09-04-21,16.2,16.3,16.3,16.1,23600
12-04-21,16.1,16.1,16.2,16.1,5100
13-04-21,16.1,16.1,16.1,16.1,0
14-04-21,16.1,16.1,16.1,15.9,600
15-04-21,16.2,16.3,16.4,16.2,38800
16-04-21,17.1,16.7,17.1,16.3,16800
19-04-21,16.5,16.5,16.5,16.4,21500
20-04-21,16.5,16.5,16.5,16.3,11900
22-04-21,16.5,16.4,16.5,16.1,31200
23-04-21,16.4,16.2,16.4,15.95,41700
26-04-21,16.2,16.4,16.4,16.0,7800
27-04-21,16.3,16.0,16.3,16.0,2000
28-04-21,16.0,16.2,16.4,16.0,3400
29-04-21,15.85,16.0,16.0,15.85,8400
04-05-21,16.0,16.2,16.3,16.0,31200
05-05-21,16.2,16.4,16.4,16.0,20900
06-05-21,16.4,16.3,16.4,15.9,11400
07-05-21,16.3,16.25,16.3,16.0,51300
10-05-21,16.0,16.0,16.3,16.0,15200
11-05-21,16.25,16.1,16.25,16.1,5000
12-05-21,16.1,16.25,16.3,16.0,25900
13-05-21,16.1,16.2,16.2,16.1,11200
14-05-21,16.1,16.2,16.2,16.1,7200
17-05-21,15.75,16.3,16.3,15.75,20000
18-05-21,16.3,16.1,16.3,16.1,110400
19-05-21,16.2,16.1,16.2,16.0,116700
