Date,Open,Close,High,Low,Volume
16-11-20,10.0,10.7,10.7,9.95,9978080
17-11-20,10.95,11.4,11.4,10.95,8490020
18-11-20,11.9,12.15,12.15,11.6,11281990
19-11-20,11.95,12.2,12.85,11.5,6928070
20-11-20,12.05,11.75,12.05,11.65,6539860
23-11-20,11.3,11.8,12.25,11.3,7129120
24-11-20,11.85,11.7,12.1,11.35,5825610
25-11-20,11.8,11.35,11.85,11.35,4070050
26-11-20,11.3,12.1,12.1,10.8,6692890
27-11-20,12.7,12.2,12.7,12.15,6933330
30-11-20,12.3,11.85,12.35,11.8,4112400
01-12-20,11.5,12.1,12.15,11.45,4694430
02-12-20,12.05,11.85,12.2,11.75,4233940
03-12-20,12.0,12.35,12.45,11.75,5754720
04-12-20,12.5,13.05,13.2,12.25,8000100
07-12-20,13.15,13.95,13.95,13.1,7588870
08-12-20,14.0,14.15,14.3,13.65,5468670
09-12-20,14.1,14.25,14.8,13.9,6054700
10-12-20,14.25,13.7,14.3,13.6,8950460
11-12-20,13.85,14.4,14.4,13.65,5390450
14-12-20,14.7,14.55,14.8,14.55,5801220
15-12-20,14.4,14.4,14.6,14.15,5857300
16-12-20,14.55,14.75,14.75,14.35,4975500
17-12-20,15.0,15.0,15.5,14.7,5960140
18-12-20,14.9,15.15,15.25,14.9,4982090
21-12-20,15.2,14.9,15.3,14.65,5201300
22-12-20,14.9,15.2,15.4,14.7,5956440
23-12-20,15.65,15.3,16.0,15.1,5249610
24-12-20,15.5,15.2,15.5,14.4,4837790
25-12-20,15.1,15.15,15.25,14.6,5802680
28-12-20,15.5,15.2,15.6,15.0,4883880
29-12-20,15.2,15.05,15.3,15.05,3699890
30-12-20,15.05,14.8,15.1,14.75,4140590
31-12-20,14.9,15.0,15.0,14.65,2923370
04-01-21,15.3,16.0,16.05,15.15,9107900
05-01-21,16.0,16.0,16.35,15.75,4645700
06-01-21,16.05,15.9,16.15,15.85,4072200
07-01-21,15.7,16.0,16.2,15.6,4623000
08-01-21,16.2,15.9,16.4,15.9,4336900
11-01-21,16.0,15.85,16.0,15.7,3408700
12-01-21,16.0,16.3,16.55,15.8,6859200
13-01-21,16.45,16.1,16.45,16.05,3696600
14-01-21,16.1,16.05,16.2,15.95,2299600
15-01-21,16.2,16.2,16.45,16.15,4595800
18-01-21,16.5,16.75,17.0,16.3,6303100
19-01-21,16.9,15.8,17.0,15.6,5552300
20-01-21,15.8,15.5,16.2,14.75,3334800
21-01-21,16.1,16.3,16.4,15.6,4498700
22-01-21,16.3,16.55,16.85,16.3,5204500
25-01-21,16.55,17.6,17.7,16.5,8446400
26-01-21,17.8,17.0,17.95,16.6,5505100
27-01-21,16.5,16.15,17.15,16.0,5037200
28-01-21,15.1,15.05,15.6,15.05,6069400
29-01-21,14.1,15.5,16.05,14.05,5173300
01-02-21,15.4,14.45,16.0,14.45,4931200
02-02-21,14.0,14.45,14.6,13.85,5128300
03-02-21,14.6,15.25,15.25,14.3,4919900
04-02-21,15.3,15.3,15.65,14.95,3094500
05-02-21,15.1,15.4,15.5,15.1,2636400
08-02-21,15.25,14.6,15.4,14.35,3648300
09-02-21,14.6,15.0,15.1,14.4,2110200
17-02-21,15.2,15.9,15.9,15.2,2920800
18-02-21,15.7,15.7,16.05,15.6,2454500
19-02-21,15.5,16.2,16.45,15.4,5574400
22-02-21,16.6,16.35,16.8,16.15,4249900
23-02-21,16.45,16.5,16.65,16.3,3648800
24-02-21,16.7,16.3,16.7,16.0,4413800
25-02-21,16.4,16.5,16.55,16.25,4420900
26-02-21,16.4,17.65,17.65,16.25,15659400
01-03-21,18.85,18.85,18.85,18.4,8607800
02-03-21,19.3,19.1,19.5,18.75,6850900
03-03-21,18.8,20.25,20.4,18.65,10273100
04-03-21,20.5,19.9,20.5,19.3,7677600
05-03-21,19.6,20.25,20.4,19.4,5819300
08-03-21,20.7,21.65,21.65,20.25,10842300
09-03-21,21.65,21.5,22.7,21.1,7256700
10-03-21,21.6,21.55,21.7,21.0,7158000
11-03-21,21.5,22.0,22.05,21.3,6889300
12-03-21,22.3,21.8,22.3,21.4,5330700
15-03-21,21.8,21.65,21.8,21.4,4113500
16-03-21,21.6,21.95,22.2,21.6,5306200
17-03-21,21.95,22.0,22.2,21.8,3860900
18-03-21,22.2,22.65,22.8,22.2,4619300
19-03-21,22.5,23.15,23.35,22.5,3707100
22-03-21,23.5,23.15,23.5,22.8,3493500
23-03-21,22.9,22.55,23.35,21.8,6715300
24-03-21,22.0,21.7,22.4,21.3,4523000
25-03-21,21.8,21.7,22.0,21.4,2626700
26-03-21,21.7,21.8,22.1,20.5,4083600
29-03-21,22.05,22.5,22.5,21.85,3937900
30-03-21,22.6,23.25,23.3,22.5,5030300
