Date,Open,Close,High,Low,Volume
16-11-20,19.35,19.35,19.35,19.0,37760
17-11-20,19.3,19.4,19.4,19.3,19270
18-11-20,19.4,20.0,20.1,19.35,54950
19-11-20,20.0,19.85,20.0,19.35,79820
20-11-20,19.85,19.8,19.85,19.3,21450
23-11-20,19.8,19.8,19.8,19.35,30170
24-11-20,19.8,19.75,19.8,19.35,26220
25-11-20,19.75,19.6,19.75,19.3,21480
26-11-20,19.6,19.55,19.6,19.3,17450
27-11-20,19.35,19.55,19.55,19.35,15790
30-11-20,19.55,19.4,19.55,19.4,4750
01-12-20,19.3,19.2,19.4,19.2,34710
02-12-20,19.2,19.4,19.8,19.2,59500
03-12-20,19.75,19.7,19.75,19.4,63200
04-12-20,19.75,19.4,19.75,19.4,47210
07-12-20,19.7,19.6,19.7,19.45,38270
08-12-20,19.6,19.5,19.65,19.4,67660
09-12-20,19.6,19.55,19.6,19.5,51850
10-12-20,19.55,19.5,19.55,19.3,43820
11-12-20,19.5,19.5,19.55,19.45,23360
14-12-20,19.5,19.55,19.55,19.4,70700
15-12-20,19.55,19.5,19.55,19.45,21390
16-12-20,19.5,19.5,19.55,19.5,52240
17-12-20,19.55,19.5,19.55,19.5,42250
18-12-20,19.55,19.5,19.55,19.45,36160
21-12-20,19.5,19.5,19.6,19.45,65300
22-12-20,19.55,19.45,19.55,19.45,12220
23-12-20,19.5,20.0,20.0,19.45,77260
24-12-20,19.9,19.85,20.05,19.65,54200
25-12-20,19.85,19.65,19.85,19.65,41470
28-12-20,19.65,19.95,19.95,19.5,120100
29-12-20,19.95,20.3,20.4,19.95,131720
30-12-20,20.3,20.35,20.6,20.3,101680
31-12-20,20.2,20.25,20.4,20.05,59060
04-01-21,20.25,20.65,20.65,20.1,262000
05-01-21,20.5,20.5,20.65,20.45,59800
06-01-21,20.6,20.65,20.9,20.5,141900
07-01-21,20.65,21.2,21.55,20.65,321400
08-01-21,21.3,21.5,21.7,21.25,219200
11-01-21,21.5,21.15,21.5,21.05,211900
12-01-21,21.15,21.05,21.15,20.8,123400
13-01-21,21.05,21.5,21.85,21.0,358600
14-01-21,21.5,22.5,22.5,21.4,595100
15-01-21,22.5,22.95,23.0,22.5,374500
18-01-21,22.95,22.55,22.95,22.4,144600
19-01-21,22.55,21.75,22.55,21.0,221800
20-01-21,21.5,21.25,21.5,20.25,176700
21-01-21,21.4,21.6,21.85,21.2,154600
22-01-21,21.4,21.6,21.85,21.4,155100
25-01-21,21.9,22.75,23.1,21.85,675200
26-01-21,23.5,23.0,23.5,22.5,281900
27-01-21,23.0,22.6,23.0,22.3,173000
28-01-21,21.1,21.05,21.7,21.05,268200
29-01-21,19.7,21.35,21.5,19.7,170300
01-02-21,21.1,20.7,21.5,20.7,87900
02-02-21,20.7,21.3,21.3,20.7,78100
03-02-21,21.3,21.7,21.7,21.1,86900
04-02-21,21.95,21.5,21.95,21.5,43500
05-02-21,21.55,22.3,22.6,21.4,162200
08-02-21,22.3,21.3,22.3,21.3,54900
09-02-21,21.25,21.9,21.95,21.25,18500
17-02-21,22.5,23.0,23.2,22.0,305900
18-02-21,23.2,24.35,24.6,23.2,659400
19-02-21,24.35,24.0,24.35,23.8,136400
22-02-21,23.8,23.9,24.1,23.7,178600
23-02-21,24.1,24.0,24.2,23.7,105400
24-02-21,24.0,23.65,24.0,23.25,106500
25-02-21,23.9,23.5,23.9,23.0,121200
26-02-21,23.2,23.8,23.8,23.15,101500
01-03-21,23.8,23.8,24.0,23.7,146500
02-03-21,23.8,24.0,24.4,23.7,134400
03-03-21,24.0,24.05,24.3,23.7,186600
04-03-21,24.0,23.5,24.2,23.4,160600
05-03-21,23.85,24.85,25.05,23.8,535900
08-03-21,25.6,26.55,26.55,25.6,577200
09-03-21,27.0,26.5,27.0,26.2,543300
10-03-21,26.0,26.0,26.3,25.0,320200
11-03-21,26.1,26.1,26.5,25.85,150100
12-03-21,26.1,26.2,26.3,26.0,155000
15-03-21,26.0,26.1,26.5,25.9,95700
16-03-21,26.1,26.4,27.2,25.7,334500
17-03-21,26.4,25.7,26.5,25.7,197900
18-03-21,25.9,25.6,26.2,25.4,219200
19-03-21,25.2,25.5,25.5,24.9,261100
22-03-21,25.5,25.35,25.5,24.9,97800
23-03-21,25.35,25.35,25.5,24.7,174100
24-03-21,24.8,24.3,24.9,24.0,186300
25-03-21,24.5,23.9,24.7,23.9,177200
26-03-21,23.9,23.0,24.0,22.4,245100
29-03-21,23.5,24.0,24.15,23.5,102100
30-03-21,24.0,24.0,24.0,23.8,88200
31-03-21,24.1,23.9,24.1,23.1,152300
01-04-21,23.9,24.8,24.8,23.7,139500
02-04-21,25.5,24.6,25.5,24.55,290300
05-04-21,24.55,24.55,25.0,24.5,395200
06-04-21,24.55,23.8,24.65,23.5,434500
07-04-21,23.8,23.9,24.0,23.2,319700
08-04-21,23.8,23.5,23.8,23.45,382800
09-04-21,23.55,24.0,24.3,23.55,433000
12-04-21,24.0,24.2,24.35,24.0,234700
13-04-21,24.45,24.2,24.45,23.85,274000
14-04-21,24.2,24.0,24.2,23.5,216800
15-04-21,24.0,23.2,24.0,22.9,799300
16-04-21,23.0,23.0,23.4,22.5,147600
19-04-21,23.2,22.85,23.2,22.5,189000
20-04-21,23.2,23.1,23.2,22.5,183000
22-04-21,23.0,22.55,23.0,22.5,92200
23-04-21,22.5,22.3,22.55,21.0,65400
26-04-21,22.3,21.6,22.4,21.6,87400
27-04-21,21.6,21.6,21.8,21.3,47900
28-04-21,21.6,21.6,21.9,21.5,57400
29-04-21,21.6,21.6,22.0,21.6,81400
04-05-21,21.0,21.5,21.6,21.0,63600
05-05-21,22.2,22.1,22.3,21.6,64300
06-05-21,22.25,21.5,22.25,21.5,102200
07-05-21,21.5,21.5,21.8,21.2,79800
10-05-21,21.15,21.0,21.3,20.8,107600
11-05-21,21.0,21.15,21.4,20.9,123600
12-05-21,21.15,21.7,21.8,21.15,98600
