Date,Open,Close,High,Low,Volume
08-12-20,12.1,11.7,12.1,11.65,525970
09-12-20,11.7,11.79,11.8,11.7,198190
10-12-20,11.85,11.85,12.0,11.75,294190
11-12-20,11.85,11.82,12.0,11.73,162710
14-12-20,11.95,11.95,11.95,11.94,100170
15-12-20,11.95,12.04,12.04,11.93,373700
16-12-20,11.93,12.09,12.09,11.93,101820
17-12-20,12.01,11.99,12.05,11.99,205400
18-12-20,12.12,12.3,12.3,12.1,206200
21-12-20,12.3,12.36,12.39,12.24,343680
22-12-20,12.25,12.35,12.35,12.25,292270
23-12-20,12.5,12.39,12.5,12.39,91610
24-12-20,12.39,12.23,12.39,12.0,72460
25-12-20,12.24,12.33,12.33,12.23,1300
28-12-20,12.49,12.44,12.5,12.35,95800
29-12-20,12.55,12.48,12.55,12.38,102030
30-12-20,12.51,12.46,12.61,12.46,112660
31-12-20,12.53,12.53,12.53,12.53,100
04-01-21,12.69,12.94,12.94,12.69,101200
05-01-21,13.0,12.95,13.0,12.91,40600
06-01-21,13.08,13.12,13.22,13.06,105000
07-01-21,13.14,13.26,13.26,13.11,100500
08-01-21,13.54,13.5,13.55,13.45,24000
11-01-21,13.6,13.68,13.7,13.6,34000
12-01-21,13.68,13.78,13.78,13.66,37000
13-01-21,13.8,13.66,13.83,13.66,200600
14-01-21,13.69,13.7,13.7,13.66,17800
15-01-21,13.85,13.92,13.92,13.85,7600
18-01-21,13.89,13.87,13.9,13.87,46200
19-01-21,13.74,13.1,13.74,13.1,80600
20-01-21,13.1,13.08,13.22,12.8,50100
21-01-21,13.17,13.6,13.6,13.17,38000
22-01-21,13.6,13.57,13.65,13.5,126600
25-01-21,13.57,13.59,13.66,13.57,30200
26-01-21,13.48,13.08,13.48,13.08,162800
27-01-21,13.08,12.8,13.08,12.8,6600
28-01-21,12.8,11.91,12.8,11.91,283300
29-01-21,11.64,12.37,12.37,11.64,80000
01-02-21,12.48,12.8,13.23,12.21,200800
02-02-21,12.26,12.68,12.69,12.24,101900
03-02-21,13.01,13.12,13.2,12.92,104100
04-02-21,13.07,13.0,13.11,13.0,127000
05-02-21,13.08,13.33,13.36,13.08,102200
08-02-21,14.2,12.87,14.2,12.81,167900
09-02-21,12.9,13.08,13.08,12.9,18100
17-02-21,13.6,13.74,13.74,13.6,5900
18-02-21,13.74,13.83,13.85,13.74,56100
19-02-21,13.85,14.08,14.08,13.83,3700
22-02-21,14.0,14.0,14.02,13.85,189100
23-02-21,13.95,13.97,13.97,13.89,1500
24-02-21,14.0,13.72,14.0,13.72,7200
25-02-21,13.82,13.5,13.83,13.5,152000
26-02-21,13.56,13.8,13.8,13.56,9300
01-03-21,13.87,14.01,14.01,13.87,4400
02-03-21,14.11,14.01,14.11,14.0,87400
03-03-21,14.01,13.98,14.01,13.91,232800
04-03-21,13.95,13.8,14.0,13.8,7800
05-03-21,13.77,13.78,13.78,13.65,11100
08-03-21,13.78,13.74,13.78,13.72,9200
09-03-21,13.74,13.64,13.74,13.56,7600
10-03-21,13.64,14.0,14.0,13.61,9600
11-03-21,13.95,13.86,13.95,13.79,107500
12-03-21,13.9,14.0,14.0,13.9,3900
15-03-21,14.0,14.0,14.0,14.0,25100
16-03-21,14.0,13.83,14.0,13.83,3700
17-03-21,13.85,13.9,13.9,13.81,78500
18-03-21,14.0,14.18,14.21,14.0,32400
19-03-21,14.2,14.18,14.24,14.04,106200
22-03-21,14.18,14.13,14.19,14.09,12500
23-03-21,14.1,13.94,14.1,13.94,11600
24-03-21,13.73,13.7,13.86,13.7,7200
25-03-21,13.8,13.71,13.8,13.71,1500
26-03-21,13.75,13.58,13.75,13.4,112400
29-03-21,13.58,13.58,13.58,13.58,0
30-03-21,13.79,13.95,13.95,13.79,111200
31-03-21,13.98,13.94,14.01,13.92,74000
01-04-21,14.05,14.26,14.26,14.05,71300
02-04-21,14.44,14.48,14.52,14.44,2000
05-04-21,14.68,14.6,14.68,14.6,4900
06-04-21,14.7,14.68,14.78,14.64,57000
07-04-21,14.8,14.79,14.8,14.7,5300
08-04-21,14.85,14.78,14.85,14.78,8700
09-04-21,14.76,14.76,14.76,14.76,10000
12-04-21,14.8,14.82,14.85,14.8,3300
13-04-21,14.9,14.96,15.23,14.9,90200
14-04-21,14.8,15.03,15.05,14.8,81500
15-04-21,15.26,14.98,15.26,14.98,78600
16-04-21,15.0,15.25,15.3,14.71,77300
19-04-21,15.3,14.93,15.31,14.93,117900
20-04-21,15.35,15.16,15.51,15.16,56500
22-04-21,15.5,14.99,15.5,14.99,94400
23-04-21,14.9,14.99,14.99,14.9,800
26-04-21,15.18,14.65,15.33,14.65,188300
27-04-21,14.8,14.83,15.07,14.8,127600
28-04-21,14.98,14.86,15.1,14.86,51500
29-04-21,15.31,15.69,15.69,15.06,27100
04-05-21,15.69,15.57,15.69,15.15,43400
05-05-21,15.77,15.77,15.78,15.75,8000
06-05-21,15.77,15.56,15.81,15.47,141300
07-05-21,15.82,15.75,15.82,15.36,91300
10-05-21,15.75,16.1,16.1,15.7,85500
11-05-21,16.1,15.67,16.23,15.67,11600
12-05-21,15.78,16.08,16.08,15.7,50000
13-05-21,16.13,16.13,16.3,16.13,4400
14-05-21,16.27,16.34,16.34,16.01,31700
17-05-21,16.34,16.31,16.36,15.94,13500
18-05-21,15.3,15.94,16.06,15.3,100000
19-05-21,16.2,16.43,16.43,16.2,9200
20-05-21,16.43,16.62,16.62,16.43,4600
21-05-21,16.65,16.7,16.8,16.63,54400
24-05-21,16.75,16.73,16.75,16.69,42900
25-05-21,16.86,16.86,16.86,16.86,2100
26-05-21,16.86,17.07,17.07,16.85,11800
27-05-21,17.07,16.83,17.09,16.83,20500
28-05-21,16.8,17.02,17.14,16.8,4000
31-05-21,17.02,17.3,17.3,17.02,11200
01-06-21,17.3,17.6,17.6,17.3,8400
02-06-21,17.6,17.35,17.6,17.3,40600
03-06-21,17.36,17.73,17.73,17.36,93900
04-06-21,17.79,17.8,18.0,17.54,26300
07-06-21,17.8,17.54,17.8,17.37,26300
08-06-21,17.54,16.99,17.65,16.68,90800
09-06-21,16.99,17.5,17.5,16.74,24400
10-06-21,17.5,17.0,17.5,17.0,19000
11-06-21,17.25,17.4,17.48,17.06,104300
14-06-21,17.45,17.4,17.79,17.4,110300
15-06-21,17.48,17.4,17.72,17.35,105900
16-06-21,17.4,17.3,17.69,17.3,20100
17-06-21,17.22,17.33,17.33,17.02,11200
18-06-21,17.33,17.5,17.51,17.1,103500
21-06-21,17.7,17.3,17.7,17.3,5200
22-06-21,17.48,17.4,17.62,17.31,54900
23-06-21,17.5,17.05,17.58,17.05,65200
24-06-21,17.95,17.38,17.95,17.37,7300
25-06-21,17.39,17.56,17.56,17.39,12900
28-06-21,17.6,17.93,17.93,17.6,27900
29-06-21,17.94,18.2,18.2,17.93,15700
30-06-21,18.3,18.0,18.3,17.99,21500
01-07-21,18.28,18.13,18.28,17.86,67600
02-07-21,19.38,18.35,19.38,18.1,55100
05-07-21,18.3,18.3,18.33,17.9,60200
06-07-21,18.3,19.57,19.57,18.0,35000
07-07-21,19.49,18.21,19.49,18.21,42800
08-07-21,17.9,18.3,18.3,17.7,82000
09-07-21,17.69,17.81,17.9,17.5,78000
12-07-21,18.0,16.98,18.0,16.57,57500
13-07-21,16.98,17.1,17.1,16.57,112400
14-07-21,17.49,16.81,17.49,16.5,46100
15-07-21,16.81,16.92,16.92,16.62,14500
16-07-21,16.92,16.92,17.0,16.9,32100
19-07-21,16.74,16.25,16.74,16.12,31500
20-07-21,16.25,16.5,16.5,16.06,11400
21-07-21,16.5,16.73,16.73,16.34,59200
22-07-21,16.71,16.8,16.89,16.6,9300
23-07-21,16.8,16.61,16.8,16.61,9500
26-07-21,16.62,16.7,16.7,16.33,13100
27-07-21,16.7,16.77,16.77,16.57,35500
28-07-21,16.81,16.6,16.81,16.4,55900
29-07-21,16.71,16.8,16.8,16.68,34600
30-07-21,16.8,17.0,17.0,16.78,30500
02-08-21,17.01,17.09,17.12,16.99,98000
03-08-21,16.94,17.4,17.4,16.94,154900
04-08-21,17.4,17.3,17.4,17.08,350200
05-08-21,17.3,17.7,17.7,17.16,359000
06-08-21,17.69,17.44,17.69,17.21,426200
09-08-21,17.0,17.72,17.72,17.0,452200
10-08-21,17.99,17.74,17.99,17.16,511200
11-08-21,17.26,17.6,17.6,17.26,370100
12-08-21,17.4,17.54,17.69,17.2,371800
13-08-21,17.54,17.4,17.54,17.07,637600
16-08-21,17.4,17.77,17.77,17.34,498700
17-08-21,17.77,17.76,17.77,17.5,70700
18-08-21,17.71,17.63,17.71,17.45,56100
19-08-21,17.63,17.73,17.73,17.45,86800
