Date,Open,Close,High,Low,Volume
16-11-20,17.5,17.6,17.7,16.7,1361130
17-11-20,17.7,18.0,18.5,17.2,481240
18-11-20,17.7,17.7,18.1,17.35,1306770
19-11-20,17.4,17.0,17.7,16.7,1151350
20-11-20,17.2,17.5,18.0,16.8,807660
23-11-20,17.5,17.25,17.7,17.2,433120
24-11-20,17.45,18.45,18.45,17.25,1497740
25-11-20,18.8,18.2,18.9,18.15,645190
26-11-20,18.15,17.8,18.3,17.7,442300
27-11-20,17.7,17.9,18.0,17.65,428450
30-11-20,18.2,18.15,18.7,17.75,831830
01-12-20,17.75,18.5,18.5,17.75,543590
02-12-20,18.6,18.2,18.6,18.05,403900
03-12-20,18.2,18.1,18.45,18.1,418290
04-12-20,18.3,18.25,18.45,18.15,476430
07-12-20,18.5,18.1,18.5,18.0,427380
08-12-20,18.3,18.65,19.0,18.1,637030
09-12-20,18.7,18.35,18.7,18.3,415880
10-12-20,18.4,17.8,18.4,17.8,585630
11-12-20,17.8,18.3,18.4,17.8,500550
14-12-20,18.4,18.2,18.8,18.0,355750
15-12-20,18.3,18.1,18.3,18.05,366510
16-12-20,18.1,18.15,18.35,18.1,367140
17-12-20,18.25,18.4,19.0,18.15,720120
18-12-20,18.4,18.65,18.75,18.2,436490
21-12-20,19.0,19.25,19.5,18.95,888950
22-12-20,19.2,19.65,20.0,19.2,669460
23-12-20,19.85,19.35,19.9,19.35,586720
24-12-20,19.35,18.85,19.4,18.0,563230
25-12-20,18.85,18.9,18.95,18.2,435380
28-12-20,18.9,18.9,19.0,18.55,515740
29-12-20,18.5,18.65,18.8,18.5,360020
30-12-20,18.6,18.55,18.85,18.5,317910
31-12-20,18.8,18.8,18.9,18.55,176130
04-01-21,18.8,19.4,19.5,18.7,427000
05-01-21,19.0,19.25,19.6,19.0,267800
06-01-21,19.25,19.25,19.5,19.2,650100
07-01-21,19.2,20.55,20.55,19.2,1240800
08-01-21,21.25,20.75,21.3,20.55,478900
11-01-21,20.85,20.8,21.05,20.0,641600
12-01-21,21.0,20.8,21.0,20.6,353100
13-01-21,21.0,21.05,21.7,20.8,601500
14-01-21,21.05,20.9,21.2,20.4,331500
15-01-21,20.9,22.35,22.35,20.9,1014100
18-01-21,22.6,21.8,22.6,21.35,525200
19-01-21,21.8,20.3,21.8,20.3,419900
20-01-21,19.8,20.0,20.5,18.9,570100
21-01-21,20.0,20.5,20.8,19.8,356500
22-01-21,20.6,21.2,21.6,20.3,400200
25-01-21,21.0,21.2,21.9,21.0,495900
26-01-21,21.7,20.55,21.7,19.8,444900
27-01-21,20.2,19.2,20.6,19.15,424100
28-01-21,17.9,17.9,18.7,17.9,727100
29-01-21,16.7,18.45,18.5,16.65,300000
01-02-21,18.8,18.45,19.5,18.2,460700
02-02-21,18.2,18.5,18.7,18.1,400900
03-02-21,18.3,19.0,19.25,18.3,265400
04-02-21,19.0,19.0,19.2,18.6,209600
05-02-21,19.3,19.0,19.3,18.95,262900
08-02-21,19.7,18.85,19.7,18.0,183400
09-02-21,18.55,19.1,19.3,18.45,323400
17-02-21,19.1,19.45,19.5,19.1,320800
18-02-21,19.6,20.3,20.5,19.6,406200
19-02-21,20.2,20.25,20.6,19.8,347400
22-02-21,20.25,20.1,20.35,19.7,296100
23-02-21,19.85,19.75,20.1,19.65,285400
24-02-21,19.75,19.5,20.0,19.4,300700
25-02-21,19.6,19.6,19.85,19.2,545400
26-02-21,19.2,20.2,20.5,19.2,525000
01-03-21,20.5,20.7,20.8,20.45,246900
02-03-21,21.0,21.5,21.75,21.0,753200
03-03-21,22.0,22.0,22.25,21.85,776400
04-03-21,22.0,21.4,22.1,20.9,573900
05-03-21,21.0,21.7,21.8,20.8,389100
08-03-21,21.65,21.9,22.2,20.8,551400
09-03-21,21.7,23.3,23.4,21.6,1242600
10-03-21,23.35,23.2,23.7,22.6,393800
11-03-21,23.1,22.8,23.3,22.75,397800
12-03-21,22.6,22.5,23.0,22.5,564200
15-03-21,22.6,23.2,23.4,22.6,394500
16-03-21,23.15,22.95,23.3,22.75,346200
17-03-21,22.95,23.4,23.4,22.55,448000
18-03-21,23.6,23.2,23.7,22.9,423100
19-03-21,22.85,22.9,23.25,22.75,217400
22-03-21,22.85,23.2,23.65,22.7,526400
23-03-21,23.0,22.85,23.15,22.7,330100
24-03-21,22.5,21.9,22.55,21.3,464600
25-03-21,21.8,21.65,21.9,21.0,521900
26-03-21,21.55,21.5,21.9,20.5,350700
