Date,Open,Close,High,Low,Volume
16-11-20,4.89,4.67,4.89,4.67,480
17-11-20,4.8,4.82,4.82,4.6,6880
18-11-20,4.79,4.65,4.98,4.65,18350
19-11-20,4.89,4.8,4.89,4.8,650
20-11-20,4.89,4.7,4.89,4.65,2680
23-11-20,4.89,4.85,4.89,4.8,1060
24-11-20,4.94,4.89,4.94,4.88,4060
25-11-20,4.7,4.94,5.1,4.7,8050
26-11-20,5.09,5.0,5.1,5.0,660
27-11-20,5.0,4.72,5.1,4.66,8060
30-11-20,5.0,4.94,5.0,4.65,2170
01-12-20,4.94,4.9,4.94,4.68,610
02-12-20,4.9,4.9,4.9,4.65,6410
03-12-20,5.05,4.8,5.05,4.8,4610
04-12-20,4.9,4.66,4.9,4.66,970
07-12-20,4.94,4.93,4.94,4.68,10690
08-12-20,5.0,5.09,5.1,4.72,5470
09-12-20,5.08,5.19,5.2,5.08,1090
10-12-20,5.0,5.55,5.55,4.85,39650
11-12-20,5.9,5.93,5.93,5.89,13230
14-12-20,6.29,5.61,6.34,5.6,19290
15-12-20,5.7,5.71,6.0,5.65,33390
16-12-20,5.71,5.75,5.98,5.56,10950
17-12-20,5.75,5.6,5.75,5.35,31710
18-12-20,5.87,5.77,5.87,5.4,2910
21-12-20,5.85,5.46,5.85,5.45,2100
22-12-20,5.3,5.49,5.7,5.1,33000
23-12-20,5.8,5.5,5.8,5.15,27210
24-12-20,5.31,5.49,5.52,5.13,16980
25-12-20,5.13,5.47,5.47,5.13,6750
28-12-20,5.3,5.4,5.47,5.12,10110
29-12-20,5.4,5.21,5.4,5.15,12670
30-12-20,5.5,5.11,5.5,5.11,18750
31-12-20,5.11,5.3,5.3,5.07,6660
04-01-21,5.3,5.2,5.31,5.2,5900
05-01-21,5.1,5.3,5.38,5.1,4200
06-01-21,5.3,5.67,5.67,5.3,43100
07-01-21,6.06,6.06,6.06,6.0,94900
08-01-21,6.06,6.06,6.29,6.06,12300
11-01-21,5.8,5.9,6.05,5.8,3400
12-01-21,5.8,5.95,5.95,5.52,69000
13-01-21,5.95,5.76,5.95,5.75,31800
14-01-21,5.76,5.41,5.76,5.36,33600
15-01-21,5.42,5.6,5.75,5.42,34600
18-01-21,5.62,5.9,5.95,5.58,26000
19-01-21,5.9,5.5,5.9,5.5,44700
20-01-21,5.49,5.44,5.49,5.2,12300
21-01-21,5.44,5.79,5.79,5.36,13100
22-01-21,5.79,5.8,5.95,5.5,16700
25-01-21,5.9,5.8,5.9,5.8,11300
26-01-21,5.89,5.7,5.89,5.7,3000
27-01-21,5.7,5.8,5.9,5.7,2000
28-01-21,5.61,5.4,5.61,5.4,14600
29-01-21,5.04,5.4,5.4,5.04,7900
01-02-21,5.4,5.39,5.4,5.15,4900
02-02-21,5.06,5.35,5.37,5.02,8200
03-02-21,5.72,5.48,5.72,4.98,2500
04-02-21,5.56,5.52,5.56,5.2,5800
05-02-21,5.72,5.56,5.72,5.22,3700
08-02-21,5.6,5.3,5.6,5.3,300
09-02-21,5.3,5.3,5.3,5.3,2600
17-02-21,5.45,5.31,5.5,5.31,11600
18-02-21,5.46,5.68,5.68,5.46,58200
19-02-21,6.07,6.07,6.07,6.07,108300
22-02-21,6.49,6.49,6.49,6.49,30100
23-02-21,6.94,6.94,6.94,6.94,43800
24-02-21,7.42,7.42,7.42,7.42,35000
25-02-21,7.93,7.93,7.93,7.93,31300
26-02-21,8.48,8.48,8.48,8.48,44700
01-03-21,9.07,9.07,9.07,9.07,51400
02-03-21,9.7,9.7,9.7,9.1,652000
03-03-21,10.35,10.35,10.35,10.3,605500
04-03-21,11.05,11.05,11.05,11.05,244000
05-03-21,11.8,11.8,11.8,11.8,103800
08-03-21,12.6,11.0,12.6,11.0,203300
09-03-21,11.0,10.25,11.0,10.25,9300
10-03-21,9.55,10.95,10.95,9.55,1383700
11-03-21,10.95,10.2,10.95,10.2,143700
12-03-21,9.8,10.0,10.2,9.7,66000
15-03-21,9.41,9.8,9.8,9.3,101100
16-03-21,9.8,9.3,9.8,9.3,49300
17-03-21,9.4,9.95,9.95,9.4,68700
18-03-21,10.6,10.6,10.6,10.6,56700
19-03-21,11.3,11.2,11.3,10.6,113300
22-03-21,11.2,10.55,11.2,10.45,88300
23-03-21,10.8,10.5,10.9,10.0,14200
24-03-21,10.2,9.78,10.5,9.77,117000
25-03-21,9.79,10.3,10.45,9.79,29700
26-03-21,10.3,10.2,10.35,9.6,31600
29-03-21,9.65,10.2,10.2,9.65,41500
30-03-21,9.65,10.7,10.8,9.65,115100
31-03-21,10.7,10.3,10.7,10.1,31900
01-04-21,10.0,10.1,10.3,9.81,18400
02-04-21,10.1,10.1,10.1,9.55,11600
05-04-21,10.0,10.0,10.5,9.81,12800
06-04-21,10.0,9.95,10.0,9.85,19200
07-04-21,9.95,9.95,10.0,9.95,23800
08-04-21,10.0,9.9,10.0,9.7,24600
09-04-21,9.21,9.7,9.7,9.21,64100
12-04-21,9.22,9.71,9.71,9.22,20100
13-04-21,9.8,9.5,9.9,9.25,45700
14-04-21,9.01,9.4,9.4,9.0,36600
15-04-21,9.4,9.08,9.4,9.0,39800
16-04-21,9.08,8.89,9.08,8.82,41500
19-04-21,8.8,9.5,9.51,8.8,25900
20-04-21,9.51,9.39,9.51,8.84,32800
22-04-21,9.39,8.91,9.39,8.91,10400
23-04-21,9.4,9.18,9.4,8.29,21000
26-04-21,8.8,9.18,9.18,8.54,33400
27-04-21,8.62,9.1,9.1,8.62,9600
28-04-21,8.79,9.1,9.1,8.79,10100
29-04-21,8.72,9.1,9.1,8.71,15000
04-05-21,8.5,9.1,9.1,8.5,22000
05-05-21,8.55,9.07,9.07,8.55,4400
06-05-21,8.63,9.0,9.0,8.63,5900
07-05-21,8.5,8.51,9.0,8.37,23300
10-05-21,8.28,8.89,8.89,7.92,19000
11-05-21,8.85,8.8,8.85,8.8,11000
12-05-21,8.8,9.3,9.3,8.79,43500
13-05-21,8.7,9.1,9.24,8.7,14000
14-05-21,8.71,9.1,9.2,8.71,14200
17-05-21,9.1,9.1,9.5,9.1,28400
18-05-21,9.1,8.9,9.1,8.9,1600
19-05-21,8.89,9.2,9.2,8.89,19000
20-05-21,9.25,9.2,9.25,8.6,50100
21-05-21,9.0,8.61,9.2,8.6,49000
24-05-21,9.0,9.1,9.1,9.0,7700
25-05-21,8.9,8.98,8.99,8.9,2900
26-05-21,8.88,9.0,9.0,8.55,5400
27-05-21,9.0,9.0,9.0,9.0,0
28-05-21,8.42,8.93,8.98,8.42,5300
31-05-21,8.92,8.92,8.92,8.52,9000
01-06-21,8.9,8.9,8.9,8.9,2400
02-06-21,8.9,8.5,8.9,8.33,3500
03-06-21,8.12,8.9,9.0,8.12,26900
04-06-21,8.9,9.0,9.1,8.52,8400
07-06-21,8.66,8.66,8.66,8.66,6000
08-06-21,8.66,9.1,9.24,8.64,70000
09-06-21,9.69,9.5,9.69,9.0,3400
10-06-21,9.5,9.3,9.5,9.1,10000
11-06-21,9.49,9.68,9.68,9.0,56300
14-06-21,9.3,10.3,10.35,9.3,53300
15-06-21,10.2,10.95,10.95,9.61,54800
16-06-21,10.95,10.5,10.95,10.2,33400
17-06-21,10.0,9.78,10.0,9.78,800
18-06-21,9.78,10.0,10.0,9.1,9600
21-06-21,9.99,10.0,10.7,9.99,53700
22-06-21,10.0,10.0,10.0,9.5,6100
23-06-21,9.33,9.94,9.94,9.32,500
24-06-21,9.33,9.93,9.93,9.33,500
25-06-21,9.32,9.52,9.92,9.32,5300
28-06-21,10.15,10.15,10.15,10.15,61400
29-06-21,10.85,10.85,10.85,10.85,24800
30-06-21,11.6,11.0,11.6,10.15,99600
01-07-21,10.3,10.7,11.0,10.25,37300
02-07-21,10.7,10.4,10.7,9.98,18500
05-07-21,10.4,10.05,10.4,9.7,18600
06-07-21,9.52,9.35,9.79,9.35,14700
07-07-21,8.8,10.0,10.0,8.73,47200
08-07-21,9.35,10.15,10.15,9.32,1800
09-07-21,9.5,9.9,9.9,9.44,23200
12-07-21,9.84,9.22,9.84,9.21,9900
13-07-21,8.72,9.26,9.26,8.64,25800
14-07-21,8.65,9.0,9.2,8.62,22400
15-07-21,9.07,9.0,9.07,8.98,2500
16-07-21,8.91,9.15,9.15,8.9,3500
19-07-21,8.6,9.0,9.0,8.6,4900
20-07-21,9.0,9.0,9.0,9.0,100
21-07-21,8.6,9.19,9.5,8.6,5300
22-07-21,9.3,9.36,9.36,8.91,400
23-07-21,9.01,9.05,9.05,8.71,11700
26-07-21,8.6,9.0,9.0,8.6,6300
27-07-21,8.75,8.71,8.75,8.71,7600
28-07-21,8.83,8.79,8.83,8.58,7000
29-07-21,8.4,8.99,8.99,8.4,16700
30-07-21,8.52,9.0,9.0,8.52,16400
02-08-21,8.75,9.2,9.2,8.42,32500
03-08-21,9.0,8.7,9.0,8.63,800
04-08-21,8.61,8.63,8.88,8.61,10000
05-08-21,8.63,9.05,9.06,8.63,5000
06-08-21,9.05,8.65,9.05,8.65,1400
09-08-21,8.59,8.61,8.86,8.59,15400
10-08-21,8.97,8.8,8.97,8.61,7700
11-08-21,8.78,8.99,8.99,8.78,3400
12-08-21,8.69,8.89,8.9,8.69,5200
13-08-21,8.8,8.9,8.95,8.71,1900
16-08-21,8.6,8.9,8.9,8.6,9100
17-08-21,8.64,8.98,9.0,8.62,9200
18-08-21,8.96,8.9,8.96,8.68,3000
19-08-21,8.9,8.9,8.9,8.76,6000
20-08-21,8.87,8.81,8.88,8.68,8600
23-08-21,8.3,8.9,8.98,8.3,6300
24-08-21,8.53,8.54,8.9,8.52,3000
25-08-21,8.88,8.55,8.88,8.55,4100
26-08-21,8.86,8.55,8.86,8.55,2600
27-08-21,8.55,8.69,8.69,8.4,24200
