Date,Open,Close,High,Low,Volume
16-11-20,4.07,4.2,4.2,4.07,29790
17-11-20,4.15,4.12,4.15,4.1,21150
18-11-20,4.15,4.07,4.15,4.07,76630
19-11-20,4.07,4.2,4.23,4.07,85150
20-11-20,4.1,4.24,4.26,4.1,47330
23-11-20,4.28,4.24,4.28,4.05,55620
24-11-20,4.24,4.05,4.24,4.05,87620
25-11-20,4.07,4.12,4.22,4.07,69730
26-11-20,4.1,4.11,4.12,4.1,63170
27-11-20,4.14,4.13,4.17,4.1,15340
30-11-20,4.13,4.11,4.24,4.11,47810
01-12-20,4.15,4.1,4.15,4.06,39870
02-12-20,4.14,4.13,4.14,4.06,54870
03-12-20,4.13,4.2,4.2,4.07,171270
04-12-20,4.2,4.21,4.28,4.2,65660
07-12-20,4.43,4.43,4.47,4.22,85250
08-12-20,4.35,4.47,4.48,4.31,182240
09-12-20,4.53,4.44,4.55,4.43,96240
10-12-20,4.41,4.36,4.44,4.35,69180
11-12-20,4.36,4.4,4.45,4.36,86850
14-12-20,4.36,4.39,4.45,4.32,77650
15-12-20,4.39,4.38,4.5,4.35,108970
16-12-20,4.44,4.49,4.52,4.33,149250
17-12-20,4.49,4.48,4.49,4.41,23630
18-12-20,4.48,4.48,4.5,4.4,90410
21-12-20,4.6,4.52,4.64,4.51,62500
22-12-20,4.52,4.83,4.83,4.52,322800
23-12-20,5.16,5.16,5.16,5.16,86490
24-12-20,5.34,5.1,5.34,4.8,312640
25-12-20,4.81,5.1,5.1,4.81,188360
28-12-20,5.12,5.4,5.45,5.12,448090
29-12-20,5.45,5.47,5.55,5.35,242900
30-12-20,5.47,5.4,5.5,5.4,337060
31-12-20,5.4,5.12,5.4,5.12,143070
04-01-21,5.12,5.34,5.39,5.12,109400
05-01-21,5.25,5.29,5.39,5.25,107800
06-01-21,5.39,5.26,5.39,5.22,160100
07-01-21,5.28,5.24,5.33,5.21,244900
08-01-21,5.25,5.3,5.34,5.23,442000
11-01-21,5.3,5.55,5.64,5.3,323500
12-01-21,5.59,5.56,5.59,5.45,132800
13-01-21,5.5,5.34,5.54,5.34,313100
14-01-21,5.34,5.37,5.44,5.25,126600
15-01-21,5.4,5.51,5.65,5.37,354000
18-01-21,5.65,5.68,5.7,5.59,173900
19-01-21,5.68,5.5,5.69,5.4,204600
20-01-21,5.5,5.33,5.5,5.12,54000
21-01-21,5.35,5.55,5.6,5.33,189900
22-01-21,5.55,5.45,5.55,5.28,74100
25-01-21,5.45,5.47,5.48,5.45,99900
26-01-21,5.41,5.38,5.49,5.21,176200
27-01-21,5.17,5.02,5.31,5.01,188000
28-01-21,4.75,4.67,4.99,4.67,170200
29-01-21,4.45,4.7,4.76,4.41,116600
01-02-21,4.47,4.44,4.77,4.43,118800
02-02-21,4.71,4.68,4.71,4.51,39400
03-02-21,4.87,5.0,5.0,4.6,111900
04-02-21,5.0,5.19,5.2,4.9,41500
05-02-21,5.15,5.5,5.5,4.95,72100
08-02-21,5.33,5.12,5.33,5.12,176100
09-02-21,5.12,5.24,5.27,5.1,48800
17-02-21,5.35,5.55,5.55,4.9,116100
18-02-21,5.45,5.27,5.46,5.25,280200
19-02-21,5.3,5.22,5.3,5.22,294200
22-02-21,5.34,5.22,5.34,5.22,55600
23-02-21,5.3,5.16,5.3,5.15,191200
24-02-21,5.28,5.15,5.28,5.1,88200
25-02-21,5.15,5.16,5.19,5.13,20300
26-02-21,5.1,5.16,5.18,5.09,27000
01-03-21,5.16,5.17,5.2,5.1,41400
02-03-21,5.2,5.17,5.2,5.1,53900
03-03-21,5.19,5.25,5.25,5.13,142600
04-03-21,5.3,5.11,5.35,5.1,225800
05-03-21,5.11,5.46,5.46,5.09,782100
08-03-21,5.59,5.84,5.84,5.59,541600
