Date,Open,Close,High,Low,Volume
16-11-20,17.15,17.15,17.25,16.95,522370
17-11-20,17.15,17.3,17.3,16.9,603010
18-11-20,17.05,17.2,17.3,16.95,425290
19-11-20,17.2,17.15,17.2,16.9,401200
20-11-20,17.0,17.25,17.25,17.0,295670
23-11-20,17.1,17.15,17.15,16.95,236670
24-11-20,17.0,17.15,17.15,17.0,228870
25-11-20,17.15,17.25,17.25,17.05,365400
26-11-20,17.25,17.25,17.3,17.05,775590
27-11-20,17.25,17.1,17.25,17.1,93050
30-11-20,17.2,17.2,17.2,17.05,108680
01-12-20,17.1,17.15,17.2,17.0,322490
02-12-20,16.95,17.2,17.25,16.95,217380
03-12-20,17.2,17.2,17.2,17.0,236460
04-12-20,17.2,17.05,17.2,17.05,326580
07-12-20,17.15,17.2,17.2,17.05,90110
08-12-20,17.15,17.05,17.15,17.05,130390
09-12-20,17.05,17.1,17.15,17.0,299840
10-12-20,17.15,17.2,17.2,17.05,219660
11-12-20,17.05,17.1,17.2,17.05,180340
14-12-20,17.1,17.2,17.2,17.1,270440
15-12-20,17.1,17.15,17.2,17.05,275260
16-12-20,17.1,17.15,17.15,17.0,151770
17-12-20,17.15,17.05,17.15,16.5,317920
18-12-20,17.1,17.2,17.2,17.0,409560
21-12-20,17.2,18.4,18.4,17.1,1287450
22-12-20,19.5,19.65,19.65,19.5,1270550
23-12-20,20.9,19.5,20.9,19.5,550870
24-12-20,18.8,19.0,19.35,18.15,719880
25-12-20,18.8,19.1,19.5,18.15,452070
28-12-20,19.6,18.8,19.6,18.6,403430
29-12-20,18.5,18.8,19.0,18.5,439320
30-12-20,18.75,20.1,20.1,18.35,507780
31-12-20,19.5,19.25,19.6,18.95,469550
04-01-21,19.25,19.5,19.7,19.1,673900
05-01-21,19.6,19.5,19.6,19.25,409200
06-01-21,19.5,20.5,20.5,19.2,1034500
07-01-21,20.5,20.1,20.5,20.0,475500
08-01-21,20.05,20.4,20.5,20.0,478500
11-01-21,20.4,20.2,20.5,20.0,501400
12-01-21,20.4,20.2,20.4,20.0,349300
13-01-21,20.2,21.5,21.6,20.1,1941500
14-01-21,21.9,21.6,22.35,21.2,508000
15-01-21,21.6,22.0,22.15,21.6,526700
18-01-21,22.0,21.45,22.0,21.0,554800
19-01-21,20.6,20.2,21.25,19.95,658600
20-01-21,19.6,20.2,20.2,18.8,694800
21-01-21,20.2,20.0,20.45,19.5,477800
22-01-21,20.3,20.5,20.5,20.0,404000
25-01-21,20.35,20.0,20.35,19.7,936400
26-01-21,20.1,18.8,20.1,18.6,780700
27-01-21,18.85,17.7,18.85,17.6,1712100
28-01-21,16.7,18.1,18.1,16.5,2110100
29-01-21,17.0,16.85,18.0,16.85,2393800
01-02-21,16.85,17.5,17.5,16.85,1126000
02-02-21,17.0,17.5,17.6,16.7,1296200
03-02-21,17.4,17.9,18.0,17.25,1616400
04-02-21,17.8,17.8,17.9,17.25,360400
05-02-21,17.8,17.9,17.9,17.55,445500
08-02-21,17.85,17.75,17.85,17.3,452800
09-02-21,17.5,17.8,17.9,17.4,272400
