Date,Open,Close,High,Low,Volume
16-11-20,12.85,13.4,13.4,12.85,150
17-11-20,13.4,13.4,13.4,13.4,0
18-11-20,13.5,13.5,13.5,13.5,700
19-11-20,13.5,13.5,13.5,13.5,500
20-11-20,14.0,14.4,14.4,14.0,500
23-11-20,14.4,14.4,14.4,14.4,0
24-11-20,14.4,14.4,14.4,14.4,0
25-11-20,14.4,14.4,14.4,14.4,0
26-11-20,14.4,14.4,14.4,14.4,0
27-11-20,14.4,14.4,14.4,14.4,0
30-11-20,14.2,13.5,15.4,13.4,1740
01-12-20,14.4,13.5,14.4,13.5,1650
02-12-20,12.6,13.5,14.4,12.6,340
03-12-20,14.3,14.2,14.3,14.2,120
04-12-20,14.2,14.2,14.2,14.2,0
07-12-20,13.25,14.0,14.0,13.25,520
08-12-20,13.1,13.5,13.5,13.1,930
09-12-20,13.5,13.5,13.5,13.5,120
10-12-20,13.5,13.5,13.5,13.5,0
11-12-20,12.6,13.4,13.4,12.6,1020
14-12-20,13.4,13.4,13.4,13.4,0
15-12-20,13.4,13.4,13.4,13.4,0
16-12-20,13.35,14.3,14.3,13.35,5730
17-12-20,14.3,14.3,14.3,14.3,0
18-12-20,14.3,14.3,14.3,14.3,0
21-12-20,14.3,14.3,14.3,14.3,60
22-12-20,14.3,14.3,14.3,14.3,0
23-12-20,13.9,14.0,14.0,13.9,400
24-12-20,14.0,14.0,14.0,14.0,0
25-12-20,14.0,14.0,14.0,14.0,0
28-12-20,13.05,13.5,13.5,13.05,730
29-12-20,13.5,13.8,13.8,13.5,220
30-12-20,13.8,13.8,13.8,13.8,0
31-12-20,12.85,13.6,14.2,12.85,60
04-01-21,13.6,13.6,13.6,13.6,0
05-01-21,13.6,13.6,13.6,13.6,0
06-01-21,13.6,13.6,13.6,13.6,0
07-01-21,14.55,14.55,14.55,14.55,1100
08-01-21,15.0,13.55,15.0,13.55,4100
11-01-21,13.8,13.55,13.8,13.55,600
12-01-21,13.5,13.5,13.5,13.5,6500
13-01-21,14.4,13.6,14.4,13.5,91500
14-01-21,14.55,14.55,14.55,14.55,39200
15-01-21,15.55,15.55,15.55,15.55,15500
18-01-21,16.6,16.6,16.6,16.6,17500
19-01-21,17.7,16.8,17.7,16.6,57200
20-01-21,17.5,17.8,17.9,17.2,13700
21-01-21,17.8,17.9,18.0,17.8,7600
22-01-21,16.65,17.9,17.9,16.65,35200
25-01-21,17.9,17.5,17.9,16.65,15900
26-01-21,17.6,16.3,17.6,16.3,5300
27-01-21,15.2,15.2,16.4,15.2,19300
28-01-21,14.3,15.9,15.9,14.2,2700
29-01-21,15.9,16.0,16.2,15.2,3500
01-02-21,16.0,16.9,16.9,16.0,400
02-02-21,16.9,16.9,16.9,16.9,0
03-02-21,16.9,16.8,16.9,15.75,10400
04-02-21,16.8,16.8,16.8,16.8,0
05-02-21,15.95,15.65,15.95,15.65,5200
08-02-21,14.85,14.6,14.85,14.6,9200
09-02-21,13.9,13.6,15.45,13.6,19200
17-02-21,12.9,14.0,14.3,12.8,800
18-02-21,14.0,14.7,14.7,13.3,1900
19-02-21,14.7,14.2,14.75,14.2,2300
22-02-21,14.2,14.2,14.2,14.2,1400
23-02-21,14.85,14.85,14.85,14.85,100
24-02-21,14.0,14.2,14.4,13.85,12200
25-02-21,14.25,14.0,14.25,14.0,5700
26-02-21,14.75,14.75,14.75,14.75,100
01-03-21,14.75,13.75,14.75,13.75,5200
02-03-21,14.0,13.8,14.0,13.8,1800
03-03-21,14.5,13.9,14.5,13.9,11000
04-03-21,13.7,13.95,13.95,13.55,2600
05-03-21,13.95,14.2,14.2,13.7,1500
08-03-21,13.55,13.7,14.2,13.55,1600
