Date,Open,Close,High,Low,Volume
16-11-20,34.85,35.0,35.1,34.75,107520
17-11-20,35.0,37.2,37.2,35.0,245220
18-11-20,37.6,39.5,39.8,37.6,415760
19-11-20,39.5,39.0,39.5,38.3,90690
20-11-20,38.0,38.3,39.0,37.5,74940
23-11-20,38.3,37.8,38.4,37.0,80810
24-11-20,37.8,38.1,38.8,37.5,135480
25-11-20,38.0,38.8,38.8,38.0,70610
26-11-20,38.9,39.05,40.0,38.9,187060
27-11-20,39.45,38.85,39.5,38.6,110160
30-11-20,38.9,38.85,38.9,38.0,53590
01-12-20,38.0,38.5,38.5,38.0,85230
02-12-20,38.5,39.4,39.9,38.5,202900
03-12-20,39.4,39.25,39.7,39.25,79480
04-12-20,39.25,38.6,39.25,38.5,79870
07-12-20,38.0,38.9,39.0,38.0,95480
08-12-20,38.9,39.5,39.6,38.5,144650
09-12-20,39.5,39.5,39.6,39.0,132150
10-12-20,39.6,41.4,41.6,39.55,254960
11-12-20,41.5,41.0,42.0,40.3,74760
14-12-20,40.9,41.5,41.95,40.5,96300
15-12-20,41.8,41.0,41.8,40.5,120420
16-12-20,41.3,41.1,41.5,40.85,97050
17-12-20,41.0,40.55,41.0,40.3,96570
18-12-20,40.55,40.7,40.7,40.1,96340
21-12-20,41.0,40.4,41.05,40.3,77170
22-12-20,40.35,39.5,40.4,38.7,128990
23-12-20,39.5,38.8,39.5,38.6,91440
24-12-20,38.5,40.4,40.6,38.0,278160
25-12-20,40.4,40.0,40.5,39.45,38700
28-12-20,40.0,39.6,40.2,39.5,82430
29-12-20,39.6,39.95,39.95,39.4,70210
30-12-20,39.5,39.7,39.8,39.5,52590
31-12-20,39.7,39.7,39.75,39.0,182160
04-01-21,39.7,40.2,40.3,39.55,162800
05-01-21,40.35,41.75,42.3,40.35,284400
06-01-21,41.75,41.75,42.05,41.5,144100
07-01-21,41.6,41.7,41.7,41.1,79400
08-01-21,41.75,41.75,42.6,41.6,144400
11-01-21,41.75,43.25,43.9,41.7,145500
12-01-21,42.9,42.8,43.0,42.5,53700
13-01-21,42.9,42.0,43.0,42.0,90500
14-01-21,41.5,41.9,42.0,41.5,65900
15-01-21,41.9,41.6,42.0,41.6,88600
18-01-21,43.4,43.3,43.4,42.2,135800
19-01-21,42.5,41.0,43.2,40.3,127800
20-01-21,40.65,40.7,41.3,39.0,68000
21-01-21,41.0,41.9,42.2,40.75,84400
22-01-21,42.0,42.8,43.5,41.5,126400
25-01-21,42.2,45.75,45.75,42.2,281900
26-01-21,48.95,47.95,48.95,46.2,252100
27-01-21,47.95,44.6,47.95,44.6,158900
28-01-21,41.5,41.5,43.1,41.5,190400
29-01-21,38.65,41.9,42.1,38.65,134800
01-02-21,41.2,39.0,42.0,39.0,169300
02-02-21,39.0,41.7,41.7,38.0,94500
03-02-21,41.8,44.2,44.5,41.7,72000
04-02-21,44.2,43.2,44.2,42.5,42400
05-02-21,43.2,43.7,43.75,43.1,42600
08-02-21,43.7,44.0,44.2,42.0,162100
09-02-21,46.0,46.5,46.5,44.0,138000
17-02-21,46.5,46.45,47.0,45.2,70100
18-02-21,46.5,46.5,46.5,45.5,133900
19-02-21,46.5,46.7,46.7,46.0,104500
22-02-21,46.7,47.75,47.95,45.6,102300
23-02-21,47.6,47.0,47.6,46.2,52300
24-02-21,47.0,46.5,47.5,46.2,21400
25-02-21,46.5,46.6,47.3,46.5,33300
26-02-21,46.6,47.95,48.0,46.6,124200
01-03-21,49.0,48.0,49.0,47.9,21100
02-03-21,48.5,47.95,48.5,47.3,19400
03-03-21,49.0,48.5,49.0,47.5,50900
04-03-21,49.0,47.6,49.0,47.5,76500
05-03-21,47.6,48.8,49.5,47.0,72100
08-03-21,48.8,48.5,49.05,48.5,31200
09-03-21,48.5,50.8,51.5,48.1,114200
10-03-21,49.6,50.8,50.8,49.6,15200
11-03-21,51.0,51.0,51.0,50.5,26100
12-03-21,51.0,51.0,51.5,50.9,20200
15-03-21,50.7,50.5,51.0,50.0,25600
16-03-21,50.1,51.5,51.6,50.0,35900
17-03-21,51.5,51.1,52.0,51.0,15100
18-03-21,51.1,50.5,51.8,50.1,62300
19-03-21,50.5,50.2,50.9,50.2,25500
22-03-21,50.2,49.8,50.2,49.8,14800
23-03-21,50.8,49.8,50.8,49.0,25300
24-03-21,49.0,48.4,49.1,47.0,31200
25-03-21,48.4,48.1,48.6,48.0,51200
26-03-21,48.2,47.6,48.7,44.75,58300
29-03-21,48.5,49.65,50.1,48.35,12500
30-03-21,49.7,49.65,50.3,49.5,29800
31-03-21,49.65,49.4,49.65,48.95,14200
01-04-21,49.0,48.9,49.45,48.5,22000
02-04-21,51.5,49.0,51.5,48.8,27500
05-04-21,49.5,50.5,50.5,49.5,46100
06-04-21,50.6,50.0,50.7,49.0,14800
07-04-21,50.0,50.2,50.3,49.5,39300
08-04-21,50.2,50.3,50.5,50.0,31200
09-04-21,50.5,50.1,50.8,50.1,34300
12-04-21,50.2,49.9,50.2,49.4,55000
