Date,Open,Close,High,Low,Volume
16-11-20,18.75,18.75,18.9,18.6,102440
17-11-20,18.8,19.0,19.1,18.8,273820
18-11-20,19.15,19.2,19.3,19.0,117020
19-11-20,19.5,19.7,19.8,19.45,336470
20-11-20,19.8,19.45,19.8,19.4,181250
23-11-20,19.45,19.6,19.6,19.3,140700
24-11-20,19.6,19.4,19.6,19.3,103910
25-11-20,19.5,19.35,19.5,19.35,72240
26-11-20,19.3,19.15,19.3,19.15,150240
27-11-20,19.5,19.4,19.6,19.25,316980
30-11-20,19.5,19.35,19.5,19.3,250500
01-12-20,17.4,17.4,17.5,17.3,201470
02-12-20,17.3,17.25,17.3,17.2,86380
03-12-20,17.25,17.05,17.25,17.0,139880
04-12-20,17.05,17.05,17.05,16.9,117600
07-12-20,17.05,16.55,17.1,16.55,176410
08-12-20,17.0,16.65,17.05,16.6,152760
09-12-20,16.7,16.7,16.9,16.7,200350
10-12-20,16.8,16.55,16.95,16.55,195300
11-12-20,16.85,16.75,16.85,16.65,34820
14-12-20,16.75,16.8,16.9,16.7,76020
15-12-20,16.85,16.8,16.9,16.8,85330
16-12-20,16.8,16.85,16.9,16.8,43010
17-12-20,16.85,16.85,16.85,16.7,81630
18-12-20,16.85,16.8,16.85,16.65,135840
21-12-20,16.8,17.25,17.65,16.8,202850
22-12-20,17.45,17.15,17.45,17.0,126580
23-12-20,17.15,17.15,17.4,17.15,36900
24-12-20,17.2,17.0,17.2,16.7,71420
25-12-20,16.8,17.0,17.1,16.8,67310
28-12-20,17.3,17.2,17.3,17.0,61370
29-12-20,17.2,17.3,17.3,17.1,129220
30-12-20,17.3,17.3,17.3,17.2,28110
31-12-20,17.3,17.35,17.4,17.2,121500
04-01-21,17.35,17.5,17.5,17.35,150100
05-01-21,17.55,17.55,17.55,17.4,140500
06-01-21,17.6,17.85,18.0,17.6,100900
07-01-21,18.0,17.7,18.0,17.6,74300
08-01-21,17.6,17.7,18.0,17.6,65800
11-01-21,17.7,17.7,17.7,17.5,187200
12-01-21,18.0,17.9,18.2,17.8,356200
13-01-21,17.85,17.85,17.95,17.8,89000
14-01-21,17.85,17.8,17.85,17.75,209800
15-01-21,17.8,17.65,17.8,17.65,184200
18-01-21,17.65,17.7,17.9,17.6,148700
19-01-21,17.7,17.2,17.7,17.0,275100
20-01-21,17.45,17.2,17.5,16.95,175000
21-01-21,17.3,17.45,17.5,17.25,56700
22-01-21,17.5,17.35,17.5,17.25,57100
25-01-21,17.35,17.35,17.45,17.3,91800
26-01-21,17.5,17.15,17.5,17.0,193800
27-01-21,17.2,17.0,17.35,17.0,177200
28-01-21,16.8,16.6,17.05,16.35,325400
29-01-21,16.45,17.0,17.0,16.45,86000
01-02-21,16.9,16.7,17.0,16.7,177200
02-02-21,16.7,16.8,16.9,16.6,67700
03-02-21,16.85,16.9,17.0,16.85,61600
04-02-21,16.9,16.9,16.95,16.8,73400
05-02-21,16.9,17.0,17.05,16.9,35100
08-02-21,17.0,16.8,17.05,16.8,39900
09-02-21,16.9,17.15,17.2,16.85,54300
17-02-21,17.15,17.15,17.15,16.55,20800
18-02-21,17.3,17.1,17.3,17.1,46700
19-02-21,17.1,17.1,17.2,17.1,43100
22-02-21,17.2,17.1,17.2,17.05,60400
23-02-21,17.15,17.1,17.15,17.05,133800
24-02-21,17.1,17.05,17.15,17.0,17300
25-02-21,17.15,17.05,17.15,17.0,34700
26-02-21,17.1,17.05,17.1,17.05,40900
01-03-21,17.05,17.1,17.2,17.0,58300
02-03-21,17.2,17.15,17.25,17.1,42000
03-03-21,17.1,17.3,17.3,17.05,87600
04-03-21,17.4,17.1,17.4,17.05,56900
05-03-21,17.1,17.25,17.3,17.1,43300
08-03-21,17.5,17.4,17.5,17.35,70600
09-03-21,17.5,17.4,17.5,17.35,169700
10-03-21,17.4,17.4,17.45,17.35,30500
11-03-21,17.45,17.4,17.5,17.4,33600
12-03-21,17.4,17.35,17.45,17.3,43800
15-03-21,17.4,17.55,17.55,17.35,90300
16-03-21,17.3,17.4,17.5,17.3,58200
17-03-21,17.4,17.4,17.5,17.3,27500
18-03-21,17.5,17.45,17.5,17.4,28200
