Date,Open,Close,High,Low,Volume
16-11-20,22.95,22.1,23.2,21.35,758280
17-11-20,22.3,22.45,22.5,22.1,416370
18-11-20,22.45,22.2,22.55,22.05,507300
19-11-20,22.2,22.6,22.7,22.05,554890
20-11-20,22.8,22.7,22.95,22.4,351500
23-11-20,22.65,22.4,22.9,22.35,517710
24-11-20,22.4,22.4,22.8,22.25,1216220
25-11-20,22.7,22.2,22.7,22.2,561330
26-11-20,22.35,22.2,22.45,22.15,429540
27-11-20,22.3,22.2,22.4,22.2,392140
30-11-20,22.4,23.75,23.75,22.4,3842830
01-12-20,24.4,24.3,25.1,24.15,3069250
02-12-20,24.3,24.05,24.7,24.0,988630
03-12-20,24.0,25.7,25.7,23.95,4377080
04-12-20,26.0,25.65,26.9,25.3,1721770
07-12-20,25.75,26.0,26.5,25.75,1485750
08-12-20,26.0,25.65,26.0,25.3,1942660
09-12-20,25.7,25.8,26.5,25.7,1936630
10-12-20,26.0,25.0,26.0,25.0,2241020
11-12-20,25.3,25.45,25.5,24.65,2141340
14-12-20,25.8,27.2,27.2,25.55,4176460
15-12-20,27.2,26.8,28.05,26.35,4190310
16-12-20,27.0,28.15,28.5,26.9,3612500
17-12-20,27.9,28.5,29.5,27.8,3649450
18-12-20,28.65,29.0,29.15,28.05,3063530
21-12-20,29.2,29.1,29.9,28.6,3266210
22-12-20,29.1,28.9,29.35,28.6,2618660
23-12-20,29.0,29.2,30.5,28.5,3123300
24-12-20,29.2,29.3,29.8,27.5,2844200
25-12-20,29.5,31.35,31.35,29.45,4318930
28-12-20,32.5,32.9,33.3,31.35,3126960
29-12-20,32.7,32.6,33.3,32.0,1924500
30-12-20,32.25,32.0,33.15,31.6,3619030
31-12-20,32.0,32.0,32.7,31.7,1780550
04-01-21,32.2,32.3,32.9,32.2,1591800
05-01-21,32.0,32.7,33.8,31.9,2391600
06-01-21,33.1,32.5,33.3,32.4,2525900
07-01-21,32.5,34.3,34.35,32.05,3163300
08-01-21,34.3,33.95,34.5,33.6,2531800
11-01-21,33.95,34.15,34.45,33.5,1875400
12-01-21,34.15,34.2,34.25,33.5,1629000
13-01-21,34.75,34.3,35.25,34.2,2459600
14-01-21,34.8,34.25,34.9,34.0,1277200
