Date,Open,Close,High,Low,Volume
16-11-20,19.0,18.6,19.0,18.55,17330
17-11-20,18.2,18.0,18.6,18.0,182470
18-11-20,18.9,18.2,18.9,18.2,4990
19-11-20,18.4,17.8,18.4,17.8,7720
20-11-20,18.2,18.2,18.2,17.55,11190
23-11-20,18.2,18.0,18.2,17.7,8450
24-11-20,18.25,17.8,18.25,17.7,20550
25-11-20,18.0,18.15,18.2,18.0,16570
26-11-20,18.1,18.15,18.15,18.0,24560
27-11-20,18.4,18.1,18.4,18.1,3330
30-11-20,18.1,18.35,18.35,18.0,23560
01-12-20,18.35,18.35,18.4,17.8,17800
02-12-20,18.2,18.25,18.35,18.2,25540
03-12-20,18.25,18.25,18.3,18.15,9850
04-12-20,18.3,18.35,18.35,18.2,14180
07-12-20,18.4,19.0,19.2,18.4,38850
08-12-20,19.0,19.9,20.3,19.0,39670
09-12-20,20.3,20.3,20.4,19.9,10510
10-12-20,19.55,19.6,20.5,19.55,28060
11-12-20,19.5,19.6,19.6,19.1,17970
14-12-20,19.9,19.9,20.4,19.7,33480
15-12-20,20.0,20.05,20.1,19.9,22900
16-12-20,20.45,20.05,20.6,20.0,28940
17-12-20,20.25,20.0,20.35,19.9,25120
18-12-20,20.0,20.2,20.2,19.9,14020
21-12-20,20.0,19.75,20.25,19.75,10620
22-12-20,20.0,20.6,20.7,19.9,99500
23-12-20,20.6,21.3,21.3,20.6,28050
24-12-20,21.15,21.0,21.15,19.9,5520
25-12-20,20.7,21.0,21.0,20.1,47710
28-12-20,20.75,21.2,21.3,20.75,41210
29-12-20,21.3,21.2,21.3,20.5,12200
30-12-20,20.6,20.85,21.0,20.2,5970
31-12-20,20.5,21.5,21.5,20.5,22240
04-01-21,21.5,22.3,22.8,20.2,16400
05-01-21,21.5,22.0,22.4,21.5,64000
06-01-21,22.0,22.2,22.6,21.6,28500
07-01-21,21.9,23.75,23.75,21.9,113600
08-01-21,23.8,25.1,25.4,22.1,32600
11-01-21,23.4,26.3,26.5,23.4,60200
12-01-21,25.75,26.0,26.0,24.9,30000
13-01-21,25.0,26.6,27.0,25.0,234900
14-01-21,26.6,28.2,28.45,26.4,112000
15-01-21,29.0,28.7,29.0,28.0,46400
18-01-21,28.1,29.9,30.5,27.9,81600
19-01-21,28.5,29.0,29.9,28.0,97200
20-01-21,27.05,28.5,28.9,27.0,13400
21-01-21,28.0,27.5,28.1,27.0,11700
22-01-21,27.0,27.5,29.0,25.65,105200
25-01-21,27.5,27.5,27.5,27.0,500
26-01-21,27.0,27.45,27.5,25.65,18500
27-01-21,27.4,27.4,27.45,26.8,63100
28-01-21,25.55,25.5,27.4,25.5,46600
29-01-21,25.0,26.45,26.8,23.75,13100
01-02-21,24.65,26.45,27.0,24.65,40700
02-02-21,24.9,27.5,27.5,24.9,13000
