Date,Open,Close,High,Low,Volume
16-11-20,50.9,50.3,50.9,50.3,60
17-11-20,50.3,50.3,50.3,50.3,1960
18-11-20,48.5,48.5,48.5,48.5,40
19-11-20,48.7,50.0,50.0,48.7,410
20-11-20,50.0,50.0,50.0,50.0,900
23-11-20,50.1,49.1,50.1,49.0,1510
24-11-20,49.1,49.1,49.1,49.1,0
25-11-20,49.1,49.1,49.1,49.1,0
26-11-20,49.1,49.1,49.1,49.1,0
27-11-20,48.8,50.0,50.2,48.05,1920
30-11-20,50.0,49.0,50.1,49.0,2610
01-12-20,49.0,50.0,50.0,49.0,2930
02-12-20,50.0,49.25,50.0,48.3,1250
03-12-20,49.3,51.0,51.0,49.3,5510
04-12-20,51.0,50.5,51.3,50.5,7770
07-12-20,50.5,50.4,51.0,50.4,6470
08-12-20,50.4,53.9,53.9,50.1,24900
09-12-20,57.0,57.6,57.6,56.0,7200
10-12-20,58.0,59.5,59.5,58.0,6000
11-12-20,62.2,61.1,63.0,59.8,9000
14-12-20,64.8,63.0,64.9,61.0,10220
15-12-20,62.5,63.0,63.0,62.5,2030
16-12-20,63.0,60.5,63.0,60.5,1220
17-12-20,60.5,60.0,61.0,60.0,2260
18-12-20,58.5,60.5,60.5,58.5,280
21-12-20,60.0,58.2,60.0,58.2,2210
22-12-20,59.0,59.0,60.0,59.0,460
23-12-20,59.0,58.9,59.0,58.8,3770
24-12-20,59.0,58.0,59.0,58.0,1080
25-12-20,62.0,62.0,62.0,62.0,8860
28-12-20,62.5,66.3,66.3,62.5,84060
29-12-20,66.3,70.9,70.9,66.3,23600
30-12-20,75.0,74.5,75.0,67.0,7530
31-12-20,69.3,70.1,71.5,69.3,63820
04-01-21,70.1,68.6,70.1,65.2,5500
05-01-21,67.0,71.0,72.5,64.0,6000
06-01-21,69.9,67.2,69.9,67.0,3100
07-01-21,65.0,68.0,68.0,65.0,6800
08-01-21,68.0,68.0,68.0,68.0,2700
11-01-21,68.0,68.0,68.0,68.0,1700
12-01-21,68.0,67.8,68.0,67.8,1300
13-01-21,67.8,67.0,67.8,67.0,4200
14-01-21,68.0,68.3,68.3,66.8,3500
15-01-21,68.5,68.0,68.5,67.0,1400
18-01-21,65.7,65.7,65.7,65.7,100
19-01-21,65.7,65.0,65.7,65.0,3400
20-01-21,65.0,61.0,65.0,60.6,1100
21-01-21,61.0,64.0,64.0,61.0,800
22-01-21,64.0,65.0,65.0,63.8,1100
25-01-21,64.2,64.4,64.4,64.2,2500
26-01-21,61.1,63.7,63.7,61.1,1100
27-01-21,60.1,62.0,62.0,60.1,300
28-01-21,57.8,57.7,61.0,57.7,6800
