Date,Open,Close,High,Low,Volume
16-11-20,6.24,6.2,6.26,6.2,96980
17-11-20,6.37,6.26,6.37,6.2,40660
18-11-20,6.35,6.21,6.35,6.2,86040
19-11-20,6.2,6.23,6.26,6.19,80900
20-11-20,6.23,6.35,6.37,6.2,74540
23-11-20,6.25,6.33,6.36,6.25,50530
24-11-20,6.33,6.34,6.34,6.26,98910
25-11-20,6.38,6.78,6.78,6.3,246120
26-11-20,7.15,7.22,7.25,7.0,685730
27-11-20,6.76,7.15,7.22,6.76,184900
30-11-20,7.15,6.85,7.15,6.85,122500
01-12-20,6.8,6.74,6.8,6.4,253530
02-12-20,6.53,6.74,6.74,6.53,88940
03-12-20,6.7,7.0,7.19,6.7,186180
04-12-20,7.1,6.93,7.1,6.86,123250
07-12-20,6.93,7.41,7.41,6.9,602230
08-12-20,7.73,7.5,7.85,7.41,262350
09-12-20,7.63,7.4,7.63,7.35,201350
10-12-20,7.31,7.4,7.67,7.3,616310
11-12-20,7.39,7.25,7.39,7.25,324410
14-12-20,7.25,7.39,7.45,7.25,176010
15-12-20,7.39,7.3,7.39,7.25,242760
16-12-20,7.39,7.4,7.6,7.34,275610
17-12-20,7.49,7.37,7.49,7.3,186760
18-12-20,7.39,7.6,7.6,7.3,299230
21-12-20,8.13,8.13,8.13,7.9,846380
22-12-20,8.5,8.69,8.69,8.26,553140
23-12-20,9.29,9.29,9.29,9.21,982890
24-12-20,9.5,9.2,9.5,8.64,1030160
25-12-20,9.0,9.1,9.35,8.7,613310
28-12-20,9.3,9.1,9.5,8.9,733840
29-12-20,9.1,9.1,9.18,8.8,581150
30-12-20,9.15,8.94,9.19,8.9,467420
31-12-20,8.85,9.56,9.56,8.85,620650
04-01-21,10.2,10.2,10.2,9.86,854000
05-01-21,10.2,9.98,10.6,9.9,828400
06-01-21,9.98,9.8,10.0,9.6,582600
07-01-21,9.65,9.9,10.0,9.65,532300
08-01-21,9.9,9.8,9.9,9.7,415800
11-01-21,9.83,9.99,10.3,9.83,585200
12-01-21,10.0,9.95,10.0,9.7,386800
13-01-21,9.95,9.95,9.98,9.7,745600
14-01-21,9.9,9.76,9.95,9.74,429400
15-01-21,9.76,9.8,9.8,9.58,919900
18-01-21,9.9,10.45,10.45,9.9,1422100
19-01-21,10.6,11.0,11.15,9.73,1453800
20-01-21,11.0,10.9,11.3,10.25,699700
21-01-21,10.4,11.4,11.4,10.4,991200
22-01-21,11.85,12.15,12.15,11.2,1449900
25-01-21,12.4,12.3,12.6,12.05,535500
26-01-21,12.3,11.45,12.3,11.45,725800
27-01-21,10.75,10.65,11.0,10.65,653700
28-01-21,9.91,9.91,9.91,9.91,34400
29-01-21,9.22,9.39,9.91,9.22,1496000
01-02-21,9.39,8.74,9.4,8.74,383400
02-02-21,8.13,8.5,8.72,8.13,564500
03-02-21,8.32,8.8,8.96,8.22,240500
04-02-21,8.8,8.75,9.3,8.61,285100
05-02-21,8.9,8.9,9.18,8.76,338100
08-02-21,9.38,9.51,9.52,9.0,947000
09-02-21,9.41,10.1,10.15,9.41,366600
17-02-21,10.1,10.15,10.45,10.0,406400
18-02-21,10.05,9.85,10.15,9.8,444300
19-02-21,9.6,9.94,9.99,9.6,360600
22-02-21,10.1,9.9,10.1,9.85,409200
23-02-21,9.9,9.81,9.9,9.7,267300
24-02-21,9.97,9.45,9.97,9.45,308100
25-02-21,9.46,9.06,9.5,8.99,487400
26-02-21,9.01,8.9,9.01,8.68,1023100
01-03-21,9.0,9.52,9.52,8.7,604700
02-03-21,10.15,9.8,10.15,9.68,459000
03-03-21,9.55,9.89,9.89,9.55,388900
04-03-21,9.89,9.45,9.93,9.4,489700
05-03-21,9.45,9.55,9.55,9.2,304200
08-03-21,9.6,9.69,9.8,9.55,428600
09-03-21,9.69,9.67,9.7,9.2,244800
10-03-21,9.67,9.75,9.78,9.54,408700
