Date,Open,Close,High,Low,Volume
24-03-21,20.15,20.15,20.15,20.15,6007500
25-03-21,21.55,21.55,21.55,21.55,1464100
26-03-21,23.05,23.05,23.05,23.05,1078500
29-03-21,24.65,24.65,24.65,24.0,3992200
30-03-21,26.35,26.35,26.35,26.25,1896300
31-03-21,28.15,28.15,28.15,27.2,4138700
01-04-21,28.1,28.2,28.2,27.1,3793500
02-04-21,27.7,28.25,28.25,27.7,2990700
05-04-21,28.05,28.1,28.15,27.4,1564100
06-04-21,28.0,28.0,28.0,27.3,1881700
07-04-21,28.0,28.0,28.0,27.5,1208100
08-04-21,27.8,27.6,27.8,27.5,911300
09-04-21,27.0,27.7,27.7,27.0,955900
12-04-21,27.3,27.7,27.7,27.0,846900
13-04-21,27.1,27.3,27.5,27.1,433600
14-04-21,27.0,26.8,27.25,26.8,579800
15-04-21,26.4,27.0,27.0,25.5,1409400
16-04-21,27.0,27.3,27.3,26.5,574400
19-04-21,27.35,27.5,27.5,27.1,886900
20-04-21,27.6,27.5,27.6,27.4,1465400
22-04-21,27.3,27.5,27.5,26.8,729000
23-04-21,27.5,26.1,27.5,26.1,853900
26-04-21,27.0,26.8,27.2,26.35,578000
27-04-21,25.1,26.9,26.9,25.1,705300
28-04-21,26.8,26.8,26.95,26.0,846500
29-04-21,26.1,26.85,26.95,26.1,1199900
04-05-21,26.05,26.4,26.5,26.05,1055500
05-05-21,26.4,26.45,26.5,26.1,647500
06-05-21,26.45,27.35,28.3,26.3,1078900
07-05-21,27.5,27.5,27.7,27.0,1122000
10-05-21,27.5,28.0,28.0,27.0,1638300
11-05-21,28.3,28.0,28.3,27.7,942400
12-05-21,28.0,28.0,28.0,27.7,1429600
13-05-21,28.0,28.3,28.5,27.1,2069300
14-05-21,28.5,30.25,30.25,27.5,3100400
17-05-21,30.3,31.45,32.0,30.3,3145000
18-05-21,32.1,31.5,32.1,31.4,3096400
19-05-21,31.5,31.75,31.95,29.5,3510600
20-05-21,31.95,31.75,31.95,29.6,4030600
21-05-21,31.75,32.0,32.0,30.35,4272700
24-05-21,32.0,32.6,32.6,30.5,2716700
25-05-21,32.95,34.85,34.85,30.5,3725900
26-05-21,34.9,37.2,37.2,33.5,2720400
27-05-21,37.3,37.05,37.35,35.05,2077400
28-05-21,37.0,39.0,39.0,35.5,2006200
31-05-21,39.0,40.8,40.8,38.0,1832500
01-06-21,40.85,40.9,41.9,39.0,1733600
02-06-21,40.7,41.5,41.5,38.9,1816900
03-06-21,41.6,43.0,43.0,39.05,2794400
04-06-21,43.4,45.5,45.5,40.1,4445100
07-06-21,45.5,43.5,45.5,42.4,1594600
08-06-21,41.5,43.0,43.0,40.6,2450000
09-06-21,40.5,40.2,43.2,40.15,2641700
10-06-21,40.7,41.3,42.6,37.5,3337900
11-06-21,41.3,42.9,42.9,39.5,2589300
14-06-21,42.9,43.0,43.0,41.0,2782100
15-06-21,42.9,41.3,42.95,40.1,2466800
16-06-21,41.3,39.8,41.3,38.6,1489700
17-06-21,39.6,39.7,39.8,37.4,1823600
18-06-21,38.0,40.35,40.45,37.0,2734900
21-06-21,40.35,40.0,40.35,39.0,2216300
22-06-21,40.0,40.05,40.1,38.9,2389900
23-06-21,39.95,39.7,39.95,39.05,2069900
24-06-21,39.7,39.75,39.85,39.0,2276400
25-06-21,39.8,40.1,40.1,39.0,2106000
28-06-21,39.1,40.8,41.0,38.5,2093400
29-06-21,40.8,40.95,41.0,40.7,2099600
30-06-21,40.95,41.15,41.35,39.5,2195300
01-07-21,41.15,40.85,41.2,39.3,2349400
02-07-21,40.9,42.4,42.4,39.95,3294900
05-07-21,42.4,42.2,42.4,41.0,2506700
06-07-21,42.2,41.7,42.35,40.3,2955100
07-07-21,41.15,41.9,42.0,40.0,3388500
08-07-21,41.8,41.5,41.8,40.5,2656800
09-07-21,41.3,40.6,41.6,40.0,2824800
12-07-21,40.3,38.0,40.3,37.8,1625200
13-07-21,37.5,38.6,38.6,36.3,1732300
14-07-21,38.5,38.2,38.5,37.1,1798000
15-07-21,38.0,40.3,40.4,37.5,1725100
16-07-21,40.3,39.45,41.0,38.95,1963600
19-07-21,38.9,37.0,38.9,37.0,1590100
20-07-21,37.0,39.05,39.3,35.0,1740500
21-07-21,39.05,39.0,39.2,38.2,1753900
22-07-21,38.9,41.0,41.0,38.2,2105800
23-07-21,39.0,37.55,39.0,37.3,1460500
26-07-21,37.45,36.4,37.45,35.5,1212300
27-07-21,36.45,37.2,37.2,35.0,1412500
28-07-21,37.0,36.95,37.15,36.0,1308300
29-07-21,36.9,37.0,37.05,36.0,1488300
30-07-21,36.95,36.6,37.2,36.0,2351600
02-08-21,36.0,36.4,36.6,35.0,1895300
03-08-21,36.2,36.65,36.65,35.8,1485000
04-08-21,36.6,37.0,37.0,36.45,1721500
05-08-21,36.95,37.25,37.55,35.8,3360800
06-08-21,37.3,37.15,37.45,36.5,1449500
09-08-21,36.8,37.3,37.3,36.45,1542500
10-08-21,37.3,36.9,37.45,36.5,2707800
11-08-21,36.3,36.75,36.95,35.5,2420300
12-08-21,36.7,36.6,36.7,35.5,1854300
13-08-21,36.5,36.4,36.5,35.5,2626900
16-08-21,36.3,36.6,36.6,35.5,3049600
17-08-21,36.6,36.8,37.5,36.5,2520300
18-08-21,36.25,36.25,36.7,36.0,2351100
19-08-21,36.2,35.9,36.2,35.6,2059500
20-08-21,35.9,35.8,35.9,34.6,1814400
23-08-21,35.6,35.3,35.7,34.95,2285100
24-08-21,35.2,35.6,35.6,34.75,2167200
25-08-21,35.7,35.7,35.95,35.2,2703100
26-08-21,35.6,35.35,35.75,35.05,3278000
27-08-21,35.3,35.35,35.35,34.2,3167600
30-08-21,35.4,36.0,36.0,35.2,3405800
31-08-21,36.0,36.0,36.1,35.65,3009500
01-09-21,36.0,35.9,36.1,35.1,3849700
06-09-21,35.3,35.9,35.95,35.1,3044100
07-09-21,35.65,36.0,36.0,35.15,3851000
08-09-21,35.95,35.6,35.95,35.45,3643400
09-09-21,35.55,36.0,36.0,35.4,3575700
10-09-21,36.0,36.0,36.05,35.65,2791000
13-09-21,35.8,35.6,36.0,35.15,3340200
14-09-21,35.6,35.6,35.8,35.45,2019100
15-09-21,35.6,35.75,35.75,35.45,1987900
16-09-21,35.8,35.75,35.95,35.25,3057900
17-09-21,35.75,35.95,35.95,35.6,2986100
20-09-21,35.9,36.0,36.1,35.85,2191000
21-09-21,35.6,35.7,35.8,35.5,1626800
22-09-21,35.75,35.7,35.8,35.15,1903900
23-09-21,35.75,35.8,35.8,35.45,1994400
24-09-21,35.95,36.0,36.0,35.75,1789800
27-09-21,36.0,35.75,36.1,35.05,2507100
28-09-21,35.6,35.85,35.85,35.45,2044000
29-09-21,35.85,35.85,35.85,35.55,2031800
30-09-21,35.8,35.85,35.95,35.2,2694100
01-10-21,35.85,35.85,35.9,35.45,2032900
04-10-21,35.85,35.85,35.9,35.45,2061000
05-10-21,35.8,35.95,35.95,35.35,1861700
06-10-21,36.0,36.2,36.2,35.45,2015100
07-10-21,36.25,37.6,37.6,35.7,2020700
08-10-21,37.65,38.0,38.5,37.6,2065900
11-10-21,38.05,38.0,38.45,37.6,1822000
12-10-21,38.05,38.0,38.05,37.7,2103300
13-10-21,36.1,37.05,37.5,35.4,2697700
14-10-21,37.0,37.2,37.35,36.75,3228100
15-10-21,37.2,37.4,37.45,37.15,3568300
18-10-21,37.4,37.2,37.55,36.5,2989000
19-10-21,37.25,37.2,37.25,36.6,1764900
20-10-21,37.0,37.2,37.2,36.8,1891100
21-10-21,37.15,37.0,37.3,36.3,3226000
22-10-21,37.05,36.65,37.05,36.55,2160900
25-10-21,36.6,36.6,36.7,36.2,1899000
26-10-21,36.5,36.45,36.6,35.95,2027000
27-10-21,36.5,36.55,36.6,36.15,2164300
28-10-21,36.6,37.8,37.8,36.35,1701600
29-10-21,37.75,37.1,37.8,36.8,2120900
01-11-21,36.9,37.2,37.25,36.2,2037300
02-11-21,37.0,37.2,37.25,36.4,1937200
03-11-21,37.2,38.25,38.4,36.55,2188300
04-11-21,37.9,37.6,38.2,37.15,2295200
05-11-21,37.6,37.6,37.6,36.5,3310100
08-11-21,36.7,37.6,37.9,36.7,2111600
09-11-21,37.55,37.6,37.65,36.85,2362400
10-11-21,37.5,37.25,37.6,36.85,2213700
11-11-21,37.2,36.95,37.2,36.7,2022800
12-11-21,37.05,37.2,37.2,36.7,1978800
15-11-21,37.25,37.05,37.4,36.9,2160600
16-11-21,37.1,36.85,37.3,36.8,2192100
17-11-21,36.9,36.85,36.95,36.25,2100500
