Date,Open,Close,High,Low,Volume
16-11-20,5.85,5.7,5.95,5.6,4043210
17-11-20,5.71,5.94,5.98,5.67,3393260
18-11-20,5.94,6.12,6.2,5.9,4868340
19-11-20,6.19,6.06,6.19,5.98,3277040
20-11-20,6.01,5.93,6.2,5.82,6357870
23-11-20,5.97,5.93,6.09,5.93,3117210
24-11-20,5.93,5.9,5.99,5.82,2218080
25-11-20,5.9,5.94,6.15,5.9,2745340
26-11-20,5.95,5.86,5.99,5.84,2056220
27-11-20,5.86,5.83,5.97,5.83,1473780
30-11-20,5.83,5.71,5.88,5.71,3016610
01-12-20,5.62,5.75,5.82,5.6,2686250
02-12-20,5.76,5.74,5.82,5.71,1250220
03-12-20,5.79,5.96,5.99,5.75,2781380
04-12-20,5.97,5.88,6.02,5.88,1755900
07-12-20,5.86,5.89,5.98,5.86,1826790
08-12-20,5.9,5.9,5.98,5.88,2088270
09-12-20,5.93,6.31,6.31,5.9,7952700
10-12-20,6.4,6.29,6.7,6.29,5084970
11-12-20,6.3,6.38,6.41,6.25,2007150
14-12-20,6.38,6.46,6.68,6.35,3386290
15-12-20,6.46,6.4,6.57,6.31,2562040
16-12-20,6.4,6.55,6.65,6.4,3294620
17-12-20,6.58,6.64,6.81,6.47,3100670
18-12-20,6.7,7.09,7.1,6.67,4978530
21-12-20,7.09,7.53,7.58,7.09,5755950
22-12-20,7.53,7.82,7.86,7.51,4505340
23-12-20,7.82,7.29,7.95,7.28,7191720
24-12-20,7.29,6.9,7.29,6.78,5520700
25-12-20,7.0,7.38,7.38,6.7,5255210
28-12-20,7.58,7.59,7.75,7.4,3058190
29-12-20,7.4,7.41,7.59,7.38,2843380
30-12-20,7.45,7.1,7.45,7.08,2681280
31-12-20,7.16,7.34,7.4,7.1,2223280
04-01-21,7.39,7.5,7.55,7.35,3181600
05-01-21,7.4,7.37,7.46,7.34,2945500
06-01-21,7.37,7.36,7.53,7.34,2502200
07-01-21,7.36,7.87,7.87,7.36,8352500
08-01-21,8.27,7.95,8.27,7.86,4030600
11-01-21,8.0,7.95,8.2,7.82,2631200
12-01-21,7.88,7.77,7.95,7.51,2936500
13-01-21,7.77,7.55,7.8,7.51,4676700
14-01-21,7.55,7.72,7.76,7.41,3386000
15-01-21,7.76,7.64,7.8,7.64,3338400
18-01-21,7.66,7.76,7.85,7.65,3419900
19-01-21,7.76,7.25,7.76,7.22,2563600
20-01-21,7.25,7.1,7.35,6.75,2158700
21-01-21,7.3,7.18,7.33,7.0,1906300
22-01-21,7.2,7.34,7.58,7.18,2401500
25-01-21,7.2,7.34,7.5,7.2,1987800
26-01-21,7.34,6.85,7.4,6.85,1935000
27-01-21,6.6,6.38,6.85,6.38,3628700
28-01-21,5.95,5.94,6.0,5.94,2030300
29-01-21,5.53,5.94,6.1,5.53,1745100
01-02-21,5.94,5.53,6.0,5.53,2269300
02-02-21,5.31,5.2,5.31,5.15,2728700
03-02-21,5.38,5.56,5.56,5.3,1491000
04-02-21,5.88,5.74,5.88,5.66,2252000
05-02-21,5.76,5.71,5.85,5.71,1538000
08-02-21,5.72,5.33,5.79,5.33,1612600
09-02-21,5.33,5.56,5.6,5.32,1024600
17-02-21,5.65,5.94,5.94,5.65,1455100
18-02-21,6.0,6.02,6.17,5.9,1832200
19-02-21,5.95,6.06,6.14,5.92,1335200
22-02-21,6.17,6.15,6.33,6.08,1872500
23-02-21,6.21,6.25,6.31,6.14,1717300
24-02-21,6.3,6.26,6.45,6.15,2180300
25-02-21,6.33,6.2,6.33,6.15,1321700
26-02-21,6.05,6.16,6.19,6.05,966000
01-03-21,6.32,6.25,6.33,6.2,1470000
02-03-21,6.34,6.35,6.38,6.26,1427000
03-03-21,6.43,6.79,6.79,6.4,3740500
04-03-21,7.09,7.0,7.2,6.8,4110100
