Date,Open,Close,High,Low,Volume
16-11-20,42.2,41.45,42.45,41.4,1436890
17-11-20,41.55,41.55,41.95,41.45,1447660
18-11-20,41.55,41.35,41.7,41.15,1242250
19-11-20,41.35,41.55,42.15,41.35,936110
20-11-20,41.7,44.0,44.0,41.5,4085900
23-11-20,43.9,43.9,44.15,43.4,1719510
24-11-20,43.9,43.25,43.95,43.0,1310320
25-11-20,43.25,42.7,43.5,42.6,1524090
26-11-20,42.7,42.7,42.95,42.5,670650
27-11-20,43.3,43.2,43.6,42.7,1111930
30-11-20,43.3,42.4,43.3,42.4,977590
01-12-20,41.7,42.2,42.6,41.7,1059750
02-12-20,42.2,42.5,43.2,41.8,1459080
03-12-20,42.5,42.8,43.2,42.5,1262480
04-12-20,42.8,42.2,43.0,42.2,959160
07-12-20,42.3,42.25,42.75,42.25,873380
08-12-20,42.55,42.15,42.6,42.0,1108400
09-12-20,42.2,42.55,43.2,42.2,1096130
10-12-20,42.7,43.15,43.95,42.55,2905480
11-12-20,43.3,46.15,46.15,43.15,4944900
14-12-20,47.6,47.5,48.5,47.4,3845770
15-12-20,47.05,48.6,48.85,46.8,3670900
16-12-20,49.2,48.85,49.8,48.1,2624940
17-12-20,48.2,48.05,49.3,48.05,2352030
18-12-20,48.35,50.0,50.6,48.05,4032930
21-12-20,51.5,50.5,51.5,49.95,2480320
22-12-20,50.3,51.4,51.6,50.0,2971450
23-12-20,51.7,52.0,53.7,51.4,3054320
24-12-20,52.2,50.5,53.3,49.0,3737120
25-12-20,51.0,52.5,52.9,50.8,2865210
28-12-20,53.6,54.0,54.5,52.6,2735370
29-12-20,53.9,57.7,57.7,53.1,7164020
30-12-20,58.5,57.4,59.3,57.2,2509830
31-12-20,57.4,56.7,58.1,56.5,1964820
04-01-21,57.1,58.5,59.5,57.1,3026900
05-01-21,58.5,57.4,59.4,56.6,4660500
06-01-21,57.0,58.0,59.5,55.7,4911000
07-01-21,58.2,58.0,59.0,57.5,2294000
08-01-21,59.0,59.4,60.1,58.6,4368400
11-01-21,59.4,57.9,59.7,57.7,3613100
12-01-21,57.9,57.5,58.0,56.1,2446600
13-01-21,58.0,59.8,61.5,58.0,5065300
14-01-21,60.8,63.0,63.0,60.0,3219800
15-01-21,63.0,63.5,65.2,62.7,2667600
18-01-21,63.0,61.2,63.5,61.2,3339500
19-01-21,61.1,57.5,62.0,57.0,3407300
20-01-21,57.9,57.8,58.5,54.0,3153000
21-01-21,58.2,58.6,58.8,57.3,2442700
22-01-21,58.5,58.0,60.1,57.5,2946900
25-01-21,57.5,57.0,58.4,56.8,2118900
26-01-21,57.0,53.1,57.3,53.1,5789500
27-01-21,52.2,50.0,53.9,49.7,3940700
28-01-21,46.5,46.5,49.0,46.5,3023700
29-01-21,43.7,47.65,48.5,43.7,2538300
01-02-21,47.6,45.0,48.0,44.75,2413200
02-02-21,44.6,46.95,47.3,44.5,1828900
03-02-21,48.0,49.0,49.9,47.0,1736500
04-02-21,49.0,49.0,49.5,48.1,1312300
05-02-21,49.0,51.9,52.0,48.7,2058300
08-02-21,52.0,49.0,52.0,48.5,1862600
09-02-21,49.0,50.0,50.4,48.6,1328600
17-02-21,50.5,51.5,51.8,49.9,1946200
18-02-21,51.3,53.8,54.5,50.6,2428700
19-02-21,53.5,54.0,55.0,53.0,1410500
22-02-21,53.9,53.5,54.5,52.6,1429700
23-02-21,53.2,52.5,53.6,52.3,1925300
24-02-21,52.8,51.4,53.5,51.0,2055400
25-02-21,51.6,51.2,52.0,50.6,1526800
26-02-21,50.5,52.2,53.2,50.5,1296800
01-03-21,53.1,52.2,53.2,52.0,1324500
02-03-21,53.0,52.8,54.5,52.4,3263500
03-03-21,53.6,53.9,54.4,53.2,2740500
04-03-21,54.4,55.5,56.4,54.0,3687700
05-03-21,55.6,54.9,55.7,54.2,1920400
08-03-21,55.0,56.1,56.5,55.0,3199700
09-03-21,56.1,57.8,58.0,55.1,3808100
10-03-21,58.5,58.0,58.5,57.0,1535900
11-03-21,58.0,57.9,58.2,57.0,2150000
12-03-21,58.5,58.0,59.4,58.0,2596900
15-03-21,58.9,59.4,60.0,58.5,2774400
16-03-21,62.0,61.8,62.0,60.5,4820300
17-03-21,62.0,61.4,62.2,61.0,3218700
18-03-21,61.4,60.9,61.5,60.5,1988600
19-03-21,60.5,60.9,61.7,60.4,2171700
22-03-21,61.4,60.5,61.4,60.2,1726200
23-03-21,60.1,58.5,60.2,58.0,3717200
24-03-21,57.5,58.4,59.0,57.3,2019600
25-03-21,59.0,58.2,59.6,58.0,1884300
26-03-21,58.2,58.4,58.8,56.1,2519500
29-03-21,59.0,58.9,59.9,58.4,1680500
30-03-21,59.1,58.6,59.1,58.3,1076200
31-03-21,58.3,58.1,58.7,57.7,1891900
01-04-21,58.0,61.0,61.0,58.0,2111300
02-04-21,62.0,60.6,62.0,60.1,1835200
05-04-21,60.6,59.7,60.8,59.0,2444500
06-04-21,59.5,58.8,59.5,58.5,2516400
07-04-21,58.8,59.4,59.7,58.1,975400
08-04-21,59.5,58.8,59.6,58.3,1306500
09-04-21,58.5,58.1,58.7,58.0,1411000
12-04-21,58.1,58.1,58.2,57.1,2602800
13-04-21,58.6,56.9,58.6,56.8,2144900
14-04-21,56.3,57.5,57.5,55.6,1675600
15-04-21,57.6,56.2,57.6,56.2,1151400
16-04-21,56.2,57.0,58.0,55.7,1389800
19-04-21,57.4,58.0,58.0,56.4,1588600
20-04-21,58.7,58.6,59.5,58.0,2776500
22-04-21,58.6,56.2,59.4,56.2,1901400
23-04-21,56.1,56.2,56.8,55.1,1776600
26-04-21,56.2,53.8,56.2,53.7,1914000
27-04-21,53.8,52.6,53.8,52.4,2142700
28-04-21,52.8,53.7,54.6,52.8,1003500
29-04-21,53.7,53.7,54.2,53.6,636200
04-05-21,52.8,53.2,53.5,51.9,1326700
05-05-21,53.2,56.0,56.2,53.2,1732200
06-05-21,56.2,57.2,58.4,56.2,2699500
07-05-21,57.0,57.0,57.9,56.2,2216200
10-05-21,56.6,56.9,57.0,56.0,1569100
11-05-21,57.5,57.7,58.7,57.2,2951000
12-05-21,57.5,57.9,58.4,57.4,1199900
13-05-21,57.5,56.4,57.7,56.4,1641300
14-05-21,56.4,55.5,56.7,55.5,1492000
17-05-21,55.3,53.8,55.5,53.8,1805100
18-05-21,53.5,53.9,54.6,53.5,1138400
19-05-21,53.9,54.0,54.5,53.8,871900
20-05-21,54.2,53.4,54.2,53.0,1248300
21-05-21,54.0,55.1,55.7,53.6,1233100
24-05-21,55.2,56.0,56.0,54.8,1108000
25-05-21,56.3,56.0,56.8,55.7,1315300
26-05-21,55.5,55.4,55.7,54.9,1144300
27-05-21,55.6,54.0,55.6,53.7,1052600
28-05-21,55.0,57.7,57.7,54.8,2865700
31-05-21,60.0,60.9,61.4,58.8,3783600
01-06-21,61.4,61.4,62.8,61.0,3371700
02-06-21,60.6,63.5,63.5,60.6,3055900
