Date,Open,Close,High,Low,Volume
16-11-20,11.0,10.65,11.0,10.1,12030
17-11-20,10.65,10.65,10.65,10.65,30
18-11-20,10.1,10.25,10.65,10.1,4380
19-11-20,10.2,10.2,10.65,10.2,1280
20-11-20,10.2,10.65,10.65,10.0,530
23-11-20,10.4,10.3,10.4,10.25,42310
24-11-20,10.8,10.7,10.8,10.3,930
25-11-20,10.7,10.4,10.7,10.4,1150
26-11-20,10.2,10.2,10.35,10.05,18850
27-11-20,10.8,10.3,10.8,10.05,1070
30-11-20,10.65,10.3,10.65,10.05,2660
01-12-20,9.6,10.3,10.7,9.6,2920
02-12-20,10.7,10.7,10.7,10.7,10
03-12-20,10.5,10.6,10.6,10.5,430
04-12-20,10.3,10.0,10.45,10.0,3470
07-12-20,10.65,10.2,10.65,10.0,8380
08-12-20,10.9,10.5,10.9,10.1,19880
09-12-20,11.0,10.6,11.0,10.6,9040
10-12-20,10.5,10.5,10.5,10.4,1890
11-12-20,10.6,10.5,10.9,10.4,4660
14-12-20,10.5,10.5,10.5,10.4,2980
15-12-20,10.5,10.5,10.5,10.2,1720
16-12-20,10.7,10.8,11.2,10.5,14990
17-12-20,10.8,10.8,10.8,10.8,320
18-12-20,11.0,10.9,11.3,10.25,2410
21-12-20,10.3,10.8,10.8,10.3,33940
22-12-20,10.5,11.2,11.3,10.5,13550
23-12-20,11.35,10.9,11.35,10.8,750
24-12-20,10.95,10.55,11.0,10.55,17870
25-12-20,10.55,11.2,11.25,10.55,11750
28-12-20,11.5,11.75,11.8,11.35,114590
29-12-20,11.85,11.35,11.85,11.35,870
30-12-20,11.35,11.35,11.8,11.35,18100
31-12-20,11.2,11.65,11.8,11.2,4420
04-01-21,12.45,11.7,12.45,11.6,18700
05-01-21,12.45,12.5,12.5,12.3,61600
06-01-21,12.6,13.35,13.35,12.6,32200
07-01-21,13.35,14.25,14.25,13.35,64200
08-01-21,15.2,15.0,15.2,14.65,53200
11-01-21,15.0,14.3,15.0,13.95,28100
12-01-21,13.4,14.5,14.8,13.4,14400
13-01-21,14.0,14.0,14.5,13.7,49800
14-01-21,14.0,14.7,14.7,14.0,13100
15-01-21,14.0,14.5,14.6,14.0,9400
18-01-21,14.4,14.4,14.65,13.9,46700
19-01-21,13.9,13.8,14.5,13.4,29400
20-01-21,13.0,13.9,14.4,13.0,11100
21-01-21,14.3,14.5,14.5,13.05,35700
22-01-21,13.5,14.0,14.5,13.5,3200
25-01-21,14.0,14.3,14.3,14.0,4900
26-01-21,14.3,13.45,14.3,13.3,24400
27-01-21,13.35,13.8,14.0,12.85,3800
28-01-21,12.9,13.35,13.8,12.85,14100
29-01-21,12.45,13.0,13.15,12.45,6500
01-02-21,12.15,12.75,13.8,12.1,19600
02-02-21,12.0,12.35,12.55,11.9,9000
