Date,Open,Close,High,Low,Volume
16-11-20,26.5,26.2,26.8,26.2,8984187
17-11-20,26.2,27.2,27.2,26.2,16779929
18-11-20,27.2,27.2,27.7,26.9,7925873
19-11-20,27.3,27.2,27.5,27.0,6416782
20-11-20,27.3,27.3,27.4,26.8,9596358
23-11-20,27.5,27.3,27.5,27.0,10893510
24-11-20,27.3,27.3,27.8,27.1,10360554
25-11-20,27.3,27.3,27.6,27.1,6488827
26-11-20,27.3,27.4,27.7,27.0,10037160
27-11-20,27.5,27.2,27.6,27.2,5465478
30-11-20,27.4,27.2,27.4,27.0,8943902
01-12-20,27.2,27.3,27.3,26.8,9249711
09-12-20,28.1,28.55,28.95,27.8,24200930
10-12-20,28.8,27.95,28.8,27.9,9233750
11-12-20,28.1,28.2,28.25,27.8,4459820
14-12-20,28.3,28.2,28.5,28.1,7325960
15-12-20,28.2,28.0,28.25,27.9,7305490
16-12-20,28.0,28.25,28.45,28.0,10461450
17-12-20,28.1,28.3,28.85,28.05,13567290
18-12-20,28.45,28.4,28.65,28.3,11693630
21-12-20,28.5,28.95,29.3,28.35,22481640
22-12-20,28.95,28.75,29.0,28.6,7573290
23-12-20,28.8,28.1,28.85,28.0,11216860
24-12-20,28.1,27.3,28.3,26.5,15831250
25-12-20,27.3,27.95,28.0,27.2,9194080
28-12-20,28.3,27.8,28.3,27.65,6223680
29-12-20,27.8,27.7,27.95,27.6,6501920
30-12-20,27.75,27.8,28.2,27.75,6741290
31-12-20,27.9,28.1,28.3,27.85,6774680
04-01-21,28.55,28.65,28.85,28.5,10776300
05-01-21,28.6,29.35,29.6,28.3,18693900
06-01-21,29.7,29.9,30.6,29.3,15883900
07-01-21,29.9,29.9,30.0,29.6,11636100
08-01-21,29.95,30.2,30.4,29.8,15519300
11-01-21,30.5,30.35,30.9,30.15,9821800
12-01-21,30.25,30.1,30.3,29.95,9277600
13-01-21,30.3,29.85,30.35,29.7,9915300
14-01-21,29.9,29.85,29.9,29.2,8491200
15-01-21,30.0,30.25,30.4,29.95,8184100
18-01-21,30.35,29.95,30.5,29.9,8419100
19-01-21,29.8,27.9,29.9,27.9,13077400
20-01-21,28.0,28.3,28.3,26.3,12323000
21-01-21,28.8,28.95,29.1,28.35,6535000
22-01-21,28.9,28.65,29.1,28.5,5438100
25-01-21,28.3,28.1,28.5,28.05,7683600
26-01-21,28.05,27.8,28.65,27.5,8096200
27-01-21,27.8,27.5,28.35,27.2,6387700
28-01-21,26.0,25.6,26.7,25.6,15154800
29-01-21,24.5,26.8,26.9,24.5,7621200
01-02-21,26.8,26.65,27.4,26.3,7528200
02-02-21,26.65,27.35,27.4,26.35,6544600
03-02-21,27.35,28.1,28.2,27.2,7054500
04-02-21,28.1,28.2,28.2,27.8,4250800
05-02-21,28.2,28.5,28.65,28.15,5610600
08-02-21,28.5,27.5,28.75,27.2,5755400
09-02-21,27.5,28.55,28.55,27.3,5954800
17-02-21,28.8,29.4,29.5,28.7,6855800
18-02-21,29.4,29.15,29.45,28.8,5547900
19-02-21,29.0,31.1,31.15,28.9,31184200
22-02-21,31.5,31.6,32.2,31.1,12587300
23-02-21,31.85,31.7,32.25,31.45,13951000
24-02-21,31.65,31.2,31.85,31.0,18685200
25-02-21,31.5,32.4,32.45,31.1,15014200
26-02-21,31.9,33.05,33.35,31.9,13071400
01-03-21,33.4,33.25,33.45,32.9,8464900
02-03-21,33.4,33.0,33.45,32.8,9574100
03-03-21,32.9,33.25,33.45,32.7,9072300
04-03-21,33.4,32.4,33.4,32.05,9814000
05-03-21,32.1,32.45,32.6,31.6,10157000
08-03-21,32.5,31.8,32.7,31.55,16047000
09-03-21,31.5,32.05,32.3,31.1,8819900
10-03-21,32.1,32.75,33.2,31.9,12152700
11-03-21,33.0,33.0,33.1,32.75,7124300
12-03-21,33.0,32.95,33.05,32.65,5195500
15-03-21,33.0,33.5,33.85,32.6,18052500
16-03-21,33.4,33.45,33.7,33.05,6112900
17-03-21,33.45,33.5,33.55,33.2,6246400
18-03-21,33.9,33.95,34.25,33.5,10281900
19-03-21,33.95,33.8,34.2,33.7,7108900
22-03-21,34.05,33.4,34.1,33.35,8706000
23-03-21,33.55,33.0,33.55,32.8,10347000
24-03-21,32.4,32.45,32.75,32.05,9941600
25-03-21,32.45,32.05,32.6,31.9,8322000
26-03-21,32.0,32.45,32.45,31.35,7931700
29-03-21,32.9,33.0,33.1,32.4,6981300
30-03-21,33.1,33.3,33.5,32.75,8053200
