Date,Open,Close,High,Low,Volume
16-11-20,28.7,28.4,28.7,28.3,128910
17-11-20,28.9,29.1,29.2,28.5,140090
18-11-20,29.1,31.1,31.1,29.0,417700
19-11-20,32.4,31.35,32.4,31.0,171800
20-11-20,31.45,31.7,31.85,30.6,181390
23-11-20,31.9,32.5,32.5,31.2,214720
24-11-20,32.95,32.4,33.0,31.8,190280
25-11-20,32.8,33.5,34.0,32.2,188700
26-11-20,33.6,33.0,33.6,32.75,78680
27-11-20,33.0,33.05,33.3,32.9,78170
30-11-20,33.2,32.85,33.2,32.85,109240
01-12-20,32.6,34.8,34.8,32.45,205170
02-12-20,34.8,34.45,35.0,34.1,74590
03-12-20,34.45,35.2,35.2,34.3,104020
04-12-20,35.3,34.8,35.3,34.8,99850
07-12-20,34.8,34.45,35.0,34.4,78870
08-12-20,34.9,33.85,34.9,33.75,179720
09-12-20,33.8,34.75,35.0,33.8,123880
10-12-20,34.9,34.0,34.9,34.0,105760
11-12-20,34.0,34.5,34.7,33.85,82020
14-12-20,35.0,34.4,35.0,34.25,41200
15-12-20,34.35,34.9,36.2,34.35,146650
16-12-20,35.0,35.55,35.6,34.95,68950
17-12-20,35.95,35.4,36.25,35.15,136100
18-12-20,35.4,36.5,36.75,35.4,198940
21-12-20,36.35,39.05,39.05,36.35,538900
22-12-20,41.5,41.75,41.75,41.5,351440
23-12-20,44.6,43.5,44.65,42.2,238830
24-12-20,45.35,42.95,45.35,40.55,93940
25-12-20,42.3,43.95,44.0,42.0,131320
28-12-20,45.2,45.4,45.95,44.2,139230
29-12-20,46.0,45.6,46.0,44.7,166860
30-12-20,45.0,45.6,45.6,44.65,253250
31-12-20,45.7,48.0,48.75,45.7,212070
04-01-21,50.8,49.5,50.8,49.0,139500
05-01-21,49.5,49.4,49.6,48.0,342100
06-01-21,48.1,50.3,50.8,48.1,87200
07-01-21,50.9,50.4,50.9,49.5,92800
08-01-21,50.1,50.4,50.4,49.0,108000
11-01-21,50.2,53.2,53.5,49.9,121500
