Date,Open,Close,High,Low,Volume
16-11-20,22.95,22.3,22.95,22.3,22020
17-11-20,21.6,22.0,22.5,21.0,42620
18-11-20,22.0,21.0,22.0,21.0,50920
19-11-20,21.0,21.2,21.65,21.0,4380
20-11-20,21.25,21.3,21.5,21.1,22100
23-11-20,21.7,21.6,21.7,21.5,15190
24-11-20,22.0,21.55,22.0,21.5,1930
25-11-20,22.75,21.0,22.75,21.0,15480
26-11-20,20.6,21.7,21.75,20.6,19700
27-11-20,21.6,20.5,21.6,20.5,16610
30-11-20,21.5,20.85,21.5,20.8,9800
01-12-20,20.85,20.85,20.9,20.85,1570
02-12-20,20.85,20.85,20.85,20.7,5040
03-12-20,21.0,20.85,21.0,20.85,5200
04-12-20,20.9,21.7,22.0,20.9,21430
07-12-20,20.6,21.05,21.8,20.6,3860
08-12-20,21.4,21.45,21.5,21.3,1440
09-12-20,22.95,22.95,22.95,22.25,54960
10-12-20,24.0,24.55,24.55,23.85,269450
11-12-20,26.25,24.7,26.25,24.55,279850
14-12-20,24.7,24.15,25.0,23.7,131510
15-12-20,24.0,24.0,24.8,23.2,222890
16-12-20,24.0,23.8,24.35,23.7,61810
17-12-20,24.5,23.85,24.5,23.8,67650
18-12-20,23.8,25.5,25.5,23.8,222070
21-12-20,25.75,26.3,26.9,25.75,183330
22-12-20,26.5,26.4,27.0,25.8,171570
23-12-20,26.1,26.3,26.5,25.8,122010
24-12-20,20.0,20.1,20.1,19.5,153540
25-12-20,20.7,20.05,20.8,20.05,57180
28-12-20,19.05,19.6,20.0,19.05,51930
29-12-20,19.4,19.0,19.65,19.0,88820
30-12-20,19.0,18.4,19.0,17.95,84380
31-12-20,18.8,18.8,18.9,18.4,20590
04-01-21,18.8,18.9,19.3,18.5,29000
05-01-21,18.9,18.7,18.9,17.8,47200
06-01-21,18.3,17.6,18.4,17.6,124500
07-01-21,17.75,18.2,18.5,17.75,32700
08-01-21,18.6,18.2,18.6,17.85,8300
11-01-21,18.5,18.2,18.5,17.95,25100
12-01-21,18.2,18.2,18.2,17.9,30900
13-01-21,18.2,18.05,18.2,18.0,37900
14-01-21,18.05,18.6,18.9,18.05,50700
15-01-21,18.5,18.75,19.2,18.3,15500
18-01-21,18.75,18.2,18.75,18.2,57600
19-01-21,18.2,17.0,18.2,17.0,25900
20-01-21,17.0,15.85,17.8,15.85,71100
21-01-21,16.95,16.95,16.95,16.95,5700
22-01-21,18.1,17.9,18.1,17.5,29200
25-01-21,17.9,18.1,18.2,17.6,23400
26-01-21,18.1,17.9,18.1,17.5,2900
27-01-21,18.0,17.0,18.0,17.0,8500
28-01-21,15.9,17.0,17.0,15.85,53400
29-01-21,16.2,16.3,16.85,16.2,5400
01-02-21,16.3,16.9,17.0,15.25,17800
