Date,Open,Close,High,Low,Volume
16-11-20,11.0,11.0,11.2,10.8,158142
17-11-20,11.0,11.0,11.0,10.9,35215
18-11-20,11.0,11.5,11.5,11.0,370110
19-11-20,11.5,11.5,11.5,11.3,94125
20-11-20,11.5,11.3,11.5,11.3,68446
23-11-20,11.3,11.3,11.3,11.0,139739
24-11-20,11.2,11.3,11.3,11.0,87504
25-11-20,11.3,11.2,11.3,11.0,96800
26-11-20,11.2,11.1,11.2,11.1,51515
27-11-20,11.2,11.2,11.2,11.1,81320
30-11-20,11.2,11.3,11.3,11.2,131958
01-12-20,11.3,11.7,11.7,10.3,455037
02-12-20,11.8,12.2,12.3,11.6,512348
03-12-20,12.2,12.6,12.6,12.1,404845
04-12-20,12.5,12.6,12.8,12.3,335923
07-12-20,12.4,12.7,13.0,12.2,348804
08-12-20,12.7,13.4,13.5,12.7,387905
09-12-20,13.5,13.8,14.0,13.4,493966
10-12-20,13.8,13.2,14.0,13.2,307240
11-12-20,13.3,13.5,13.7,13.0,253527
14-12-20,13.6,14.2,14.3,13.6,815948
15-12-20,14.3,13.9,14.3,13.9,356068
16-12-20,13.9,13.8,14.2,13.8,481891
17-12-20,13.8,13.6,13.8,13.2,445603
18-12-20,13.6,14.0,14.3,13.5,596443
21-12-20,14.1,15.3,15.3,14.0,1032082
22-12-20,15.3,16.0,16.1,15.2,1078354
23-12-20,16.1,15.6,16.4,15.3,689989
24-12-20,15.6,15.4,15.8,14.4,655344
25-12-20,15.5,16.4,16.5,15.1,654307
28-12-20,16.3,16.7,17.1,16.2,752784
29-12-20,16.7,16.7,17.2,16.5,729252
30-12-20,16.7,16.4,16.8,16.3,631099
31-12-20,16.7,16.5,17.0,16.4,1308403
04-01-21,16.7,17.2,17.5,16.7,4257383
05-01-21,17.4,17.3,17.8,17.1,3390945
06-01-21,17.3,19.0,19.0,17.3,1662346
07-01-21,20.0,20.9,20.9,20.0,3124850
08-01-21,21.5,21.0,22.0,20.4,3156729
11-01-21,21.0,20.0,21.5,19.9,2987023
12-01-21,20.0,20.4,20.6,19.0,2284067
13-01-21,20.5,20.4,21.2,20.2,1556885
14-01-21,20.6,22.4,22.4,19.7,3247562
15-01-21,22.4,23.7,24.3,22.4,2330530
18-01-21,23.6,23.6,24.4,23.5,1997605
19-01-21,23.6,21.4,24.0,21.3,4216283
20-01-21,21.6,22.6,22.6,19.5,2800971
21-01-21,23.0,23.1,24.0,22.5,1831860
22-01-21,23.1,22.5,23.1,22.1,1744469
25-01-21,22.4,22.1,22.7,21.0,2375922
26-01-21,22.0,20.2,22.1,19.9,1684802
27-01-21,20.2,18.2,20.2,18.2,1646160
28-01-21,17.5,16.4,17.5,16.4,949748
29-01-21,14.8,17.4,17.6,14.8,2084020
01-02-21,17.4,15.7,17.8,15.7,1309601
02-02-21,15.5,16.2,16.5,15.1,845804
03-02-21,16.3,17.8,17.8,16.3,1693562
04-02-21,18.4,18.5,19.5,17.9,1475574
05-02-21,18.5,19.1,19.5,18.5,1139704
08-02-21,19.1,18.3,19.9,17.5,1682834
09-02-21,18.1,19.0,19.2,17.9,844133
17-02-21,18.4,20.3,20.3,17.1,1233062
18-02-21,20.3,19.9,20.5,19.7,1077674
19-02-21,19.9,19.9,20.2,19.1,1037260
22-02-21,19.9,19.5,20.2,19.5,794523
23-02-21,19.5,20.4,20.6,19.3,1669578
24-02-21,20.5,22.0,22.4,20.4,4573199
25-02-21,22.0,22.6,23.0,21.8,1922400
26-02-21,22.6,22.2,22.6,20.5,1360955
01-03-21,22.0,22.7,23.0,22.0,1914544
02-03-21,22.9,22.7,23.5,22.4,1608382
03-03-21,22.5,23.1,23.4,22.4,2299967
04-03-21,23.1,22.5,23.3,21.9,2776938
05-03-21,22.3,23.8,24.0,21.8,3890397
08-03-21,23.9,24.4,25.0,23.5,2852749
09-03-21,24.4,23.7,24.5,23.4,1898376
10-03-21,23.7,23.6,23.8,23.2,2020332
11-03-21,23.6,23.8,24.4,23.6,2150362
12-03-21,23.9,23.7,24.1,23.4,1293432
15-03-21,23.8,23.2,23.8,23.2,1544996
16-03-21,23.3,22.8,23.3,22.4,2323949
17-03-21,22.7,22.7,23.1,22.5,1298680
