Date,Open,Close,High,Low,Volume
16-11-20,20.8,20.3,20.9,20.2,5250
17-11-20,20.3,20.3,20.3,20.3,560
18-11-20,20.2,20.2,20.2,20.2,143
19-11-20,20.0,20.1,20.1,20.0,1181
20-11-20,20.2,20.1,20.3,20.1,2400
23-11-20,20.5,20.6,20.6,20.5,4200
24-11-20,20.6,20.6,20.6,20.6,40
25-11-20,20.6,20.6,20.6,20.6,0
26-11-20,20.6,20.6,20.6,20.6,300
27-11-20,20.6,20.6,20.6,20.6,0
30-11-20,20.6,21.0,21.0,20.6,29670
01-12-20,21.3,21.3,21.3,21.3,100
02-12-20,21.3,21.3,21.3,21.3,400
03-12-20,20.1,20.1,20.1,20.1,190
04-12-20,20.3,20.3,20.3,20.3,145
07-12-20,20.2,20.5,20.5,20.2,3732
08-12-20,20.6,20.6,20.6,20.6,2990
09-12-20,20.7,21.4,21.5,20.7,1011
10-12-20,21.4,21.4,22.0,21.4,1500
11-12-20,20.5,23.0,23.0,20.5,3585
14-12-20,23.0,23.0,23.0,23.0,10
15-12-20,20.7,20.7,20.7,20.7,200
16-12-20,20.7,20.7,20.7,20.7,5300
17-12-20,22.0,22.7,22.7,21.0,8322
18-12-20,22.6,22.6,22.6,21.1,9500
21-12-20,22.6,22.6,22.6,22.6,180
22-12-20,21.6,21.5,21.6,21.5,3450
23-12-20,21.7,21.8,21.8,21.7,810
24-12-20,21.8,22.3,22.3,21.7,6507
25-12-20,21.7,22.5,22.5,21.7,1540
28-12-20,22.5,22.5,22.5,22.5,3057
29-12-20,21.1,22.5,22.5,21.1,7580
30-12-20,22.5,22.6,22.6,22.5,5990
31-12-20,22.6,22.0,23.0,22.0,48316
04-01-21,22.3,23.0,23.0,22.3,1330
05-01-21,21.8,22.7,22.7,21.6,13267
06-01-21,22.7,24.9,24.9,22.7,68616
07-01-21,24.9,27.3,27.3,24.9,22920
08-01-21,27.2,27.3,28.7,26.0,7418
11-01-21,27.3,27.3,27.3,27.3,20
12-01-21,25.1,27.0,27.0,24.6,14203
13-01-21,26.9,28.9,29.0,26.9,20945
14-01-21,28.5,28.9,28.9,28.5,5200
15-01-21,28.4,28.4,28.4,28.4,280
