Date,Open,Close,High,Low,Volume
16-11-20,45.6,45.4,46.1,45.4,28500
17-11-20,45.5,45.8,45.9,45.0,79000
18-11-20,44.9,44.8,44.9,44.8,35510
19-11-20,44.6,44.5,44.9,44.5,22900
20-11-20,44.0,44.1,44.3,44.0,2700
23-11-20,44.1,45.0,45.0,43.8,13400
24-11-20,45.0,44.7,45.0,44.7,8300
25-11-20,44.9,45.8,45.8,44.9,19600
26-11-20,44.4,45.1,45.5,44.3,5600
27-11-20,44.5,45.0,45.3,44.5,11000
30-11-20,44.9,44.5,44.9,44.5,2000
01-12-20,44.1,44.4,44.9,44.1,7200
02-12-20,44.4,44.0,44.7,43.5,22400
03-12-20,44.0,44.5,44.5,44.0,3700
04-12-20,44.4,45.7,45.7,44.4,7910
07-12-20,44.5,45.1,45.3,44.5,18200
08-12-20,44.5,44.3,44.5,44.3,4300
09-12-20,44.4,44.4,44.4,44.0,5916
10-12-20,44.3,44.2,44.3,44.2,7300
11-12-20,45.9,44.9,45.9,44.0,20800
14-12-20,44.8,44.3,44.8,44.2,18100
15-12-20,44.2,44.5,44.8,44.0,13716
16-12-20,44.5,44.3,44.5,44.3,2200
17-12-20,44.4,44.3,44.6,44.1,14600
18-12-20,44.5,45.5,45.5,44.5,40500
21-12-20,45.4,47.3,49.0,45.2,293310
22-12-20,47.9,52.0,52.0,47.9,89710
23-12-20,52.0,52.9,54.5,51.5,19930
24-12-20,51.5,49.1,51.5,48.3,38510
25-12-20,49.0,50.7,50.7,49.0,18600
28-12-20,52.5,50.7,52.5,49.6,18500
29-12-20,52.0,50.0,52.0,49.5,9400
30-12-20,50.0,50.3,50.5,50.0,17000
31-12-20,50.3,53.5,53.5,50.3,56900
04-01-21,53.0,56.0,58.5,48.5,19200
05-01-21,56.0,61.3,61.6,54.3,96900
06-01-21,61.6,62.0,65.5,57.0,105200
07-01-21,65.5,63.3,67.9,63.3,37500
08-01-21,68.9,66.5,68.9,63.5,6200
11-01-21,68.0,65.1,73.1,64.2,161600
12-01-21,71.0,69.5,71.0,65.6,3600
13-01-21,69.5,71.0,76.2,68.3,122000
14-01-21,77.0,75.0,78.0,73.0,47940
15-01-21,75.0,76.0,79.7,73.0,59400
18-01-21,79.6,76.0,79.9,75.3,800
19-01-21,73.0,72.1,79.5,72.0,56000
20-01-21,77.5,79.3,79.3,72.0,231220
21-01-21,79.4,87.2,87.2,79.4,10400
22-01-21,92.5,95.0,95.9,90.0,15233
25-01-21,103.0,101.0,103.0,96.1,7840
26-01-21,103.0,101.0,103.0,90.9,41401
27-01-21,93.5,90.9,94.0,90.9,25700
28-01-21,83.0,81.9,83.0,81.9,14800
29-01-21,73.8,82.4,82.5,73.8,24500
01-02-21,81.0,81.0,81.0,78.0,3830
02-02-21,75.5,78.6,78.6,75.5,8000
03-02-21,77.5,80.0,80.0,77.0,9920
04-02-21,82.7,73.4,85.5,73.4,15150
05-02-21,80.7,80.7,80.7,80.7,512
08-02-21,87.5,87.0,87.5,83.2,4700
09-02-21,87.0,87.0,87.0,85.0,5100
17-02-21,95.7,91.0,95.7,88.0,1922
18-02-21,95.5,86.5,95.5,86.5,1800
19-02-21,86.0,86.5,86.5,80.2,3500
22-02-21,90.0,84.0,90.0,80.3,2100
23-02-21,88.0,86.5,88.0,83.2,16300
24-02-21,89.0,87.0,89.0,87.0,15200
25-02-21,87.0,86.5,87.0,81.0,11000
26-02-21,86.5,86.5,86.5,86.5,0
01-03-21,88.0,86.0,88.0,81.5,6600
02-03-21,85.0,86.0,86.0,85.0,6000
03-03-21,85.0,86.0,86.0,85.0,2800
04-03-21,81.0,85.8,85.8,81.0,2300
05-03-21,84.6,86.0,86.0,84.5,800
08-03-21,85.9,84.0,85.9,84.0,3700
09-03-21,82.7,83.0,84.3,82.7,3900
10-03-21,82.8,83.5,83.5,82.8,200
11-03-21,84.2,83.5,84.2,81.8,1310
12-03-21,83.0,82.6,88.0,82.0,3900
15-03-21,88.0,82.2,88.0,82.2,1000
16-03-21,85.0,84.3,85.0,84.3,500
17-03-21,81.9,83.8,83.8,81.9,600
18-03-21,78.2,83.8,83.8,78.2,1500
19-03-21,83.8,83.8,83.8,83.8,0
22-03-21,83.5,83.8,83.8,83.5,5600
23-03-21,84.0,83.5,84.0,83.5,1600
24-03-21,80.3,83.4,83.4,80.3,600
25-03-21,83.4,83.4,83.4,83.4,0
26-03-21,80.2,83.4,83.4,80.2,200
29-03-21,83.4,83.4,83.4,83.4,0
30-03-21,80.1,83.0,83.0,80.0,5001
31-03-21,83.0,83.0,88.7,80.3,3200
01-04-21,80.2,83.3,83.4,80.1,1401
02-04-21,81.1,83.0,83.0,81.0,1200
05-04-21,82.0,79.1,82.9,79.1,5500
06-04-21,82.0,80.6,82.0,80.6,1716
07-04-21,80.0,80.0,80.0,79.5,1300
08-04-21,80.5,80.5,80.5,80.2,2100
09-04-21,80.5,80.5,80.5,80.5,200
12-04-21,79.8,79.8,79.8,79.8,100
13-04-21,80.5,79.8,80.6,79.8,7800
14-04-21,79.8,79.8,79.8,79.8,0
15-04-21,79.6,79.6,79.6,79.0,3500
16-04-21,79.7,79.7,79.7,79.7,100
