Date,Open,Close,High,Low,Volume
16-11-20,2.5,2.6,2.6,2.5,10400
17-11-20,2.6,2.7,2.7,2.6,19900
18-11-20,2.7,2.6,2.7,2.6,61720
19-11-20,2.6,2.6,2.6,2.6,11400
20-11-20,2.6,2.7,2.7,2.6,14573
23-11-20,2.6,2.7,2.7,2.5,65659
24-11-20,2.6,2.6,2.6,2.6,10000
25-11-20,2.6,2.7,2.7,2.6,15400
26-11-20,2.6,2.6,2.6,2.6,16400
27-11-20,2.6,2.7,2.7,2.5,35500
30-11-20,2.6,2.7,2.7,2.6,18100
01-12-20,2.6,2.7,2.7,2.6,25530
02-12-20,2.6,2.6,2.7,2.6,16840
03-12-20,2.7,2.6,2.7,2.6,1200
04-12-20,2.6,2.5,2.6,2.5,32600
07-12-20,2.6,2.7,2.7,2.6,18800
08-12-20,2.7,2.6,2.7,2.6,10220
09-12-20,2.6,2.6,2.7,2.5,50500
10-12-20,2.6,2.7,2.7,2.6,21600
11-12-20,2.6,2.7,2.7,2.6,900
14-12-20,2.6,2.6,2.6,2.5,38520
15-12-20,2.6,2.6,2.6,2.5,18282
16-12-20,2.6,2.6,2.7,2.6,16200
17-12-20,2.6,2.6,2.6,2.5,66420
18-12-20,2.6,2.7,2.7,2.6,33200
21-12-20,2.6,2.7,2.7,2.6,12200
22-12-20,2.6,2.7,2.7,2.6,21602
23-12-20,2.7,2.9,2.9,2.7,163700
24-12-20,2.9,2.8,2.9,2.7,46600
25-12-20,2.8,2.8,2.9,2.7,18700
28-12-20,2.8,2.7,2.8,2.7,44202
29-12-20,2.8,2.9,2.9,2.8,112235
30-12-20,2.9,2.9,3.1,2.9,94730
31-12-20,2.9,3.0,3.0,2.8,26286
04-01-21,3.0,3.0,3.1,2.9,57715
05-01-21,3.0,3.0,3.0,2.9,67500
06-01-21,2.9,3.2,3.3,2.9,112100
07-01-21,3.2,3.3,3.3,3.2,21300
08-01-21,3.3,3.1,3.3,3.0,136677
11-01-21,3.1,3.3,3.3,3.1,127400
12-01-21,3.3,3.2,3.3,3.1,39900
13-01-21,3.2,3.2,3.3,3.1,61615
14-01-21,3.2,3.2,3.2,3.1,11700
15-01-21,3.2,3.2,3.2,3.1,67600
18-01-21,3.2,3.5,3.5,3.2,183699
19-01-21,3.6,3.5,3.8,3.4,170515
20-01-21,3.5,3.7,3.7,3.2,98200
21-01-21,3.7,4.0,4.0,3.7,164809
22-01-21,4.0,3.6,4.0,3.6,117016
25-01-21,3.5,3.7,3.7,3.4,88627
26-01-21,3.7,3.7,3.7,3.5,42300
27-01-21,3.5,3.5,3.6,3.4,37100
