Date,Open,Close,High,Low,Volume
16-11-20,13.0,13.2,13.3,13.0,19729
17-11-20,13.3,13.2,13.3,12.7,2900
18-11-20,12.8,14.3,14.5,12.7,25300
19-11-20,14.1,13.8,14.1,13.8,400
20-11-20,13.7,13.7,13.7,13.5,3100
23-11-20,14.0,13.6,14.0,13.5,5950
24-11-20,13.6,13.8,13.8,13.4,3500
25-11-20,13.8,13.8,13.8,13.8,2000
26-11-20,13.7,13.7,14.0,13.7,7300
27-11-20,14.0,13.8,14.0,13.7,6800
30-11-20,13.7,13.6,13.7,13.6,6460
01-12-20,13.6,13.7,13.7,13.6,2000
02-12-20,13.6,14.0,14.0,13.6,29800
03-12-20,13.8,13.8,13.8,13.7,7744
04-12-20,14.0,13.9,14.0,13.7,3200
07-12-20,13.8,14.0,14.3,13.8,16050
08-12-20,14.0,13.9,14.0,13.7,2700
09-12-20,13.9,13.9,13.9,13.7,4200
10-12-20,14.0,13.7,15.0,13.7,12825
11-12-20,14.0,13.9,14.3,13.9,600
14-12-20,14.0,14.1,14.5,13.8,3300
15-12-20,13.7,14.0,14.0,13.7,17045
16-12-20,14.2,14.8,14.9,13.6,126200
17-12-20,14.2,14.3,14.8,14.0,5920
18-12-20,14.1,14.9,15.7,14.1,25500
21-12-20,14.7,14.5,14.9,14.0,24225
22-12-20,14.6,14.3,14.6,14.0,8500
23-12-20,14.5,14.4,14.6,14.0,23210
24-12-20,14.5,14.5,14.5,14.0,77350
25-12-20,14.3,14.6,14.6,14.0,66820
28-12-20,14.6,14.9,15.5,14.6,56120
29-12-20,14.5,15.3,15.3,14.5,33575
30-12-20,15.3,15.2,15.3,15.0,8001
31-12-20,15.2,15.8,16.4,15.2,44210
04-01-21,15.8,16.4,16.5,15.8,61880
05-01-21,16.5,16.5,16.8,16.0,45946
06-01-21,16.7,16.5,16.8,16.0,8100
07-01-21,16.4,17.5,17.9,16.2,39210
08-01-21,17.5,17.7,18.0,17.5,42239
11-01-21,17.7,17.2,17.7,17.0,31200
12-01-21,17.2,17.3,17.5,17.0,8500
13-01-21,17.5,17.1,17.5,17.1,19500
14-01-21,17.2,17.2,17.3,17.2,41200
15-01-21,17.2,17.2,17.2,17.0,18115
18-01-21,17.2,17.0,17.5,17.0,15800
19-01-21,17.0,16.5,17.0,16.2,12600
20-01-21,17.3,17.0,17.3,16.0,33700
