Date,Open,Close,High,Low,Volume
16-11-20,1.3,1.3,1.3,1.3,66410
17-11-20,1.2,1.4,1.4,1.2,213700
18-11-20,1.3,1.4,1.4,1.3,179300
19-11-20,1.4,1.4,1.4,1.3,245800
20-11-20,1.3,1.4,1.4,1.3,17600
23-11-20,1.4,1.4,1.4,1.3,48100
24-11-20,1.4,1.4,1.4,1.3,44900
25-11-20,1.3,1.3,1.4,1.3,117300
26-11-20,1.3,1.3,1.3,1.2,11900
27-11-20,1.3,1.4,1.4,1.3,73900
30-11-20,1.4,1.3,1.4,1.3,65600
01-12-20,1.4,1.3,1.4,1.3,2425
02-12-20,1.4,1.3,1.4,1.2,3300
03-12-20,1.2,1.3,1.3,1.2,121000
04-12-20,1.2,1.3,1.3,1.2,49213
07-12-20,1.3,1.3,1.3,1.2,71500
08-12-20,1.2,1.3,1.3,1.2,73915
09-12-20,1.3,1.3,1.3,1.3,115200
10-12-20,1.2,1.3,1.4,1.2,435700
11-12-20,1.4,1.4,1.4,1.4,557300
14-12-20,1.5,1.5,1.5,1.4,1140633
15-12-20,1.6,1.6,1.6,1.6,517500
16-12-20,1.7,1.7,1.7,1.7,438680
17-12-20,1.8,1.6,1.8,1.6,4678210
18-12-20,1.6,1.6,1.7,1.5,320300
21-12-20,1.6,1.7,1.7,1.6,837675
22-12-20,1.8,1.8,1.8,1.7,1270000
23-12-20,1.9,1.9,1.9,1.8,626320
24-12-20,2.0,1.8,2.0,1.8,156400
25-12-20,1.7,1.7,1.8,1.7,681599
28-12-20,1.7,1.7,1.8,1.6,397328
29-12-20,1.7,1.7,1.8,1.7,183500
30-12-20,1.7,1.6,1.7,1.6,171600
31-12-20,1.6,1.7,1.7,1.6,435500
04-01-21,1.8,1.8,1.8,1.8,67500
05-01-21,1.9,1.9,1.9,1.9,204200
06-01-21,2.0,1.9,2.0,1.8,961400
07-01-21,2.0,2.0,2.0,2.0,230028
08-01-21,2.1,2.1,2.2,2.0,515534
11-01-21,2.1,2.0,2.3,2.0,205200
12-01-21,2.1,2.2,2.2,2.0,950210
13-01-21,2.3,2.2,2.4,2.1,247800
14-01-21,2.3,2.4,2.4,2.1,228515
15-01-21,2.4,2.6,2.6,2.3,241100
18-01-21,2.6,2.7,2.8,2.6,446800
19-01-21,2.8,2.5,2.8,2.5,567500
20-01-21,2.5,2.4,2.5,2.3,633315
21-01-21,2.4,2.6,2.6,2.4,229500
22-01-21,2.8,2.8,2.8,2.8,372700
25-01-21,2.8,3.0,3.0,2.8,487700
26-01-21,3.1,3.1,3.3,2.9,665600
27-01-21,3.1,3.4,3.4,2.9,493600
28-01-21,3.6,3.1,3.6,3.1,278520
29-01-21,2.8,3.2,3.2,2.8,216600
01-02-21,3.1,2.9,3.2,2.9,66500
02-02-21,2.7,2.9,3.0,2.7,79700
03-02-21,2.9,3.0,3.1,2.7,115700
04-02-21,3.0,3.1,3.1,2.8,75100
05-02-21,3.1,2.8,3.1,2.8,50400
08-02-21,2.8,2.6,2.8,2.6,127200
09-02-21,2.6,2.8,2.8,2.4,594300
17-02-21,2.9,3.0,3.0,2.8,130200
18-02-21,3.2,3.3,3.3,3.2,162500
19-02-21,3.5,3.6,3.6,3.4,410610
22-02-21,3.8,3.9,3.9,3.8,259930
23-02-21,4.2,4.2,4.2,4.0,200700
24-02-21,4.6,4.6,4.6,4.6,64600
25-02-21,5.0,4.6,5.0,4.3,533920
26-02-21,4.5,5.0,5.0,4.4,529710
01-03-21,5.5,5.5,5.5,5.2,106314
02-03-21,6.0,6.0,6.0,5.9,453100
03-03-21,6.6,6.6,6.6,6.6,64010
04-03-21,7.2,7.2,7.2,7.2,161810
05-03-21,7.9,7.9,7.9,7.9,148513
08-03-21,8.6,8.6,8.6,8.6,138670
09-03-21,9.4,9.4,9.4,9.4,314963
10-03-21,10.3,9.9,10.3,8.5,1493121
11-03-21,10.5,9.3,10.7,9.2,557863
12-03-21,9.4,9.5,9.9,9.0,423500
15-03-21,9.5,8.6,9.5,8.6,409507
16-03-21,8.6,8.6,8.6,7.8,400167
17-03-21,7.8,8.4,8.6,7.8,79100
18-03-21,8.4,9.0,9.1,8.4,312100
19-03-21,8.8,9.2,9.4,8.6,210800
22-03-21,9.2,9.4,9.4,8.7,236739
23-03-21,9.4,9.4,9.4,8.5,259420
24-03-21,9.4,9.4,9.4,8.5,190010
25-03-21,9.2,9.4,9.4,8.6,294400
26-03-21,9.3,10.3,10.3,8.8,424700
29-03-21,10.3,11.3,11.3,10.3,196923
30-03-21,11.6,12.4,12.4,11.6,48300
31-03-21,13.6,13.6,13.6,13.6,161600
01-04-21,14.9,14.9,14.9,14.9,115710
02-04-21,16.3,16.3,16.3,15.0,1143950
05-04-21,17.5,17.9,17.9,16.7,437441
06-04-21,18.9,19.5,19.6,18.6,497100
07-04-21,19.3,19.4,19.4,18.0,408150
08-04-21,19.0,17.5,19.4,17.5,290000
