Date,Open,Close,High,Low,Volume
16-11-20,2.0,2.0,2.0,2.0,10000
17-11-20,2.1,2.0,2.1,2.0,48500
18-11-20,2.0,2.0,2.0,2.0,300
19-11-20,2.1,2.1,2.1,2.1,100
20-11-20,2.1,2.1,2.1,2.1,0
23-11-20,2.0,2.0,2.0,2.0,300
24-11-20,2.0,2.0,2.0,2.0,100
25-11-20,2.1,2.1,2.1,2.1,200
26-11-20,1.9,2.0,2.1,1.9,6200
27-11-20,2.0,2.0,2.0,2.0,0
30-11-20,2.0,2.1,2.1,2.0,31300
01-12-20,2.0,2.0,2.0,2.0,100
02-12-20,2.0,2.0,2.0,2.0,0
03-12-20,2.0,2.0,2.0,2.0,1800
04-12-20,2.0,2.0,2.0,2.0,4000
07-12-20,2.0,2.0,2.0,2.0,5600
08-12-20,2.0,2.0,2.0,2.0,600
09-12-20,2.1,2.1,2.1,2.0,9100
10-12-20,2.0,2.0,2.0,2.0,100
11-12-20,2.0,2.0,2.1,2.0,6700
14-12-20,2.0,2.0,2.0,2.0,0
15-12-20,2.0,2.0,2.0,1.8,126400
16-12-20,2.1,2.1,2.1,2.0,800
17-12-20,2.1,2.1,2.1,2.1,2100
18-12-20,2.0,2.0,2.0,1.9,15000
21-12-20,2.0,2.0,2.0,2.0,5400
22-12-20,2.0,2.0,2.0,2.0,0
23-12-20,2.0,2.2,2.2,2.0,83110
24-12-20,2.4,2.4,2.4,2.4,187600
25-12-20,2.6,2.5,2.6,2.4,12300
28-12-20,2.4,2.4,2.7,2.3,43100
29-12-20,2.3,2.4,2.4,2.3,53200
30-12-20,2.2,2.3,2.4,2.2,108200
31-12-20,2.2,2.4,2.4,2.2,58500
04-01-21,2.3,2.5,2.6,2.3,55500
05-01-21,2.4,2.4,2.5,2.4,9100
06-01-21,2.5,2.6,2.6,2.5,18100
07-01-21,2.6,2.6,2.6,2.6,8900
08-01-21,2.5,2.6,2.6,2.4,48600
11-01-21,2.6,2.7,2.7,2.6,31300
12-01-21,2.7,2.9,2.9,2.6,96400
13-01-21,3.0,3.1,3.1,2.9,86600
