Date,Open,Close,High,Low,Volume
16-11-20,28.0,28.1,28.1,28.0,6300
17-11-20,28.6,28.6,28.6,28.6,9600
18-11-20,28.6,28.6,28.6,28.6,9600
19-11-20,28.6,28.6,28.6,28.6,0
20-11-20,28.1,28.0,28.1,28.0,1100
23-11-20,29.3,28.0,29.3,28.0,4700
24-11-20,28.0,28.0,28.0,28.0,0
25-11-20,28.1,28.0,28.1,28.0,800
26-11-20,28.1,28.1,28.1,28.1,5000
27-11-20,28.0,28.0,28.0,28.0,200
30-11-20,28.0,28.0,28.0,28.0,50
01-12-20,28.1,28.0,28.2,28.0,17200
02-12-20,28.0,28.0,28.0,28.0,0
03-12-20,28.0,28.0,28.0,28.0,0
04-12-20,28.0,28.0,28.0,28.0,0
07-12-20,27.8,27.8,27.8,27.8,8300
08-12-20,27.8,27.8,27.8,27.8,0
09-12-20,27.8,27.8,27.8,27.8,0
10-12-20,27.8,27.8,27.8,27.8,2400
11-12-20,27.8,27.8,27.8,27.8,0
14-12-20,27.8,27.8,27.8,27.8,0
15-12-20,27.8,27.8,27.8,27.8,0
16-12-20,27.8,27.8,27.8,27.8,0
17-12-20,27.8,27.8,27.8,27.8,0
18-12-20,27.8,27.8,27.8,27.8,0
21-12-20,28.0,28.0,28.0,28.0,120
22-12-20,29.0,29.0,29.0,29.0,1701
23-12-20,28.8,28.8,28.8,28.7,2300
24-12-20,28.8,28.8,28.8,28.8,0
25-12-20,28.0,28.5,28.5,28.0,2100
28-12-20,28.1,28.1,28.1,28.1,4176
29-12-20,28.1,28.1,28.1,28.1,0
30-12-20,28.5,28.1,28.5,28.1,3000
31-12-20,27.2,28.1,28.1,27.2,4820
04-01-21,28.5,28.5,28.5,27.0,11102
05-01-21,28.5,28.5,28.5,28.5,0
06-01-21,28.9,28.5,28.9,28.1,2100
07-01-21,28.4,28.5,28.5,28.4,3660
08-01-21,28.6,28.1,28.6,28.0,10336
11-01-21,28.3,28.4,28.4,28.0,11800
12-01-21,28.5,28.5,28.5,28.5,1014
13-01-21,28.0,28.9,28.9,28.0,9400
14-01-21,28.5,28.5,28.5,28.5,7000
15-01-21,28.3,28.4,28.6,28.3,7100
18-01-21,28.4,28.4,28.4,28.4,0
19-01-21,28.4,28.3,28.4,28.3,3400
20-01-21,28.3,28.3,28.3,28.3,100
21-01-21,28.3,28.3,28.3,28.3,0
22-01-21,29.0,28.8,29.0,28.8,314
25-01-21,28.3,28.6,28.6,28.3,3000
26-01-21,28.6,28.6,28.6,28.6,0
27-01-21,28.6,28.6,28.6,28.6,0
28-01-21,28.5,28.3,28.5,28.3,11000
29-01-21,28.5,29.8,31.0,28.5,5400
01-02-21,32.0,32.0,32.4,28.6,2900
02-02-21,31.6,31.6,31.6,31.2,2400
03-02-21,31.3,31.6,31.6,28.7,1300
04-02-21,29.0,28.6,29.0,28.6,5000
05-02-21,28.6,28.6,28.6,28.5,2400
08-02-21,28.5,28.5,28.5,28.5,100
09-02-21,28.5,28.5,28.5,28.5,100
17-02-21,28.5,28.5,28.5,28.5,1100
18-02-21,29.7,29.7,29.7,29.7,100
19-02-21,28.6,28.5,28.6,28.5,1100
22-02-21,28.5,28.5,28.5,28.5,0
23-02-21,29.3,29.3,29.3,29.3,100
24-02-21,29.3,29.3,29.3,29.3,0
25-02-21,29.3,29.3,29.3,29.3,0
26-02-21,29.3,29.3,29.3,29.3,0
01-03-21,29.3,29.3,29.3,29.3,100
02-03-21,28.5,28.5,28.5,28.5,3000
03-03-21,28.5,28.5,28.5,28.5,0
04-03-21,28.5,28.5,28.5,28.5,0
05-03-21,28.5,28.5,28.5,28.5,0
08-03-21,28.5,28.5,28.5,28.5,0
09-03-21,28.5,28.5,28.5,28.5,0
10-03-21,28.5,28.5,28.5,28.5,0
11-03-21,29.0,28.6,29.0,28.6,200
12-03-21,28.5,28.5,28.5,28.5,1000
15-03-21,29.0,29.0,29.0,29.0,400
16-03-21,29.0,29.0,29.0,29.0,0
17-03-21,28.6,29.5,29.5,28.6,3500
18-03-21,29.5,29.5,29.5,29.5,0
19-03-21,29.5,29.5,29.5,29.5,0
22-03-21,28.6,29.0,29.0,28.6,2200
23-03-21,28.5,28.5,28.5,28.5,500
24-03-21,28.5,28.9,28.9,28.5,4006
25-03-21,28.9,28.9,28.9,28.9,6
26-03-21,28.9,28.9,28.9,28.9,14
29-03-21,28.5,28.5,28.5,28.5,4416
30-03-21,28.5,28.5,28.5,28.5,2125
31-03-21,28.5,30.4,30.4,28.5,3600
01-04-21,28.6,28.6,28.6,28.6,186
02-04-21,28.8,28.8,28.8,28.8,141
05-04-21,28.6,28.6,28.6,28.6,100
06-04-21,28.6,28.6,28.6,28.6,0
07-04-21,28.6,28.6,28.6,28.6,59
08-04-21,28.6,28.6,28.6,28.6,0
09-04-21,28.6,28.6,28.6,28.6,800
12-04-21,28.6,28.6,28.6,28.6,0
13-04-21,28.6,28.6,28.6,28.6,0
14-04-21,28.6,28.6,28.6,28.6,400
15-04-21,28.6,28.6,28.6,28.6,45
16-04-21,28.6,28.6,28.6,28.6,1600
19-04-21,28.6,28.6,28.6,28.6,0
20-04-21,28.6,28.6,28.6,28.6,0
22-04-21,28.6,28.6,28.6,28.6,0
23-04-21,28.6,28.5,28.6,28.5,2100
26-04-21,28.6,28.5,28.6,28.5,900
27-04-21,28.5,28.5,28.5,28.5,300
28-04-21,28.5,28.5,28.5,28.5,0
29-04-21,30.0,30.0,30.0,30.0,1000
04-05-21,30.0,30.0,30.0,30.0,0
05-05-21,28.5,28.5,28.5,28.5,1008
06-05-21,28.6,28.5,28.6,28.5,4000
07-05-21,31.0,31.0,31.0,31.0,1000
10-05-21,29.9,29.9,29.9,29.9,500
11-05-21,29.9,29.9,29.9,29.9,0
12-05-21,28.5,28.5,28.5,28.5,1000
13-05-21,28.6,28.6,28.6,28.6,400
14-05-21,28.6,28.6,28.6,28.6,54
17-05-21,28.6,28.6,28.6,28.6,0
18-05-21,28.6,28.6,28.6,28.6,0
19-05-21,28.6,28.6,28.6,28.6,0
20-05-21,28.6,28.6,28.6,28.6,1200
21-05-21,28.6,28.6,28.6,28.6,0
24-05-21,28.6,28.6,28.6,28.6,0
25-05-21,28.6,28.6,28.6,28.6,0
26-05-21,28.6,28.6,28.6,28.6,0
27-05-21,28.6,28.6,28.6,28.6,0
28-05-21,28.6,28.6,28.6,28.6,0
31-05-21,31.0,30.9,31.0,30.9,600
01-06-21,30.9,30.9,30.9,30.9,0
02-06-21,30.9,30.9,30.9,30.9,0
03-06-21,30.9,30.9,30.9,30.9,1000
04-06-21,28.7,28.7,28.7,28.7,100
07-06-21,28.7,28.7,28.7,28.7,0
08-06-21,28.7,28.7,28.7,28.7,1000
09-06-21,28.7,28.7,28.7,28.7,0
10-06-21,28.7,28.7,28.7,28.7,0
11-06-21,29.0,30.0,30.0,29.0,1500
14-06-21,30.0,30.0,30.0,30.0,0
15-06-21,29.0,29.0,29.0,29.0,500
16-06-21,29.0,29.0,29.0,29.0,54
17-06-21,29.0,29.0,29.0,29.0,100
18-06-21,28.8,28.8,28.8,28.8,400
21-06-21,28.6,28.6,28.6,28.6,100
22-06-21,28.6,28.6,28.6,28.6,0
23-06-21,28.6,28.6,28.6,28.6,300
24-06-21,28.6,28.6,28.6,28.6,0
25-06-21,28.6,28.5,28.6,28.5,500
28-06-21,28.5,28.5,28.5,28.5,0
29-06-21,28.5,28.5,28.5,28.5,0
30-06-21,31.0,31.0,31.0,31.0,6000
01-07-21,31.0,31.0,31.0,31.0,0
02-07-21,28.8,28.8,28.8,28.8,6536
05-07-21,28.8,28.8,28.8,28.8,800
06-07-21,28.8,28.8,28.8,28.8,0
07-07-21,28.8,28.8,28.8,28.8,0
08-07-21,28.8,28.8,28.8,28.8,0
09-07-21,28.8,28.8,28.8,28.8,0
12-07-21,28.8,28.8,28.8,28.8,0
13-07-21,28.8,28.8,28.8,28.8,0
14-07-21,28.8,28.8,28.8,28.8,0
15-07-21,28.8,28.8,28.8,28.8,0
16-07-21,26.6,26.6,26.6,26.6,300
19-07-21,26.6,26.6,26.6,26.6,0
