Date,Open,Close,High,Low,Volume
16-11-20,18.0,18.0,18.0,18.0,0
17-11-20,17.3,18.0,18.0,17.3,10620
18-11-20,18.0,18.0,18.0,18.0,0
19-11-20,17.5,18.0,18.0,17.5,7100
20-11-20,18.0,18.0,18.0,18.0,0
23-11-20,18.0,18.0,18.0,18.0,0
24-11-20,17.9,18.0,18.0,17.9,5120
25-11-20,17.7,17.7,17.7,17.7,300
26-11-20,17.7,18.0,18.0,17.7,7000
27-11-20,18.0,18.0,18.0,18.0,20
30-11-20,17.9,18.0,18.0,17.9,1400
01-12-20,17.8,17.8,17.8,17.8,500
02-12-20,17.8,17.8,18.0,17.8,5200
03-12-20,17.3,17.9,17.9,17.3,1744
04-12-20,18.0,17.9,18.0,17.9,4600
07-12-20,17.9,17.9,17.9,17.9,2
08-12-20,17.3,16.9,17.3,16.9,6282
09-12-20,17.4,17.5,17.5,17.4,10196
10-12-20,17.9,17.9,18.0,17.9,2000
11-12-20,17.0,17.7,17.7,17.0,2759
14-12-20,17.7,17.4,17.9,17.0,6900
15-12-20,17.8,17.8,17.8,17.8,1106
16-12-20,17.8,17.8,17.8,17.8,0
17-12-20,17.1,17.1,17.1,17.1,1000
18-12-20,17.9,17.9,17.9,17.9,2000
21-12-20,17.8,17.9,17.9,17.5,24000
22-12-20,17.8,17.9,17.9,17.5,11506
23-12-20,17.2,19.6,19.6,17.2,10865
24-12-20,19.6,18.0,21.0,18.0,4102
25-12-20,18.0,18.0,18.0,18.0,1006
28-12-20,18.1,18.1,18.1,18.1,300
29-12-20,17.2,18.0,18.0,17.2,7100
30-12-20,18.2,18.2,18.2,18.2,3578
31-12-20,17.3,18.0,18.2,17.3,3498
04-01-21,18.0,18.0,18.0,18.0,163
05-01-21,18.2,17.9,18.2,17.9,11913
06-01-21,17.9,19.6,19.6,17.5,13501
07-01-21,18.4,18.0,18.4,18.0,2300
08-01-21,16.9,18.0,18.4,16.6,1522
11-01-21,18.0,18.1,19.0,18.0,8500
12-01-21,19.5,18.2,19.9,18.2,13546
13-01-21,18.3,18.2,18.4,18.2,5012
14-01-21,18.1,18.3,18.3,18.0,22100
15-01-21,18.3,18.3,18.5,18.2,14300
18-01-21,18.4,18.3,18.5,18.0,12700
19-01-21,18.0,18.0,18.0,18.0,5200
20-01-21,18.4,18.4,18.4,18.4,100
21-01-21,18.2,18.3,18.3,18.2,10702
22-01-21,18.2,18.3,18.3,18.0,3606
25-01-21,18.5,18.5,18.5,18.5,3000
26-01-21,18.2,18.4,18.4,18.0,2230
27-01-21,18.0,18.3,18.3,18.0,1700
28-01-21,17.3,18.3,18.3,17.3,1500
29-01-21,18.3,18.3,18.3,18.3,0
01-02-21,18.3,18.3,18.3,18.3,0
02-02-21,17.5,18.2,18.2,17.5,1100
03-02-21,18.0,18.2,18.2,18.0,10900
04-02-21,18.2,18.2,18.2,18.2,20
05-02-21,18.2,18.0,18.2,18.0,1000
08-02-21,18.0,18.0,18.1,18.0,4700
09-02-21,18.4,18.4,18.5,18.4,33700
17-02-21,18.0,18.5,18.5,18.0,12200
18-02-21,18.5,18.8,18.8,18.4,18500
19-02-21,18.5,18.8,18.8,18.4,9000
22-02-21,18.8,18.4,18.8,18.4,13410
23-02-21,18.5,20.2,20.2,18.5,139700
24-02-21,20.9,21.1,21.5,20.8,69700
25-02-21,21.1,21.6,21.6,21.1,11485
26-02-21,21.0,21.5,21.5,20.5,54900
01-03-21,22.5,20.9,22.5,20.9,12400
02-03-21,20.9,21.5,21.5,20.1,21810
03-03-21,21.2,21.2,23.6,21.1,260098
04-03-21,22.0,22.1,23.3,22.0,134842
05-03-21,24.0,24.3,24.3,24.0,31710
08-03-21,25.0,26.7,26.7,25.0,115900
09-03-21,26.7,26.7,28.0,25.1,45900
10-03-21,25.4,25.1,26.0,24.5,3600
11-03-21,25.5,25.6,26.0,25.0,12200
12-03-21,25.5,25.0,25.5,24.0,29102
15-03-21,25.1,25.5,25.6,24.3,44400
16-03-21,25.4,26.4,27.8,25.4,23400
17-03-21,25.2,25.3,26.2,25.2,900
18-03-21,25.5,24.5,25.5,24.5,8900
19-03-21,25.9,25.0,26.5,25.0,75600
22-03-21,24.9,26.3,26.3,24.9,18052
23-03-21,27.0,26.5,27.5,26.5,61110
24-03-21,25.3,25.4,26.5,25.2,20592
25-03-21,25.4,25.4,25.4,25.4,108
26-03-21,24.5,25.4,25.4,23.6,7000
29-03-21,26.4,26.0,27.9,24.5,5733
30-03-21,24.7,24.7,24.7,24.7,100
31-03-21,23.8,25.5,25.5,23.8,21560
01-04-21,25.3,25.4,25.4,25.0,11674
02-04-21,24.5,25.4,25.4,24.0,10546
05-04-21,24.1,25.3,25.3,24.0,8500
06-04-21,24.1,24.1,24.1,24.1,100
07-04-21,24.9,23.8,24.9,23.6,5000
08-04-21,23.8,23.8,23.8,23.8,1200
09-04-21,23.8,23.8,23.8,23.8,3162
12-04-21,24.1,23.8,24.1,23.8,2700
13-04-21,24.3,24.0,24.3,24.0,1338
14-04-21,22.7,23.6,23.6,22.5,2941
15-04-21,22.6,23.9,23.9,21.5,22775
16-04-21,22.6,22.6,22.6,22.6,2300
19-04-21,21.7,23.2,23.6,21.7,10300
20-04-21,23.2,23.2,23.5,23.0,23800
22-04-21,23.2,23.0,23.2,23.0,15041
23-04-21,22.8,23.0,23.0,22.2,13646
26-04-21,22.5,22.9,22.9,22.3,18800
27-04-21,22.8,22.8,22.8,22.2,7100
28-04-21,21.5,21.4,21.5,21.0,9800
29-04-21,21.0,20.5,21.0,20.4,4500
04-05-21,20.5,19.5,21.0,19.5,12210
05-05-21,21.1,19.5,21.1,19.5,4294
06-05-21,19.7,21.4,21.4,19.7,36300
07-05-21,22.9,22.0,23.5,22.0,5000
10-05-21,22.9,23.0,23.0,22.0,56400
11-05-21,23.0,23.0,23.0,23.0,37505
12-05-21,23.0,23.0,23.0,23.0,0
13-05-21,23.5,23.4,23.5,23.4,400
14-05-21,22.1,22.3,22.3,22.1,1100
17-05-21,22.2,22.2,22.2,22.2,500
18-05-21,22.2,21.9,22.2,21.8,800
19-05-21,21.9,21.7,21.9,21.2,1400
20-05-21,21.0,21.7,21.7,21.0,5100
21-05-21,21.5,21.7,21.7,21.2,6600
24-05-21,21.7,21.7,21.7,21.7,600
25-05-21,23.0,22.0,23.0,22.0,8101
26-05-21,21.9,20.8,22.0,20.6,12054
27-05-21,20.5,20.5,20.5,20.5,4000
28-05-21,22.2,22.0,22.5,21.9,22110
31-05-21,21.8,22.0,22.0,21.8,90400
01-06-21,22.0,22.0,22.2,21.9,65800
02-06-21,22.0,22.3,22.5,21.5,221700
03-06-21,22.1,22.0,22.1,22.0,6706
04-06-21,22.2,22.5,23.0,22.0,30700
07-06-21,21.6,23.1,23.1,21.6,15900
08-06-21,23.0,24.0,24.7,23.0,98305
09-06-21,24.0,25.0,25.0,23.9,37973
10-06-21,25.0,25.2,25.2,25.0,62842
11-06-21,25.0,25.0,25.0,25.0,266
14-06-21,25.0,23.4,25.0,23.4,4900
15-06-21,23.0,22.0,23.3,22.0,34300
16-06-21,21.5,21.0,21.8,21.0,8100
17-06-21,21.0,23.1,23.1,21.0,20100
18-06-21,23.1,23.0,23.1,23.0,1600
21-06-21,22.8,23.0,23.0,22.8,3000
22-06-21,21.6,23.0,23.0,21.3,5250
23-06-21,23.0,22.1,23.0,22.0,3100
24-06-21,22.7,23.0,23.0,22.7,2400
25-06-21,21.5,21.6,22.9,21.5,16000
28-06-21,22.0,22.0,22.0,22.0,60100
29-06-21,22.0,21.5,22.0,21.5,1830
30-06-21,21.5,21.8,21.8,21.3,11502
01-07-21,21.8,21.7,21.8,21.7,6200
02-07-21,21.6,21.3,21.6,21.3,1157
05-07-21,20.6,20.6,21.0,20.6,4100
06-07-21,20.7,20.7,20.7,20.7,5200
07-07-21,21.0,20.7,21.0,20.7,375
08-07-21,21.6,21.6,21.6,21.6,100
09-07-21,20.7,20.1,20.7,20.0,1000
12-07-21,19.1,20.5,21.4,19.1,2300
13-07-21,20.5,20.5,20.5,20.5,0
14-07-21,20.5,20.5,20.5,20.5,633
15-07-21,20.4,20.4,20.4,20.4,474
16-07-21,20.4,20.4,20.4,20.4,10
19-07-21,19.5,19.5,19.5,19.5,1720
20-07-21,19.5,19.5,19.5,19.5,0
21-07-21,18.5,21.0,21.3,18.5,11300
22-07-21,19.9,20.0,20.5,19.9,3515
23-07-21,19.4,21.4,21.9,19.4,1000
26-07-21,21.0,21.2,21.4,19.9,11800
27-07-21,20.0,21.1,21.1,20.0,1200
28-07-21,20.9,20.9,20.9,20.9,500
29-07-21,20.9,20.9,20.9,20.0,2400
30-07-21,20.0,20.9,20.9,19.5,11500
02-08-21,20.9,20.9,20.9,20.9,122
03-08-21,20.0,20.1,20.1,20.0,660
04-08-21,20.1,21.0,21.0,20.1,7030
05-08-21,21.0,21.0,21.0,21.0,257
06-08-21,19.8,20.3,20.3,19.8,1560
09-08-21,20.9,20.3,20.9,20.3,2100
10-08-21,20.3,21.0,22.0,20.3,23300
11-08-21,20.9,21.0,21.0,20.9,25700
12-08-21,22.0,22.0,22.0,22.0,400
13-08-21,20.7,20.7,20.7,20.7,840
16-08-21,20.5,20.7,20.7,20.1,5002
17-08-21,20.7,20.5,20.7,20.5,1300
18-08-21,20.5,20.5,20.5,20.5,1200
19-08-21,20.5,20.3,20.5,20.3,1500
20-08-21,20.0,19.5,20.5,19.5,1400
23-08-21,19.5,20.5,20.5,19.5,1500
24-08-21,20.5,19.5,20.5,19.5,1700
