Date,Open,Close,High,Low,Volume
16-11-20,4.5,4.5,4.5,4.4,17231
17-11-20,4.3,4.3,4.3,4.3,500
18-11-20,4.7,4.0,4.7,4.0,910
19-11-20,3.9,3.8,3.9,3.8,1100
20-11-20,3.6,3.7,3.9,3.6,4010
23-11-20,3.9,3.6,3.9,3.6,3901
24-11-20,3.6,3.6,3.6,3.6,0
25-11-20,3.9,3.9,3.9,3.9,2300
26-11-20,4.1,4.2,4.2,4.1,1400
27-11-20,4.4,4.6,4.6,4.4,5101
30-11-20,4.8,4.5,4.9,4.5,2700
01-12-20,4.7,4.5,4.9,4.5,3300
02-12-20,4.5,4.5,4.5,4.5,5200
03-12-20,4.5,4.3,4.7,4.3,17200
04-12-20,4.3,4.3,4.3,4.3,0
07-12-20,4.7,4.3,4.7,4.3,8889
08-12-20,4.3,4.3,4.3,4.3,0
09-12-20,4.3,4.3,4.3,4.3,0
10-12-20,4.7,4.7,4.7,4.7,300
11-12-20,4.7,4.7,4.7,4.7,0
14-12-20,4.4,4.4,4.4,4.4,111
15-12-20,4.4,4.4,4.4,4.4,0
16-12-20,4.4,4.4,4.4,4.4,100
17-12-20,4.2,4.2,4.2,4.2,200
18-12-20,4.0,4.0,4.0,4.0,100
21-12-20,4.4,4.4,4.4,4.4,14909
22-12-20,4.4,4.4,4.4,4.4,110
23-12-20,4.4,4.2,4.4,4.2,700
24-12-20,4.2,4.2,4.2,4.2,400
25-12-20,3.9,3.9,3.9,3.9,600
28-12-20,3.9,3.9,3.9,3.9,0
29-12-20,3.9,3.9,3.9,3.9,0
30-12-20,4.2,4.2,4.2,4.2,5000
31-12-20,4.6,4.6,4.6,4.6,1229
04-01-21,5.0,5.0,5.0,5.0,200
05-01-21,5.4,5.4,5.4,5.4,100
06-01-21,5.4,5.4,5.4,5.4,500
07-01-21,5.4,5.4,5.4,5.4,0
08-01-21,5.4,5.4,5.4,5.4,0
11-01-21,5.4,5.4,5.4,5.4,9
12-01-21,4.9,5.3,5.3,4.9,300
13-01-21,4.8,5.2,5.2,4.8,3701
14-01-21,4.8,5.2,5.2,4.7,1400
15-01-21,5.2,5.2,5.2,5.2,300
18-01-21,4.8,4.7,4.8,4.7,2100
19-01-21,4.7,5.1,5.1,4.7,8300
20-01-21,5.1,5.1,5.1,5.1,0
21-01-21,5.4,5.3,5.4,5.3,4100
22-01-21,5.3,5.3,5.3,5.3,0
25-01-21,5.3,5.3,5.3,5.3,0
26-01-21,5.3,5.3,5.3,5.3,0
27-01-21,5.1,5.0,5.1,4.8,12900
28-01-21,4.9,4.9,4.9,4.8,4900
29-01-21,4.9,4.9,4.9,4.9,0
01-02-21,4.9,4.9,4.9,4.9,7000
02-02-21,4.9,4.9,4.9,4.9,4000
03-02-21,4.9,4.9,4.9,4.9,0
04-02-21,4.9,4.9,4.9,4.9,0
05-02-21,5.1,5.1,5.1,5.1,100
08-02-21,5.1,5.1,5.1,5.1,0
09-02-21,4.8,4.7,4.8,4.7,11000
17-02-21,5.1,5.1,5.1,5.1,100
18-02-21,5.1,5.1,5.1,5.1,0
19-02-21,5.5,5.2,5.5,5.2,2300
22-02-21,5.2,5.2,5.2,5.2,0
23-02-21,5.2,5.2,5.2,5.2,0
24-02-21,4.9,4.7,4.9,4.7,4100
25-02-21,5.1,4.8,5.1,4.8,7100
